Topic,Count,Name,Representation,Representative_Docs
-1,727,-1_trump_new_us_2024,"['trump', 'new', 'us', '2024', 'back', 'says', 'california', 'video', 'say', 'news']","['WAYNE ROOT: “THE ART OF THE DEAL.” Alex Jones Warns Trump Will Lose Election If He Keeps Praising Covid Vaccine. But I have a Way for Trump to Turn Covid Vaccines into Biggest Win-Win of All-Time', ""FOX News' Trump-Hating RINO Bret Baier Announces Interview with Kamala Harris - GETS ROASTED ON X - Roseanne Barr Wins the Day!"", 'US-Wahl 2024: UN fürchten eine erneute Trump-Regierung']"
0,756,0_gaza_ukraine_israel_per,"['gaza', 'ukraine', 'israel', 'per', 'russia', 'krieg', 'gobierno', 'gran', 'us', 'tras']","['Israel’s Internal Contradictions', 'Papst-Äußerung zur Ukraine: Vatikan will die Wogen glätten', 'Dans la bande de Gaza, pas de trêve pour le ramadan']"
1,290,1_harris_trump_kamala_biden,"['harris', 'trump', 'kamala', 'biden', 'election', 'video', 'rally', 'officials', 'police', 'border']","[""US election: Harris says Trump wants 'unchecked power'"", 'Harris rally latest: Kamala Harris to make closing election argument with Ellipse speech', 'Kamala Harris has sabotaged her own campaign']"
2,138,2_budget_labour_money_rates,"['budget', 'labour', 'money', 'rates', 'britain', 'musk', 'tax', 'new', 'save', 'elon']","[""Elon Musk Makes Deep State Bureaucrats Cower in Fear with Budget Cut Promise: 'Your Money Is Being Wasted'"", ""Landlord 'mass exodus' possible following Budget despite low mortgage rates"", ""Rachel Reeves to unveil £35BILLION tax bomb in Labour's first budget""]"
3,111,3_fashion_show_victoria_secret,"['fashion', 'show', 'victoria', 'secret', 'star', '2024', 'review', 'photo', 'princess', 'royal']","[""Adriana Lima shocks fans at 2024 Victoria's Secret Fashion Show"", ""Victoria's Secret Fashion Show 2024: Models hit runway after hiatus"", 'Victoria’s Secret Fashion Show 2024: What time and how to watch this year’s models and performer']"
4,90,4_england_tuchel_arsenal_league,"['england', 'tuchel', 'arsenal', 'league', 'football', 'team', 'head', 'nfl', 'thomas', 'manchester']","['Thomas Tuchel set to be appointed England manager', 'Football: Tuchel reportedly to become England head coach', 'Football: Tuchel to become England head coach – reports']"
5,54,5_asylum_children_move_hunger,"['asylum', 'children', 'move', 'hunger', 'prime', 'minister', 'plans', 'thousands', 'kenya', 'peaceful']","[""Ethiopia's Tigray region is now peaceful, but extreme hunger afflicts its children"", 'Government offering failed asylum-seekers thousands of pounds to move to Rwanda, under new plans', ""Ethiopia's Tigray Region Is Now Peaceful, But Extreme Hunger Afflicts Its Children""]"
6,44,6_dying_years_80_scotland,"['dying', 'years', '80', 'scotland', 'hospital', 'milton', 'care', 'hurricane', 'dead', 'former']","['Assisted dying Bill risks killing people with three years left to live', 'Former head of British Army Sir Mike Jackson dies at age 80', 'General Sir Mike Jackson, former head of British Army, dies aged 80']"
7,36,7_food_without_like_things,"['food', 'without', 'like', 'things', 'weight', 'exercise', 'weekend', 'gym', 'sleep', 'expert']","['Diets like Keto or fasting could keep cancer at bay, new study finds', 'Weekend workouts as good as daily exercise for keeping your mind sharp, study finds', 'Four things we get wrong about UPFs, according to a food science expert']"
8,31,8_women_school_female_sports,"['women', 'school', 'female', 'sports', 'student', 'big', 'athletes', 'trans', 'state', 'private']","['Cymbiotika\'s Durana Elmi Named ""Female Entrepreneur of the Year"" at 2024 TITAN Women in Business Awards', ""Trans athletes in women's sports will get 'radically worse' under a Harris presidency, warns Tulsi Gabbard"", ""Nevada volleyball player alleges school told her trans athlete is at a 'disadvantage' in women's sports""]"
9,26,9_climate_water_scientists_london,"['climate', 'water', 'scientists', 'london', 'inquiry', 'change', 'green', 'european', 'fire', 'risks']","['First European Climate Risk Assessment Finds Continent Unprepared', 'Health risks of climate change reach record breaking levels, experts warn', 'Climate Change']"
10,22,10_boeing_plane_flight_driving,"['boeing', 'plane', 'flight', 'driving', 'max', 'mid', 'seized', 'airline', 'sharing', 'dropped']","[""People 'bounced off the roof' of a plane that dropped during flight"", 'The Boeing 787 that suddenly dropped mid-flight and injured at least 50 people is a stark reminder: Always wear your seatbelt.', 'Boeing black box data to be seized after Dreamliner ‘freezes’ mid-flight leaving 50 hurt']"
11,10,11_equality___,"['equality', '', '', '', '', '', '', '', '', '']","['በኢትዮጵያ የሚገኘው የአውሮፓ ቻምበር ጥያቄ', 'የሴቶችን ቀን እያሰብን ለሴቶች ምን ተደርጓል?', 'Equality for Infinity!']"
12,8,12_tax_irs_free_filing,"['tax', 'irs', 'free', 'filing', 'taxes', 'know', 'need', 'best', 'pilot', 'credit']","['19 million people may qualify for free tax prep through the IRS this season. Here’s where they live', ""IRS free tax filing program launches in 12 pilot states. Here's what to know"", ""The IRS's free tax filing system is officially open. Here's everything you need to know.""]"
13,6,13_welcome_dc_escort_giant,"['welcome', 'dc', 'escort', 'giant', 'police', 'fans', 'return', 'get', 'lack', 'weather']","[""Pet kangaroo escapes: Furry fugitive leads police on street chase caught on camera: 'A Durangaroo!'"", 'Giant pandas get police escort and warm welcome from fans as they return to DC zoo', 'Giant pandas get police escort and warm welcome from fans as they return to DC zoo']"
