publisher,is_control,event_topic_label,n_articles,total_articles,topic_share_pct,event_label
Associated Press News,False,"Arrested, Family, Fox",5,49,10.2,Israeli_Womens_Protests_2023
Associated Press News,False,"Biden, Debt, Supreme court",2,49,4.08,Israeli_Womens_Protests_2023
Associated Press News,False,"Coach, Contract, Seasons",5,49,10.2,Israeli_Womens_Protests_2023
Associated Press News,False,"Cup, Foden, Pick",8,49,16.33,Israeli_Womens_Protests_2023
Associated Press News,False,"Derailment, Ohio, Train",2,49,4.08,Israeli_Womens_Protests_2023
Associated Press News,False,"Diana, Militar, Nuclear",10,49,20.41,Israeli_Womens_Protests_2023
Associated Press News,False,"Home, Market, Surplus",10,49,20.41,Israeli_Womens_Protests_2023
Associated Press News,False,"Nachrichten, Study, Wegen",7,49,14.29,Israeli_Womens_Protests_2023
Business Insider,False,"Arrested, Family, Fox",5,48,10.42,Israeli_Womens_Protests_2023
Business Insider,False,"Biden, Debt, Supreme court",6,48,12.5,Israeli_Womens_Protests_2023
Business Insider,False,"Chinese, Covid, Hearing",1,48,2.08,Israeli_Womens_Protests_2023
Business Insider,False,"Derailment, Ohio, Train",1,48,2.08,Israeli_Womens_Protests_2023
Business Insider,False,"Home, Market, Surplus",11,48,22.92,Israeli_Womens_Protests_2023
Business Insider,False,"Nachrichten, Study, Wegen",22,48,45.83,Israeli_Womens_Protests_2023
Business Insider,False,"Putin, Russia, Russie",2,48,4.17,Israeli_Womens_Protests_2023
CBC News,False,"Arrested, Family, Fox",13,50,26.0,Israeli_Womens_Protests_2023
CBC News,False,"Awards, Festival, Jury",2,50,4.0,Israeli_Womens_Protests_2023
CBC News,False,"Chinese, Covid, Hearing",4,50,8.0,Israeli_Womens_Protests_2023
CBC News,False,"Coach, Contract, Seasons",2,50,4.0,Israeli_Womens_Protests_2023
CBC News,False,"Derailment, Ohio, Train",2,50,4.0,Israeli_Womens_Protests_2023
CBC News,False,"Home, Market, Surplus",10,50,20.0,Israeli_Womens_Protests_2023
CBC News,False,"Nachrichten, Study, Wegen",14,50,28.0,Israeli_Womens_Protests_2023
CBC News,False,"Parliament, Security, Tiktok",3,50,6.0,Israeli_Womens_Protests_2023
CNBC,False,"Arrested, Family, Fox",2,50,4.0,Israeli_Womens_Protests_2023
CNBC,False,"Biden, Debt, Supreme court",5,50,10.0,Israeli_Womens_Protests_2023
CNBC,False,"Chinese, Covid, Hearing",4,50,8.0,Israeli_Womens_Protests_2023
CNBC,False,"Desantis, Disney, Health care",1,50,2.0,Israeli_Womens_Protests_2023
CNBC,False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
CNBC,False,"Home, Market, Surplus",27,50,54.0,Israeli_Womens_Protests_2023
CNBC,False,"Nachrichten, Study, Wegen",10,50,20.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Arrested, Family, Fox",27,50,54.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Brexit, Northern, Rishi sunak",1,50,2.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Chinese, Covid, Hearing",1,50,2.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Coach, Contract, Seasons",1,50,2.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Cup, Foden, Pick",4,50,8.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Derailment, Ohio, Train",1,50,2.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Desantis, Disney, Health care",1,50,2.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Home, Market, Surplus",2,50,4.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Nachrichten, Study, Wegen",9,50,18.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Parliament, Security, Tiktok",2,50,4.0,Israeli_Womens_Protests_2023
Daily Mail,False,"Putin, Russia, Russie",1,50,2.0,Israeli_Womens_Protests_2023
Deutsche Welle,False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
Deutsche Welle,False,"Est, Fevrier, Turquie",1,50,2.0,Israeli_Womens_Protests_2023
Deutsche Welle,False,"Geht, Koalition, Spd",16,50,32.0,Israeli_Womens_Protests_2023
Deutsche Welle,False,"Iaea, Iranian, Pressure",1,50,2.0,Israeli_Womens_Protests_2023
Deutsche Welle,False,"Nachrichten, Study, Wegen",26,50,52.0,Israeli_Womens_Protests_2023
Deutsche Welle,False,"Putin, Russia, Russie",5,50,10.0,Israeli_Womens_Protests_2023
Die Tageszeitung (taz),False,"Est, Fevrier, Turquie",4,50,8.0,Israeli_Womens_Protests_2023
Die Tageszeitung (taz),False,"Geht, Koalition, Spd",25,50,50.0,Israeli_Womens_Protests_2023
Die Tageszeitung (taz),False,"Iaea, Iranian, Pressure",2,50,4.0,Israeli_Womens_Protests_2023
Die Tageszeitung (taz),False,"Nachrichten, Study, Wegen",16,50,32.0,Israeli_Womens_Protests_2023
Die Tageszeitung (taz),False,"Putin, Russia, Russie",3,50,6.0,Israeli_Womens_Protests_2023
El Mundo,False,"Diana, Militar, Nuclear",16,16,100.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Awards, Festival, Jury",2,50,4.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Brexit, Northern, Rishi sunak",3,50,6.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Chinese, Covid, Hearing",3,50,6.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Desantis, Disney, Health care",1,50,2.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Iaea, Iranian, Pressure",1,50,2.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Nachrichten, Study, Wegen",27,50,54.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Parliament, Security, Tiktok",2,50,4.0,Israeli_Womens_Protests_2023
Euronews (EN),False,"Putin, Russia, Russie",11,50,22.0,Israeli_Womens_Protests_2023
Euronews (FR),False,"Awards, Festival, Jury",4,50,8.0,Israeli_Womens_Protests_2023
Euronews (FR),False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
Euronews (FR),False,"Est, Fevrier, Turquie",25,50,50.0,Israeli_Womens_Protests_2023
Euronews (FR),False,"Iaea, Iranian, Pressure",2,50,4.0,Israeli_Womens_Protests_2023
Euronews (FR),False,"Nachrichten, Study, Wegen",13,50,26.0,Israeli_Womens_Protests_2023
Euronews (FR),False,"Putin, Russia, Russie",5,50,10.0,Israeli_Womens_Protests_2023
Fox News,False,"Arrested, Family, Fox",21,50,42.0,Israeli_Womens_Protests_2023
Fox News,False,"Chinese, Covid, Hearing",3,50,6.0,Israeli_Womens_Protests_2023
Fox News,False,"Coach, Contract, Seasons",3,50,6.0,Israeli_Womens_Protests_2023
Fox News,False,"Derailment, Ohio, Train",3,50,6.0,Israeli_Womens_Protests_2023
Fox News,False,"Desantis, Disney, Health care",2,50,4.0,Israeli_Womens_Protests_2023
Fox News,False,"Home, Market, Surplus",4,50,8.0,Israeli_Womens_Protests_2023
Fox News,False,"Nachrichten, Study, Wegen",12,50,24.0,Israeli_Womens_Protests_2023
Fox News,False,"Parliament, Security, Tiktok",2,50,4.0,Israeli_Womens_Protests_2023
Frankfurter Allgemeine Zeitung,False,"Awards, Festival, Jury",1,50,2.0,Israeli_Womens_Protests_2023
Frankfurter Allgemeine Zeitung,False,"Est, Fevrier, Turquie",3,50,6.0,Israeli_Womens_Protests_2023
Frankfurter Allgemeine Zeitung,False,"Geht, Koalition, Spd",22,50,44.0,Israeli_Womens_Protests_2023
Frankfurter Allgemeine Zeitung,False,"Iaea, Iranian, Pressure",2,50,4.0,Israeli_Womens_Protests_2023
Frankfurter Allgemeine Zeitung,False,"Nachrichten, Study, Wegen",14,50,28.0,Israeli_Womens_Protests_2023
Frankfurter Allgemeine Zeitung,False,"Putin, Russia, Russie",8,50,16.0,Israeli_Womens_Protests_2023
La Vanguardia,False,"Diana, Militar, Nuclear",49,50,98.0,Israeli_Womens_Protests_2023
La Vanguardia,False,"Est, Fevrier, Turquie",1,50,2.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Awards, Festival, Jury",5,50,10.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Diana, Militar, Nuclear",1,50,2.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Est, Fevrier, Turquie",35,50,70.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Geht, Koalition, Spd",1,50,2.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Iaea, Iranian, Pressure",1,50,2.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Nachrichten, Study, Wegen",2,50,4.0,Israeli_Womens_Protests_2023
Le Figaro,False,"Putin, Russia, Russie",5,50,10.0,Israeli_Womens_Protests_2023
Le Monde,False,"Arrested, Family, Fox",1,50,2.0,Israeli_Womens_Protests_2023
Le Monde,False,"Brexit, Northern, Rishi sunak",1,50,2.0,Israeli_Womens_Protests_2023
