publisher,is_control,event_topic_label,n_articles,total_articles,topic_share_pct,event_label
Associated Press News,False,"Data, Jan, Qanon",1,7,14.29,Women_Life_Freedom_2022
Associated Press News,False,"Elections, Female, Giorgia meloni",1,7,14.29,Women_Life_Freedom_2022
Associated Press News,False,"Home, Korea, Store",2,7,28.57,Women_Life_Freedom_2022
Associated Press News,False,"Kanzler, Scholz, Strike",3,7,42.86,Women_Life_Freedom_2022
Business Insider,False,"Arizona, Democrats, Gop",1,50,2.0,Women_Life_Freedom_2022
Business Insider,False,"Dakota, Texas, Win",2,50,4.0,Women_Life_Freedom_2022
Business Insider,False,"Data, Jan, Qanon",13,50,26.0,Women_Life_Freedom_2022
Business Insider,False,"Death, Festnahmen, Protesten",1,50,2.0,Women_Life_Freedom_2022
Business Insider,False,"Florida, Launch, Nasa",1,50,2.0,Women_Life_Freedom_2022
Business Insider,False,"Home, Korea, Store",18,50,36.0,Women_Life_Freedom_2022
Business Insider,False,"Inflation, Markets, Rates",5,50,10.0,Women_Life_Freedom_2022
Business Insider,False,"Liz, Mini budget, Tax cuts",3,50,6.0,Women_Life_Freedom_2022
Business Insider,False,"Putin, Russian, Ukraine",5,50,10.0,Women_Life_Freedom_2022
Business Insider,False,"Tensions, Travel, Won",1,50,2.0,Women_Life_Freedom_2022
CBC News,False,"Cancer, Horror, Portugal",1,50,2.0,Women_Life_Freedom_2022
CBC News,False,"Comeback, England, Southgate",4,50,8.0,Women_Life_Freedom_2022
CBC News,False,"Dakota, Texas, Win",3,50,6.0,Women_Life_Freedom_2022
CBC News,False,"Data, Jan, Qanon",8,50,16.0,Women_Life_Freedom_2022
CBC News,False,"Doubles, Laver cup, Roger",1,50,2.0,Women_Life_Freedom_2022
CBC News,False,"East coast, Fiona, Hurricane",8,50,16.0,Women_Life_Freedom_2022
CBC News,False,"Florida, Launch, Nasa",2,50,4.0,Women_Life_Freedom_2022
CBC News,False,"Home, Korea, Store",19,50,38.0,Women_Life_Freedom_2022
CBC News,False,"King charles, Palace, Queen",2,50,4.0,Women_Life_Freedom_2022
CBC News,False,"Putin, Russian, Ukraine",2,50,4.0,Women_Life_Freedom_2022
CNBC,False,"Arizona, Democrats, Gop",1,50,2.0,Women_Life_Freedom_2022
CNBC,False,"Data, Jan, Qanon",1,50,2.0,Women_Life_Freedom_2022
CNBC,False,"Euros, Latinos, Mundo",3,50,6.0,Women_Life_Freedom_2022
CNBC,False,"Home, Korea, Store",19,50,38.0,Women_Life_Freedom_2022
CNBC,False,"Inflation, Markets, Rates",23,50,46.0,Women_Life_Freedom_2022
