Topic,Count,Name,Representation,Representative_Docs,event_label,is_sparse_event,min_topic_size_used
-1,388,-1_korea_store_home_fires,"['korea', 'store', 'home', 'fires', 'meghan', 'white house', 'covid', 'migrant', 'climate', 'mantel']","['A 35-year-old financial coach who was raised in poverty gave 3 pieces of advice for getting and staying out of debt — and shares one thing she wishes she did differently when paying off her student loans', ""CIA unveils model of al-Qaida leader al-Zawahri's hideout"", ""CIA unveils model of al-Qaida leader al-Zawahri's hideout""]",Women_Life_Freedom_2022,False,15
0,134,0_konig_winter_plant_reaktion,"['konig', 'winter', 'plant', 'reaktion', 'charles iii', 'red box', 'ross edgley', 'erstmals', 'loch ness', 'fest']","['Schottland: Mehr als 52 Stunden im Loch Ness – Extremschwimmer Ross Edgley knackt Rekord', 'Regierungsdokumente: König Charles III. erstmals mit Red Box zu sehen', 'Charles III.: Britischer König zeigt sich erstmals mit »Red Box«']",Women_Life_Freedom_2022,False,15
1,111,1_mundo_euros_latinos_funeral,"['mundo', 'euros', 'latinos', 'funeral', 'ideas', 'cafe', 'roses', 'multiples', 'futbol', 'real madrid']","[""Este es el detalle que 'unió' a Meghan Markle y a Kate Middleton en el funeral de Isabel II"", 'With representation lacking in media, Emilio Estefan urges Latinos to embrace their identities', 'Latinos are seeing the least amount of growth in corporate board representation, new findings show']",Women_Life_Freedom_2022,False,15
2,108,2_jan_data_qanon_donald trump,"['jan', 'data', 'qanon', 'donald trump', 'probe', 'california', 'accused', 'matt', 'wounded', 'debbie collier']","[""A QAnon supporter who told police to 'go arrest the vice president' at the Capitol riot and then scaled the walls of the Capitol building and chased an officer up a staircase has been convicted for Jan. 6"", ""Beto O'Rourke blames Biden for more Texas Latinos voting GOP: 'Didn't spend a dime or day' in border region"", 'Donald Trump seems to turn to QAnon when he is feeling stressed and angry, online extremism researcher says']",Women_Life_Freedom_2022,False,15
3,100,3_france_paris_uefa_elections,"['france', 'paris', 'uefa', 'elections', 'europeenne', 'contre', 'migrants', 'militant', 'ouverture', 'jean luc']","[""In France, 'the idea of having to contribute in order to benefit from income supplements is widely accepted'"", 'UEFA Nations League: Spanien muss zum „Endspiel“ nach Portugal – Israel steigt auf', ""Ligue des Champions : plus de 1.800 supporters de Liverpool vont porter plainte contre l'UEFA""]",Women_Life_Freedom_2022,False,15
4,74,4_putin_russian_ukraine_cancels,"['putin', 'russian', 'ukraine', 'cancels', 'draft', 'belarus', 'sanctions', 'blames', 'referendums', 'aid']","[""Video shows mobilized Russian soldiers drunkenly fighting one another as Putin's controversial new draft gathers pace"", 'Russia’s allies China and India call for negotiations to end Ukraine war', 'Pink Floyd legend Roger Waters cancels gigs amid uproar after he ‘blamed Ukraine’ for Putin’s bloody war...']",Women_Life_Freedom_2022,False,15
5,71,5_dakota_texas_win_wild,"['dakota', 'texas', 'win', 'wild', 'past', 'season', 'sparks', 'nationals', 'points', 'romp']","['North Dakota State rallies to beat South Dakota 34-17', 'GOP Sen. Mike Lee holds a narrow edge over independent Evan McMullin in the Utah Senate race: poll', ""Raphael Warnock has a 5-point lead over Herschel Walker in high-stakes Georgia Senate contest, while Brian Kemp is ahead 6 points against Stacey Abrams in the governor's race: poll""]",Women_Life_Freedom_2022,False,15
6,63,6_putins_weiter_referendums_belarus,"['putins', 'weiter', 'referendums', 'belarus', 'contre', 'sanctions', 'securite', 'poutine', 'videos', 'referenden ukraine']","['Deutscher Energie-Manager reist als »Wahlbeobachter« zu Scheinreferenden in die Ukraine', '+++ Nachrichten im Ukraine-Krieg +++: Scheinreferenden gehen weiter', ""L'Ukraine n'est plus une ruche à miel : la production s'est effondrée en raison de la guerre""]",Women_Life_Freedom_2022,False,15
7,56,7_strictly_kardashian_strictly dancing_milan,"['strictly', 'kardashian', 'strictly dancing', 'milan', 'show', 'harry styles', 'debut', 'stuns', 'review', 'don']","['Strictly Come Dancing is about hope and vulnerability. That’s why we love it', 'Dolce & Gabbana team up with Kim Kardashian at Milan Fashion Week', 'Strictly Come Dancing 2022: first live show, review - clear your diary, this could be the best series yet']",Women_Life_Freedom_2022,False,15
8,53,8_england_southgate_comeback_nations league,"['england', 'southgate', 'comeback', 'nations league', 'grand final', 'helens', 'premiership', 'win', 'record', 'real madrid']","['Gareth Southgate: I’m the right person to lead England into World Cup', 'Scotland close in on Nations League promotion with comeback victory over Ireland', 'Scotland close in on Nations League promotion with comeback victory over Ireland']",Women_Life_Freedom_2022,False,15
