publisher,event_label,n_articles,flag_low_coverage,section,language,pct,n_protest,n_control,ratio_protest_to_control,flag_imbalanced,ideology_score,ideology_bin
Associated Press News,Israeli_Womens_Protests_2023,42.0,False,A_coverage_completeness,,,,,,,,
Associated Press News,Polish_Womens_Strike_2020,1.0,True,A_coverage_completeness,,,,,,,,
Associated Press News,Roe_Leak_Protests_2022,5.0,False,A_coverage_completeness,,,,,,,,
Associated Press News,Sarah_Everard_Vigils_2021,12.0,False,A_coverage_completeness,,,,,,,,
Associated Press News,Swiss_Womens_Strike_2019,1.0,True,A_coverage_completeness,,,,,,,,
Associated Press News,Women_Life_Freedom_2022,6.0,False,A_coverage_completeness,,,,,,,,
Business Insider,CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Business Insider,Israeli_Womens_Protests_2023,37.0,False,A_coverage_completeness,,,,,,,,
Business Insider,Polish_Womens_Strike_2020,41.0,False,A_coverage_completeness,,,,,,,,
Business Insider,Roe_Leak_Protests_2022,37.0,False,A_coverage_completeness,,,,,,,,
Business Insider,Sarah_Everard_Vigils_2021,36.0,False,A_coverage_completeness,,,,,,,,
Business Insider,Women_Life_Freedom_2022,32.0,False,A_coverage_completeness,,,,,,,,
CBC News,Israeli_Womens_Protests_2023,30.0,False,A_coverage_completeness,,,,,,,,
CBC News,Roe_Leak_Protests_2022,7.0,False,A_coverage_completeness,,,,,,,,
CBC News,Women_Life_Freedom_2022,37.0,False,A_coverage_completeness,,,,,,,,
CNBC,CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
CNBC,Israeli_Womens_Protests_2023,36.0,False,A_coverage_completeness,,,,,,,,
CNBC,Polish_Womens_Strike_2020,33.0,False,A_coverage_completeness,,,,,,,,
CNBC,Roe_Leak_Protests_2022,31.0,False,A_coverage_completeness,,,,,,,,
CNBC,Sarah_Everard_Vigils_2021,38.0,False,A_coverage_completeness,,,,,,,,
CNBC,Swiss_Womens_Strike_2019,34.0,False,A_coverage_completeness,,,,,,,,
CNBC,Women_Life_Freedom_2022,38.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,CONTROL_MeToo_Protests_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,CONTROL_Polish_Womens_Strike_2020_2024,50.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,IWD_2018_Global,21.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,International_Womens_Strike_2017,13.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Israeli_Womens_Protests_2023,38.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,MeToo_Protests_2017,16.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Polish_Womens_Strike_2020,25.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Roe_Leak_Protests_2022,42.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Sarah_Everard_Vigils_2021,32.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Swiss_Womens_Strike_2019,23.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Women_Life_Freedom_2022,36.0,False,A_coverage_completeness,,,,,,,,
Daily Mail,Womens_March_2017,22.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,CONTROL_MeToo_Protests_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,CONTROL_Polish_Womens_Strike_2020_2024,50.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,Israeli_Womens_Protests_2023,34.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,Polish_Womens_Strike_2020,31.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,Roe_Leak_Protests_2022,33.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,Sarah_Everard_Vigils_2021,33.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,Swiss_Womens_Strike_2019,35.0,False,A_coverage_completeness,,,,,,,,
Deutsche Welle,Women_Life_Freedom_2022,33.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),CONTROL_MeToo_Protests_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),CONTROL_Polish_Womens_Strike_2020_2024,50.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),Israeli_Womens_Protests_2023,33.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),Polish_Womens_Strike_2020,39.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),Roe_Leak_Protests_2022,29.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),Sarah_Everard_Vigils_2021,37.0,False,A_coverage_completeness,,,,,,,,
Die Tageszeitung (taz),Women_Life_Freedom_2022,37.0,False,A_coverage_completeness,,,,,,,,
Die Zeit,IWD_2018_Global,5.0,False,A_coverage_completeness,,,,,,,,
Die Zeit,Swiss_Womens_Strike_2019,35.0,False,A_coverage_completeness,,,,,,,,
El Mundo,CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
El Mundo,Israeli_Womens_Protests_2023,16.0,False,A_coverage_completeness,,,,,,,,
El Mundo,Roe_Leak_Protests_2022,49.0,False,A_coverage_completeness,,,,,,,,
El Mundo,Women_Life_Freedom_2022,50.0,False,A_coverage_completeness,,,,,,,,
El País,Roe_Leak_Protests_2022,6.0,False,A_coverage_completeness,,,,,,,,
El País,Women_Life_Freedom_2022,3.0,True,A_coverage_completeness,,,,,,,,
Euronews (EN),CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Euronews (EN),Israeli_Womens_Protests_2023,39.0,False,A_coverage_completeness,,,,,,,,
Euronews (EN),Polish_Womens_Strike_2020,29.0,False,A_coverage_completeness,,,,,,,,
Euronews (EN),Roe_Leak_Protests_2022,32.0,False,A_coverage_completeness,,,,,,,,
Euronews (EN),Sarah_Everard_Vigils_2021,30.0,False,A_coverage_completeness,,,,,,,,
Euronews (EN),Swiss_Womens_Strike_2019,30.0,False,A_coverage_completeness,,,,,,,,
Euronews (EN),Women_Life_Freedom_2022,41.0,False,A_coverage_completeness,,,,,,,,
Euronews (FR),CONTROL_International_Womens_Strike_2017_2024,50.0,False,A_coverage_completeness,,,,,,,,
Euronews (FR),Israeli_Womens_Protests_2023,28.0,False,A_coverage_completeness,,,,,,,,
Euronews (FR),Polish_Womens_Strike_2020,27.0,False,A_coverage_completeness,,,,,,,,
Euronews (FR),Roe_Leak_Protests_2022,34.0,False,A_coverage_completeness,,,,,,,,
Euronews (FR),Sarah_Everard_Vigils_2021,31.0,False,A_coverage_completeness,,,,,,,,
Euronews (FR),Women_Life_Freedom_2022,34.0,False,A_coverage_completeness,,,,,,,,
