publisher,mean_sentiment,median_sentiment,std_sentiment,n_articles
Deutsche Welle,-0.9813075471698113,-0.9892,0.02332834895619001,53
Die Zeit,-0.9807,-0.98115,0.011361840897118277,8
Die Tageszeitung (taz),-0.97247,-0.98185,0.0458411064527933,50
Frankfurter Allgemeine Zeitung,-0.969012,-0.98055,0.06733774948810249,50
Spiegel Online,-0.885382,-0.98245,0.3667364591715886,50
The BBC,-0.262078,-0.273,0.6749812448762513,50
The Washington Times,-0.253019,-0.7200500000000001,0.7893941154032841,100
Fox News,-0.213247,-0.51075,0.7624449201440952,100
Le Monde,-0.055554,0.0,0.5270143386540245,50
es,-0.003100000000000007,0.0,0.5604152206996493,50
Euronews (FR),0.04217755102040816,0.0,0.4725798218578644,49
Euronews (EN),0.053505999999999984,0.39994999999999997,0.8761701885769799,50
The Telegraph,0.170765,0.5660000000000001,0.8374077773285263,100
Daily Mail,0.22805205479452054,0.7623,0.8162680222801258,73
The Sun,0.350482,0.892,0.8029749279868645,50
CNBC,0.457278,0.7866,0.6718636785593837,50
i,0.47617800000000005,0.95175,0.7890096479816727,50
Business Insider,0.628598,0.96355,0.6259421856624113,50
