publisher,language,mean_sentiment,median_sentiment,std_sentiment,n_articles
Tagesschau,DE,-0.9771255,-0.9882,0.040179909474473495,200
Die Tageszeitung (taz),DE,-0.971533734939759,-0.9864,0.06533350658866702,249
Frankfurter Allgemeine Zeitung,DE,-0.9579723333333334,-0.9837,0.10621626610445688,300
Spiegel Online,DE,-0.9561668032786885,-0.9832,0.14915828448904278,244
Die Zeit,DE,-0.9556672413793104,-0.9880500000000001,0.2082739376844167,58
Deutsche Welle,DE,-0.912686925795053,-0.9864,0.2524496436102762,283
Deutsche Welle,FR,-0.6476333333333334,-0.8156,0.3046245612772111,3
CNBC,ES,-0.49815,-0.49815,0.28588327163372124,2
The Intercept,ES,-0.4485571428571429,-0.5216,0.37146624553440727,21
Deutsche Welle,ES,-0.3735470588235294,-0.5267,0.37812058611910937,17
Voice Of America,EN,-0.29702999999999996,-0.7818,0.7932627699029458,150
The Washington Times,EN,-0.26063428571428576,-0.7315,0.7975096765606926,350
La Vanguardia,ES,-0.22439795918367347,-0.5267,0.6414631684314241,49
Deutsche Welle,EN,-0.14918,0.0,0.4822990172082045,5
The Intercept,EN,-0.143238,-0.54955,0.8268867259220712,50
Spiegel Online,EN,-0.13119999999999998,-0.37270000000000003,0.9245833850983913,6
Associated Press News,ES,-0.10202,0.0,0.4227307674841965,10
Fox News,EN,-0.09540549999999999,-0.32855,0.8228668531815538,400
The BBC,EN,-0.09404732510288066,-0.25,0.8253819615308428,243
elDiario.es,ES,-0.084464,0.0,0.570609132060083,250
The Gateway Pundit,EN,-0.054832692307692305,-0.46504999999999996,0.8644409762726869,52
El Mundo,ES,-0.03691896551724137,-0.1525,0.625689472073223,116
Euronews (FR),FR,-0.0101756,0.0,0.47298742845295394,250
Die Tageszeitung (taz),OTHER,0.0,0.0,,1
Daily Mail,DE,0.0,0.0,,1
Le Monde,FR,0.003442748091603051,0.0,0.5126854326760639,262
The Nation,EN,0.012115420560747667,0.0,0.7828050822544161,214
Associated Press News,EN,0.018693670886075948,0.0,0.7900874720060858,79
Euronews (EN),EN,0.033052,0.15105000000000002,0.8338368246825367,300
Le Figaro,FR,0.05372933333333334,0.0,0.47620177728650676,150
Le Monde,EN,0.06565263157894737,0.1857,0.8044706222230334,38
El País,ES,0.07565,0.06589999999999999,0.612716309649997,10
The Guardian,EN,0.112021,0.3917,0.8263398511551016,200
The Telegraph,EN,0.11925,0.4764,0.8343239467954828,500
Reuters,EN,0.11971733333333333,0.2732,0.7741010766552048,150
CBC News,EN,0.1429788990825688,0.5574,0.8362041038807002,109
The Sun,EN,0.14334890965732086,0.6961,0.8921317334447415,321
The Independent,EN,0.15881733333333334,0.61575,0.8237177846963462,150
The BBC,DE,0.1638285714285714,0.0,0.2841923920767157,7
Washington Post,EN,0.1694166666666667,0.43095,0.738326990673238,150
The New Yorker,EN,0.24330588235294115,0.54825,0.7536235493848132,136
Daily Mail,EN,0.2707060773480663,0.6487,0.7575276383366156,362
The Globe and Mail,EN,0.29819999999999997,0.7046,0.7814793056125486,150
i,EN,0.327132,0.8689,0.8177643655763107,250
Rolling Stone,EN,0.382633,0.91455,0.8034426973281285,100
CNBC,EN,0.40120604026845635,0.83725,0.7249210567240484,298
Business Insider,EN,0.427666,0.89215,0.7551589837690262,250
La Vanguardia,FR,0.5362,0.5362,,1
