publisher,topic_label,mean_sentiment,median_sentiment,std_sentiment,n_articles
Frankfurter Allgemeine Zeitung,36_men_mujeres_paz_women,-0.9955,-0.9955,,1
Deutsche Welle,40_georgia_russia_belarus_political,-0.9948,-0.9948,,1
Die Tageszeitung (taz),26_grünen_er_merz_spd,-0.9928333333333333,-0.9936499999999999,0.0041365041601171436,6
Die Tageszeitung (taz),47_maßnahmen_allemagne_parteitag_scottish,-0.9922666666666666,-0.9911,0.0037872593432894965,3
Deutsche Welle,45_amb_més_cementerios_tots,-0.9917,-0.9917,,1
The BBC,14_pakistan_macron_khan_islam,-0.991,-0.991,,1
Deutsche Welle,46_europa_morales_proteste_muerte,-0.9902,-0.9902,,1
Spiegel Online,2_students_university_school_student,-0.9901,-0.9901,,1
Euronews (EN),9_mr_shulkin_kudlow_trump,-0.9893,-0.9893,,1
Spiegel Online,18_jet_ber_flight_flughafen,-0.9892,-0.9892,,1
Frankfurter Allgemeine Zeitung,24_css_inlinelink_css yidnqd_yidnqd inlinelink,-0.9892,-0.9892,,1
Die Tageszeitung (taz),37_tier_spiegel_gerät_restrictions,-0.9892,-0.9892,,1
Deutsche Welle,36_men_mujeres_paz_women,-0.9878,-0.9878,,1
Spiegel Online,8_nizza_nice_frankreich_notre,-0.9878,-0.9878,0.001979898987322272,2
Die Tageszeitung (taz),45_amb_més_cementerios_tots,-0.987,-0.987,,1
Spiegel Online,40_georgia_russia_belarus_political,-0.9864,-0.9864,,1
Frankfurter Allgemeine Zeitung,11_product_product marketing_marketing_quarter,-0.9863500000000001,-0.9863500000000001,0.006858935777509422,2
Frankfurter Allgemeine Zeitung,29_patienten_dass_prozent_intensivstationen,-0.9861,-0.9861,0.004384062043356583,2
Deutsche Welle,-1_er_dass_000_year,-0.985704,-0.9902,0.011621835770078106,25
Deutsche Welle,10_je_kultur_art_ich,-0.9853428571428571,-0.9892,0.011374805074206358,7
Spiegel Online,-1_er_dass_000_year,-0.985295,-0.98765,0.007409345095002823,20
Deutsche Welle,42_says_kandidaten_électorat_etats,-0.98455,-0.98455,0.006576093065034913,2
