topic_label,mean_sentiment,median_sentiment,std_sentiment,n_articles
12_gun_school_students_shooting,-0.931442105263158,-0.9493,0.07079315186426714,19
4_murder_county_year old_death,-0.8144290322580645,-0.9729,0.4366763684878069,31
24_css_inlinelink_css yidnqd_yidnqd inlinelink,-0.7540749999999999,-0.9713,0.5243659081994348,12
29_patienten_dass_prozent_intensivstationen,-0.7241500000000001,-0.9372,0.49608507614901876,10
41_oregon_lópez_criminal_drug,-0.70295,-0.94695,0.44421173667520314,6
36_men_mujeres_paz_women,-0.63465,-0.9407,0.6754936374872189,8
3_lawsuit_sentencia_er_mossos,-0.582003125,-0.8892,0.6173640994423323,32
23_vs_bundesliga_gegen_stuttgart,-0.577075,-0.9686,0.7586894647111138,12
33_samos_izmir_turquie_tsunami,-0.53775,-0.6813,0.4857169163794307,8
34_asylum_crossings_usa_asylum seekers,-0.4831875,-0.7096,0.5790901865056451,8
26_grünen_er_merz_spd,-0.46601818181818183,-0.9868,0.7466773705131043,11
22_facebook_twitter_zuckerberg_post,-0.458425,-0.6393500000000001,0.5976338999831677,12
46_europa_morales_proteste_muerte,-0.4370200000000001,-0.6249,0.8047431217475549,5
37_tier_spiegel_gerät_restrictions,-0.4207375,-0.8967499999999999,0.7877156665002925,8
8_nizza_nice_frankreich_notre,-0.4082571428571428,-0.9814,0.8448952784643955,21
47_maßnahmen_allemagne_parteitag_scottish,-0.40184,-0.9892,0.8778782563658813,5
13_corbyn_labour_party_anti,-0.37485,-0.8422,0.8243759930645583,18
21_confinement_lockdown_pour_france,-0.363075,-0.41559999999999997,0.41494731565914156,12
6_prozent_pour_ne_sont,-0.3373913043478261,-0.5267,0.6666709409876151,23
20_land_africa_south_opposition,-0.30833076923076924,-0.3612,0.6993581943284564,13
32_cannabis_art_terry_talbot,-0.3022666666666667,-0.5187,0.7838743505817753,9
44_pubs_pub_león_castilla león,-0.27686666666666665,-0.44699999999999995,0.6697548974562759,6
14_pakistan_macron_khan_islam,-0.2662764705882353,-0.6643,0.7659291853113869,17
42_says_kandidaten_électorat_etats,-0.24864999999999995,-0.38025,0.8283432591625286,6
40_georgia_russia_belarus_political,-0.2260857142857143,-0.6908,0.8821724310446558,7
35_ich_ruth_frauen_familia,-0.22604999999999997,-0.532,0.855762261712579,8
9_mr_shulkin_kudlow_trump,-0.17826666666666666,-0.6486,0.740126504952588,21
10_je_kultur_art_ich,-0.1619421052631579,0.0,0.829647357024383,19
18_jet_ber_flight_flughafen,-0.1571357142857143,-0.83805,0.9343601048575707,14
-1_er_dass_000_year,-0.1541261127596439,-0.2658,0.7976190762166272,337
11_product_product marketing_marketing_quarter,-0.10247894736842104,0.128,0.8583310812779177,19
45_amb_més_cementerios_tots,0.04637999999999998,0.6597,0.9472916747232607,5
25_cup_england_united_world cup,0.04975000000000001,0.25555,0.9728665277976681,12
2_students_university_school_student,0.06032424242424243,0.4826,0.7999806857161862,33
17_cases_vitamin_covid_covid 19,0.07543333333333332,0.0796,0.6441026567100561,15
1_biden_trump_president_joe,0.12112368421052633,0.33530000000000004,0.7759261571282343,38
39_electric_range_charging_cars,0.21871428571428572,0.6652,0.8576033221106587,7
16_voters_trump_democrats_vote,0.22556,0.6822,0.8350043642315375,15
30_myers_franklin_team_nfl,0.23977777777777776,0.1638,0.7738716459752512,9
27_show_nathan_sister_series,0.25431,0.5652,0.8365503258421855,10
5_halloween_pumpkin_trick_moon,0.27638965517241376,0.8135,0.8071627320191332,29
7_plants_garden_binoculars_flowers,0.28591363636363637,0.88585,0.8566306657038624,22
19_album_ich_lucky_woodward,0.4069846153846154,0.8934,0.8313701209912003,13
31_credit_gen_retirement_muscle,0.48323333333333335,0.9413,0.7941846038547965,9
15_lamb_republican_mr_race,0.48884666666666665,0.8363,0.6833029686401054,15
43_market cap_ticker_cap_market,0.6246999999999999,0.91595,0.7406401501404039,6
0_league_arsenal_premier league_game,0.6980275,0.9315500000000001,0.5250008371116647,40
28_christmas_gift_calendar_ll,0.9781700000000001,0.995,0.05380194234411989,10
38_course_class_online_courses,0.989075,0.9893000000000001,0.00515911121913734,8
