event_label,is_control,topic_label,n_articles,total_articles,topic_share_pct
IWD_2018_Global,False,"Abortion, Election, Labour",29,184,15.76
IWD_2018_Global,False,"Appeals, Church england, Planet",1,184,0.54
IWD_2018_Global,False,"Asian, Schools, Students",15,184,8.15
IWD_2018_Global,False,"Best online, Classes, Oxford",2,184,1.09
IWD_2018_Global,False,"Biden, Death, France",58,184,31.52
IWD_2018_Global,False,"Boat, Border, Migrants",3,184,1.63
IWD_2018_Global,False,"Cancer, Fire, Nhs",3,184,1.63
IWD_2018_Global,False,"Carl, Comic relief, Katie",5,184,2.72
IWD_2018_Global,False,"Cia, Jet, Spy",5,184,2.72
IWD_2018_Global,False,"Climate change, Fiona, Hurricane",2,184,1.09
IWD_2018_Global,False,"Coffee, Daily, Walk",2,184,1.09
IWD_2018_Global,False,"Draft, Nba, Rangers",1,184,0.54
IWD_2018_Global,False,"Earnings, Earnings snapshot, Stocks",6,184,3.26
IWD_2018_Global,False,"Elon musk, Tiktok, Twitter",1,184,0.54
IWD_2018_Global,False,"Gift, Halloween, Star sign",2,184,1.09
IWD_2018_Global,False,"Guerre, Krieg, Ukraine",8,184,4.35
IWD_2018_Global,False,"Harvey, Sentenced, Teen",4,184,2.17
IWD_2018_Global,False,"Launch, Nasa, Rocket",1,184,0.54
IWD_2018_Global,False,"Lisa, Mario batali, Sexual misconduct",1,184,0.54
IWD_2018_Global,False,"Liverpool, Transfer, Utd",22,184,11.96
IWD_2018_Global,False,"Missile, North korea, Taiwan",2,184,1.09
IWD_2018_Global,False,"Nato, Putin, Russians",1,184,0.54
IWD_2018_Global,False,"Plague, Pollen, Spring",10,184,5.43
International_Womens_Strike_2017,False,"Abortion, Election, Labour",9,66,13.64
International_Womens_Strike_2017,False,"Appeals, Church england, Planet",1,66,1.52
International_Womens_Strike_2017,False,"Asian, Schools, Students",2,66,3.03
International_Womens_Strike_2017,False,"Biden, Death, France",18,66,27.27
International_Womens_Strike_2017,False,"Bill gates, Coronavirus, Vaccine",1,66,1.52
International_Womens_Strike_2017,False,"Boat, Border, Migrants",3,66,4.55
International_Womens_Strike_2017,False,"Carl, Comic relief, Katie",1,66,1.52
International_Womens_Strike_2017,False,"Cia, Jet, Spy",1,66,1.52
International_Womens_Strike_2017,False,"Collision, Driver, Truck",2,66,3.03
International_Womens_Strike_2017,False,"Earnings, Earnings snapshot, Stocks",9,66,13.64
International_Womens_Strike_2017,False,"Elon musk, Tiktok, Twitter",3,66,4.55
International_Womens_Strike_2017,False,"Guerre, Krieg, Ukraine",2,66,3.03
International_Womens_Strike_2017,False,"Harvey, Sentenced, Teen",2,66,3.03
International_Womens_Strike_2017,False,"Lifts sail, Ships, Warming",1,66,1.52
International_Womens_Strike_2017,False,"Lisa, Mario batali, Sexual misconduct",2,66,3.03
International_Womens_Strike_2017,False,"Liverpool, Transfer, Utd",8,66,12.12
International_Womens_Strike_2017,False,"Plague, Pollen, Spring",1,66,1.52
