is_control,topic_label,n_articles,total_articles,topic_share_pct
False,"Abortion, Election, Labour",584,7454,7.83
False,"Appeals, Church england, Planet",16,7454,0.21
False,"Asian, Schools, Students",68,7454,0.91
False,"Best online, Classes, Oxford",22,7454,0.3
False,"Biden, Death, France",2214,7454,29.7
False,"Bill gates, Coronavirus, Vaccine",179,7454,2.4
False,"Boat, Border, Migrants",87,7454,1.17
False,"Cancels, Floyd, John",12,7454,0.16
False,"Cancer, Fire, Nhs",60,7454,0.8
False,"Carl, Comic relief, Katie",372,7454,4.99
False,"Chocolate, Puff, Warm",5,7454,0.07
False,"Cia, Jet, Spy",69,7454,0.93
False,"Climate change, Fiona, Hurricane",134,7454,1.8
False,"Coffee, Daily, Walk",12,7454,0.16
False,"Collision, Driver, Truck",21,7454,0.28
False,"Draft, Nba, Rangers",178,7454,2.39
False,"Earnings, Earnings snapshot, Stocks",456,7454,6.12
False,"Elon musk, Tiktok, Twitter",149,7454,2.0
False,"Expert, Killer, Medium",5,7454,0.07
False,"Gift, Halloween, Star sign",60,7454,0.8
False,"Guerre, Krieg, Ukraine",1725,7454,23.14
False,"Harvey, Sentenced, Teen",179,7454,2.4
False,"Launch, Nasa, Rocket",25,7454,0.34
False,"Lifts sail, Ships, Warming",18,7454,0.24
False,"Lisa, Mario batali, Sexual misconduct",27,7454,0.36
False,"Liverpool, Transfer, Utd",408,7454,5.47
False,"Meloni, Nigeria, Philippines",71,7454,0.95
False,"Missile, North korea, Taiwan",90,7454,1.21
False,"Nato, Putin, Russians",158,7454,2.12
False,"Plague, Pollen, Spring",50,7454,0.67
