publisher,event_label,is_control,topic_label,n_articles,total_articles,topic_share_pct
Associated Press News,Israeli_Womens_Protests_2023,False,"Abortion, Election, Labour",2,49,4.08
Associated Press News,Israeli_Womens_Protests_2023,False,"Biden, Death, France",7,49,14.29
Associated Press News,Israeli_Womens_Protests_2023,False,"Carl, Comic relief, Katie",2,49,4.08
Associated Press News,Israeli_Womens_Protests_2023,False,"Climate change, Fiona, Hurricane",1,49,2.04
Associated Press News,Israeli_Womens_Protests_2023,False,"Collision, Driver, Truck",1,49,2.04
Associated Press News,Israeli_Womens_Protests_2023,False,"Draft, Nba, Rangers",12,49,24.49
Associated Press News,Israeli_Womens_Protests_2023,False,"Earnings, Earnings snapshot, Stocks",11,49,22.45
Associated Press News,Israeli_Womens_Protests_2023,False,"Guerre, Krieg, Ukraine",8,49,16.33
Associated Press News,Israeli_Womens_Protests_2023,False,"Harvey, Sentenced, Teen",3,49,6.12
Associated Press News,Israeli_Womens_Protests_2023,False,"Liverpool, Transfer, Utd",2,49,4.08
Associated Press News,Polish_Womens_Strike_2020,False,"Appeals, Church england, Planet",1,7,14.29
Associated Press News,Polish_Womens_Strike_2020,False,"Biden, Death, France",6,7,85.71
Associated Press News,Roe_Leak_Protests_2022,False,"Biden, Death, France",4,9,44.44
Associated Press News,Roe_Leak_Protests_2022,False,"Cancer, Fire, Nhs",1,9,11.11
Associated Press News,Roe_Leak_Protests_2022,False,"Climate change, Fiona, Hurricane",2,9,22.22
Associated Press News,Roe_Leak_Protests_2022,False,"Lisa, Mario batali, Sexual misconduct",1,9,11.11
Associated Press News,Roe_Leak_Protests_2022,False,"Plague, Pollen, Spring",1,9,11.11
Associated Press News,Sarah_Everard_Vigils_2021,False,"Abortion, Election, Labour",1,14,7.14
Associated Press News,Sarah_Everard_Vigils_2021,False,"Biden, Death, France",2,14,14.29
Associated Press News,Sarah_Everard_Vigils_2021,False,"Bill gates, Coronavirus, Vaccine",1,14,7.14
Associated Press News,Sarah_Everard_Vigils_2021,False,"Boat, Border, Migrants",1,14,7.14
Associated Press News,Sarah_Everard_Vigils_2021,False,"Climate change, Fiona, Hurricane",4,14,28.57
Associated Press News,Sarah_Everard_Vigils_2021,False,"Draft, Nba, Rangers",2,14,14.29
Associated Press News,Sarah_Everard_Vigils_2021,False,"Harvey, Sentenced, Teen",1,14,7.14
Associated Press News,Sarah_Everard_Vigils_2021,False,"Lifts sail, Ships, Warming",1,14,7.14
Associated Press News,Sarah_Everard_Vigils_2021,False,"Plague, Pollen, Spring",1,14,7.14
Associated Press News,Swiss_Womens_Strike_2019,False,"Biden, Death, France",1,2,50.0
Associated Press News,Swiss_Womens_Strike_2019,False,"Missile, North korea, Taiwan",1,2,50.0
Associated Press News,Women_Life_Freedom_2022,False,"Biden, Death, France",1,7,14.29
Associated Press News,Women_Life_Freedom_2022,False,"Boat, Border, Migrants",2,7,28.57
Associated Press News,Women_Life_Freedom_2022,False,"Climate change, Fiona, Hurricane",2,7,28.57
Associated Press News,Women_Life_Freedom_2022,False,"Harvey, Sentenced, Teen",1,7,14.29
Associated Press News,Women_Life_Freedom_2022,False,"Meloni, Nigeria, Philippines",1,7,14.29
Business Insider,Israeli_Womens_Protests_2023,False,"Abortion, Election, Labour",2,48,4.17
Business Insider,Israeli_Womens_Protests_2023,False,"Biden, Death, France",11,48,22.92
Business Insider,Israeli_Womens_Protests_2023,False,"Cancer, Fire, Nhs",1,48,2.08
Business Insider,Israeli_Womens_Protests_2023,False,"Carl, Comic relief, Katie",2,48,4.17
Business Insider,Israeli_Womens_Protests_2023,False,"Cia, Jet, Spy",1,48,2.08
Business Insider,Israeli_Womens_Protests_2023,False,"Climate change, Fiona, Hurricane",1,48,2.08
Business Insider,Israeli_Womens_Protests_2023,False,"Earnings, Earnings snapshot, Stocks",20,48,41.67
Business Insider,Israeli_Womens_Protests_2023,False,"Elon musk, Tiktok, Twitter",4,48,8.33
Business Insider,Israeli_Womens_Protests_2023,False,"Lifts sail, Ships, Warming",1,48,2.08
Business Insider,Israeli_Womens_Protests_2023,False,"Lisa, Mario batali, Sexual misconduct",1,48,2.08
Business Insider,Israeli_Womens_Protests_2023,False,"Nato, Putin, Russians",2,48,4.17
Business Insider,Israeli_Womens_Protests_2023,False,"Plague, Pollen, Spring",2,48,4.17
Business Insider,Polish_Womens_Strike_2020,False,"Abortion, Election, Labour",2,50,4.0
Business Insider,Polish_Womens_Strike_2020,False,"Best online, Classes, Oxford",9,50,18.0
Business Insider,Polish_Womens_Strike_2020,False,"Biden, Death, France",9,50,18.0
Business Insider,Polish_Womens_Strike_2020,False,"Bill gates, Coronavirus, Vaccine",1,50,2.0
Business Insider,Polish_Womens_Strike_2020,False,"Carl, Comic relief, Katie",3,50,6.0
Business Insider,Polish_Womens_Strike_2020,False,"Earnings, Earnings snapshot, Stocks",13,50,26.0
Business Insider,Polish_Womens_Strike_2020,False,"Elon musk, Tiktok, Twitter",6,50,12.0
Business Insider,Polish_Womens_Strike_2020,False,"Gift, Halloween, Star sign",7,50,14.0
Business Insider,Roe_Leak_Protests_2022,False,"Abortion, Election, Labour",8,50,16.0
Business Insider,Roe_Leak_Protests_2022,False,"Best online, Classes, Oxford",1,50,2.0
Business Insider,Roe_Leak_Protests_2022,False,"Biden, Death, France",13,50,26.0
Business Insider,Roe_Leak_Protests_2022,False,"Bill gates, Coronavirus, Vaccine",1,50,2.0
Business Insider,Roe_Leak_Protests_2022,False,"Cancer, Fire, Nhs",1,50,2.0
Business Insider,Roe_Leak_Protests_2022,False,"Carl, Comic relief, Katie",2,50,4.0
Business Insider,Roe_Leak_Protests_2022,False,"Cia, Jet, Spy",1,50,2.0
Business Insider,Roe_Leak_Protests_2022,False,"Earnings, Earnings snapshot, Stocks",12,50,24.0
Business Insider,Roe_Leak_Protests_2022,False,"Elon musk, Tiktok, Twitter",9,50,18.0
Business Insider,Roe_Leak_Protests_2022,False,"Launch, Nasa, Rocket",1,50,2.0
Business Insider,Roe_Leak_Protests_2022,False,"Nato, Putin, Russians",1,50,2.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Abortion, Election, Labour",6,50,12.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Asian, Schools, Students",1,50,2.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Best online, Classes, Oxford",2,50,4.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Biden, Death, France",14,50,28.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Bill gates, Coronavirus, Vaccine",4,50,8.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Carl, Comic relief, Katie",1,50,2.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Draft, Nba, Rangers",1,50,2.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Earnings, Earnings snapshot, Stocks",12,50,24.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Elon musk, Tiktok, Twitter",7,50,14.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Harvey, Sentenced, Teen",1,50,2.0
Business Insider,Sarah_Everard_Vigils_2021,False,"Liverpool, Transfer, Utd",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Abortion, Election, Labour",5,50,10.0
Business Insider,Women_Life_Freedom_2022,False,"Asian, Schools, Students",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Biden, Death, France",18,50,36.0
Business Insider,Women_Life_Freedom_2022,False,"Carl, Comic relief, Katie",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Cia, Jet, Spy",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Earnings, Earnings snapshot, Stocks",11,50,22.0
Business Insider,Women_Life_Freedom_2022,False,"Elon musk, Tiktok, Twitter",3,50,6.0
Business Insider,Women_Life_Freedom_2022,False,"Gift, Halloween, Star sign",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Guerre, Krieg, Ukraine",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Harvey, Sentenced, Teen",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Launch, Nasa, Rocket",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Lisa, Mario batali, Sexual misconduct",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Missile, North korea, Taiwan",1,50,2.0
Business Insider,Women_Life_Freedom_2022,False,"Nato, Putin, Russians",4,50,8.0
CBC News,Israeli_Womens_Protests_2023,False,"Abortion, Election, Labour",2,50,4.0
CBC News,Israeli_Womens_Protests_2023,False,"Asian, Schools, Students",1,50,2.0
CBC News,Israeli_Womens_Protests_2023,False,"Biden, Death, France",20,50,40.0
CBC News,Israeli_Womens_Protests_2023,False,"Cancer, Fire, Nhs",3,50,6.0
CBC News,Israeli_Womens_Protests_2023,False,"Carl, Comic relief, Katie",1,50,2.0
CBC News,Israeli_Womens_Protests_2023,False,"Climate change, Fiona, Hurricane",5,50,10.0
CBC News,Israeli_Womens_Protests_2023,False,"Draft, Nba, Rangers",1,50,2.0
CBC News,Israeli_Womens_Protests_2023,False,"Earnings, Earnings snapshot, Stocks",6,50,12.0
CBC News,Israeli_Womens_Protests_2023,False,"Elon musk, Tiktok, Twitter",3,50,6.0
CBC News,Israeli_Womens_Protests_2023,False,"Harvey, Sentenced, Teen",5,50,10.0
CBC News,Israeli_Womens_Protests_2023,False,"Lifts sail, Ships, Warming",1,50,2.0
CBC News,Israeli_Womens_Protests_2023,False,"Liverpool, Transfer, Utd",1,50,2.0
CBC News,Israeli_Womens_Protests_2023,False,"Nato, Putin, Russians",1,50,2.0
CBC News,Roe_Leak_Protests_2022,False,"Abortion, Election, Labour",2,9,22.22
CBC News,Roe_Leak_Protests_2022,False,"Asian, Schools, Students",1,9,11.11
CBC News,Roe_Leak_Protests_2022,False,"Biden, Death, France",2,9,22.22
CBC News,Roe_Leak_Protests_2022,False,"Bill gates, Coronavirus, Vaccine",2,9,22.22
CBC News,Roe_Leak_Protests_2022,False,"Climate change, Fiona, Hurricane",1,9,11.11
CBC News,Roe_Leak_Protests_2022,False,"Liverpool, Transfer, Utd",1,9,11.11
CBC News,Women_Life_Freedom_2022,False,"Abortion, Election, Labour",2,50,4.0
CBC News,Women_Life_Freedom_2022,False,"Best online, Classes, Oxford",1,50,2.0
CBC News,Women_Life_Freedom_2022,False,"Biden, Death, France",13,50,26.0
CBC News,Women_Life_Freedom_2022,False,"Bill gates, Coronavirus, Vaccine",1,50,2.0
CBC News,Women_Life_Freedom_2022,False,"Boat, Border, Migrants",2,50,4.0
CBC News,Women_Life_Freedom_2022,False,"Cancer, Fire, Nhs",3,50,6.0
CBC News,Women_Life_Freedom_2022,False,"Carl, Comic relief, Katie",1,50,2.0
CBC News,Women_Life_Freedom_2022,False,"Climate change, Fiona, Hurricane",9,50,18.0
CBC News,Women_Life_Freedom_2022,False,"Collision, Driver, Truck",1,50,2.0
