url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.cnbc.com/2024/03/12/ibm-tells-employees-of-job-cuts-in-marketing-and-communications.html,CNBC,IBM is slashing jobs in marketing and communications,"IBM on Tuesday told employees in its marketing and communications division that it's slashing the size of its staff, according to a person with knowledge of the matter.

Jonathan Adashek, IBM's chief communications officer, made the announcement in a roughly seven-minute meeting with staffers in the unit, said the person, who asked not to be named because the news hasn't been made public.

The company didn't immediately respond to a request for comment.

In December, IBM CEO Arvind Krishna told CNBC that the company was ""massively upskilling all of our employees on AI,"" after it announced a plan in August to replace nearly 8,000 jobs with AI. IBM said on its earnings call in January of last year that it was cutting 3,900 positions.

The latest cuts come alongside another round of downsizing in the tech industry. So far this year, some 204 tech companies have cut almost 50,000 jobs, according to the website Layoffs.fyi. January was the busiest month for layoffs since March, as Alphabet, Amazon and Unity all announced job cuts.

IBM has returned to growth in the past couple years, but expansion remains muted. Revenue in the fourth quarter increased 4% from a year earlier even as earnings topped estimates. CFO James Kavanaugh spoke of workforce rebalancing on the earnings call.

The company has been trying to fit into the emerging AI narrative, which has been the big story across tech since OpenAI released ChatGPT in late 2022. In May, IBM announced WatsonX, billed as a development studio for companies to ""train, tune and deploy"" machine-learning models.

The book of business for generative AI and Watsonx products doubled in size from the third quarter of 2023, when it was in the low hundreds of millions, according to IBM's earnings call in January.

IBM faces steep competition in the enterprise AI realm. Microsoft, Google, Amazon and others have similar offerings, and IBM has long been viewed as falling behind in the AI race, particularly when it comes to making money from its products.

""I think that's a fair criticism, that we were slow to monetize and slow to make really consumable the learnings from Watson winning Jeopardy,"" Krishna told CNBC in December. ""The mistake we made was that I think we went after very big, monolithic answers, which the world was not ready to absorb.""

Nearly two years ago, IBM sold its Watson Health unit for an undisclosed amount to private equity firm Francisco Partners.",Hayden Field,"Layoffs, International Business Machines Corp, Technology, Breaking News: Technology, Artificial intelligence, Generative AI, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.cnbc.com/2024/03/12/watch-citadels-ken-griffin-talk-about-the-markets-economy-and-the-feds-rate-cutting-path.html,CNBC,"Watch Citadel's Ken Griffin talk about the markets, economy and the Fed's rate-cutting path","[The stream is slated to start at 3:20 p.m.ET. Please refresh the page if you do not see a player above at that time.]

Ken Griffin, Citadel founder and CEO, is set to speak at the International Futures Industry conference in Boca Raton, Florida.

He will discuss his views on the latest market trends as well as the economy and the Federal Reserve's monetary policy ahead.",Yun Li,"Breaking News: Investing, Markets, Breaking News: Markets, Livestream, Breaking news, Investment strategy, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,2,"February, Inflation, Rates"
https://www.cnbc.com/2024/03/12/boeing-max-problems-shift-growth-plans-at-southwest-united.html,CNBC,Boeing's Max problems shift growth plans at major airline customers,"Boeing's latest Max crisis is forcing some of its biggest customers to rethink their growth plans this year — and possibly beyond, several airline CEOs said Tuesday.

Their comments highlight how Boeing's top buyers have felt the effects of its problems: snowballing quality control issues, a slow increase of output and certification of new aircraft that is running years behind schedule.

Southwest Airlines, which only flies Boeing 737s, trimmed its 2024 capacity forecast and said it was reevaluating its 2024 financial guidance, citing fewer Boeing deliveries than it previously expected this year: 46 Boeing 737 Max planes, down from 79.

""Boeing needs to become a better company and the deliveries will follow that,"" Southwest Airlines CEO Bob Jordan said at a JPMorgan industry conference Tuesday.

Alaska Airlines said Tuesday that its 2024 capacity estimates are ""in flux due to uncertainty around the timing of aircraft deliveries as a result of increased Federal Aviation Administration and Department of Justice scrutiny on Boeing and its operations.""

United Airlines CEO Scott Kirby said at the JPMorgan conference on Tuesday that the carrier has asked Boeing to stop building it Max 10 planes, an aircraft that hasn't yet been certified by the FAA, and produce more Max 9s, which are flying already.

""It's impossible to say when the Max 10 is going to get certified,"" Kirby said. In January, Kirby said the airline would build a fleet plan without the Max 10 because of the delays.

On Friday, United told staff that it would have to pause pilot hiring this spring because new Boeing planes are arriving late, CNBC reported.

The frustration from airline bosses has been building in recent months since Boeing's latest crisis stemmed from a door panel that blew out midair from a Max 9 plane during an Alaska Airlines flight in January. The accident ramped up scrutiny on Boeing, and a preliminary National Transportation Safety Board investigation said bolts on the door panel didn't appear to be attached when the planes left the company's factory in Washington state.

""We are squarely focused on implementing changes to strengthen quality across our production system and taking the necessary time to deliver high quality airplanes that meet all regulatory requirements,"" Boeing said in an emailed statement. ""We continue to stay in close contact with our valued customers about these issues and our actions to address them.""

The FAA has halted Boeing's planned output increases and said a recent audit ""identified non-compliance issues in Boeing's manufacturing process control, parts handling and storage, and product control.""

Boeing's CEO Dave Calhoun and other leaders have vowed to stamp out quality control problems, and have been holding a number of work pauses to discuss issues with workers.

On Tuesday, Stan Deal, Boeing's commercial airplanes' unit CEO, told staff that the company would work with employees who have been found to have non-compliant issues during the audit to make sure they ""fully understand the work instructions and procedures"" and implement weekly compliance checks, and plan for more audits this month.

In a note to staff, Deal said employees must ""precisely follow every step of our manufacturing procedures and processes"" and ""always be on the lookout for a potential safety hazard,"" telling employees ""you are fully empowered to report it through your manager or the Speak Up portal, so we address it right away rather than travel the risk to the next person or position.""",Leslie Josephs,"Airlines, Travel, Transportation, Aerospace and defense industry, Business, Life, Breaking News: Business, Boeing Co, Southwest Airlines Co, Alaska Air Group Inc, United Airlines Holdings Inc, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.cnbc.com/2024/03/12/how-to-develop-your-kids-growth-mindset-and-help-them-succeed.html,CNBC,Stanford-trained psychologist: This is the No. 1 way to sharpen your kid’s brain and help them succeed,"Parents aren't always sure how to most effectively support their kids' development and help them sharpen their brains. The good news is that a lot of good advice can be summed up in a single goal: Help them adopt a growth mindset as often as possible. When we're in our growth mindset, we believe that our capacity to learn is unlimited. In our fixed mindset, by contrast, we believe that we were either born with certain talents and strengths or we weren't, and there's nothing we can do about it.

Because we all have both mindsets and move between them based on the situation, the No. 1 way to help kids succeed is to encourage them to access their growth mindset more of the time. Research shows it can dramatically improve their attitude, engagement, and performance.

Here are five ways you can help your child develop a growth mindset:

1. Share stories of perseverance

Sometimes, kids are embarrassed by their failures or struggles because they believe everything comes easily to adults. Since storytelling is one of the most powerful ways to impart lessons, you can use stories to show them that's not the case and teach them about growth mindset.

One of my friends has an 8-year-old with a bit of a perfectionist streak. If she doesn't get new material at school right away, she becomes discouraged. So my friend, who's a writer, shared with her daughter that she has to go through multiple drafts for every project, constantly revising and improving her work. Her daughter was amazed and relieved to discover that her own mother has to work hard, too!

These types of stories help normalize and show kids that almost anything worth doing usually involves a bit of struggle, especially at the beginning.

2. Talk about your favorite mistakes

When we inhabit our growth mindset, we're not afraid of making mistakes because we don't believe they reflect our inherent ability. Instead, we see missteps as learning opportunities.

I was delighted to witness a tool one teacher used to encourage growth mindsets in her classroom. On a large wall display titled, ""My Favorite Mistakes,"" each student shared a mistake they'd made, along with how it spurred their learning.

You can do a similar exercise at the dinner table. Ask everyone to share a recent misstep, along with how it made them feel and what they're learning from it. These can be light, fun conversations where we can laugh about our mistakes (""I definitely shouldn't have worn a white shirt to work because I ended up spilling lunch all over it!""), or a chance to recount more vulnerable moments (""I hurt someone's feelings today."").

Through these conversations, we can accept our mistakes and embrace what they have to teach us.

3. Remind your kids how far they've come

Kids often hyper-focus on the failure or struggle they're experiencing in the present moment, losing sight of the success they've had in the past.

If your child is feeling discouraged, remind them of the path they've taken and the obstacles they've overcome to get where they are now. For example: ""Remember when you were having a hard time learning to read? Now you're reading entire chapter books on your own!""

You can pull out some old assignments, photos, or videos to illustrate how things that were once challenging for them are now a piece of cake.

Many kids — from toddlers to teens — love being reminded of what they were like when they were younger and how they've developed over time. This conversation also demonstrates your appreciation of them as individuals with their own growth trajectories.

4. Ask your kids where they need support

The simple act of checking in with your child helps you uncover if there's an area where they need extra support or assistance, whether it's practical help with math homework or a pep talk. For instance, ask them something like, ""So, what challenges are you working with right now?""

Notice that this language normalizes the idea that at any given time, each of us is struggling with something. You could even lead by sharing something you're wrestling with, then ask them what they're facing.

Helping kids tap into their growth mindset isn't just about encouraging them to hang in there or try harder. It's about ensuring that they have the resources and support they need to be successful.

5. Make it fun

Shaping your family's mindset is a group effort, but it doesn't have to feel serious or heavy. For instance, one activity that can be both fun and effective is to engage the whole family in coming up with a slogan or mantra, such as ""We love learning!"" or ""Go for growth!""

When we see learning and growing as enjoyable, we're more likely to want to do the work it takes to get there.",Mary C. Murphy,"Students, Children, Psychology, Parents, Parenting, Make It Contributors",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.cnbc.com/2024/03/12/many-of-worlds-happiest-countries-are-also-best-for-women-research-shows.html,CNBC,"Many of the world’s happiest countries are also the best for women, research shows—here’s why","Some of the world's happiest countries are also the most gender-equal.

Iceland, Finland, Sweden, Norway and New Zealand all appear in the top 10 of two key rankings: The World Happiness Report's annual list of the happiest countries in the world and the World Economic Forum's Global Gender Gap Report, which ranks the world's most gender-equal countries.

While neither report has been updated since 2023, these countries have been leading the world toward achieving gender equality and boosting residents' happiness for years, ranking high on both lists since at least 2018.

The UN Sustainable Development Solutions Network, the organization behind the World Happiness Report, uses six factors to score countries' happiness: social support, income, health, freedom, generosity and absence of corruption.

The WEF compares countries' gender gaps across four dimensions: economic opportunities; educational attainment; health and survival; and political empowerment.

It's no coincidence that the world's happiest countries also champion gender equality socially and economically. Residents and workplace experts in these countries say that positive attitudes toward gender equality contribute to the overall well-being of its inhabitants.

How Nordic countries use social policies to promote gender equality and happiness

In its research, the WEF establishes a clear correlation between social policies, families' happiness and women's career advancement.

The Nordic countries — Iceland, Sweden, Finland and Norway — have some of the most generous paid leave policies for parents in the world.

In Norway, new parents are entitled to a total of 49 weeks of leave at full pay or 59 weeks at 80% pay. Of these, 15 weeks are reserved for the mother, 15 weeks are reserved for the father, and the remaining 19 weeks can be shared between them as they see fit.

Krysta Alexa, an American expat raising two kids in Bergen, Norway's second-largest city, is currently on maternity leave with her newborn son (for privacy reasons, she declined to share her last name and the names of her children).

""Here, I feel like I can have it all, I can balance having a career and being a mother,"" the 32-year-old, who works in project management, explains. ""In other countries, you might have to sideline your career and stay at home with your children because of the costs associated with child care, but in Norway, there is clear support to make your professional life flexible around family.""

Access to affordable child care in some of these countries is another resource Nordic residents credit with boosting women's and families' well-being.

""The burden of being a working mother is made a lot lighter in Sweden as compared to the U.S.,"" says Linda Akeson McGurk, a Swedish-American writer raising her two daughters in southwest Sweden. McGurk lived in the U.S. for 15 years before moving back to Sweden with her kids in 2018.

As a single mom, McGurk was worried about finding after-school care for her daughters in Sweden, given how expensive — and in some cases, competitive — it was for them in the U.S.

But the 45-year-old says she was ""pleasantly surprised"" at how easy it was to find affordable child care, thanks to the government-subsidized after-school programs Sweden offers for students and their families.

Such policies' positive impact on women and families can't be understated. In Norway, increased federal financing for daycare has prompted more mothers to return to the workforce, while Sweden has one of the highest percentages of mothers in the workforce of the 38 countries counted by the Organisation for Economic Co-operation and Development (OECD).

""All of these different components of social welfare help lighten the load of parenthood and diminish the gap between genders,"" says McGurk. ""That makes it a lot easier to hold on to a career, and a life overall, that you're happy with.""

Progress on equal pay could mean happier employees

Some of the happiest countries in the world have introduced measures to shrink the gender wage gap. Workplace experts say such efforts could help workers there feel more secure and satisfied in their careers.

In August, New Zealand's government introduced legislation to require large businesses to report the state of their gender pay gaps in a bid to make workplaces more equitable, Bloomberg reports. While it's unclear when, or if, such legislation might pass, New Zealand already has one of the smallest gender wage gaps in the world, standing at about 14%, according to the WEF.

Six years ago, Iceland introduced a policy that requires organizations with more than 25 employees to prove that they pay men and women in the same roles equally.

While the WEF pegs the wage gap between men and women in Iceland at 21%, other sources, including the OECD, put the gap at closer to 10%.

If companies show they pay their employees equally regardless of gender, they receive a certification. Beginning in 2020, certification became a requirement for employers with 25 or more workers, and companies without certification incur a daily fine, according to Ines Wagner, a researcher at the Institute for Social Research in Oslo, Norway.

Wagner studied the impact of Iceland's pay transparency policy on workers' well-being and found that both employees and managers reported higher job satisfaction and trust in the workplace after its implementation.

""People are generally happier in their jobs if they feel that they are being paid fairly,"" Wagner, who is also a research professor at the University of Oslo in Norway and a JFK Memorial Fellow at the Center for European Studies at Harvard University, points out. ""These policies also set a precedent of encouraging employees to advocate for themselves and collaborate to create a healthier, more equitable work environment.""

There are other strategies these countries are using to advance equity in workplaces. Finland, Iceland and Sweden offer free college tuition to its citizens, which can help give people more equal access to high-paid work opportunities, says Claudia Bernhard-Oettel, a professor of organizational psychology at Sweden's Stockholm University.

""Research has shown that the happiest countries are often the countries where the gap between the richest and poorest is the smallest,"" she explains. ""The countries that rank high on both happiness and gender equality have managed to build up a country where people feel that they can succeed and are supported in their educational or professional pursuits.""

To be clear, the happiest countries — even the best countries for women — are far from perfect. In Iceland, for example, tens of thousands of women participated in a one-day strike in October to protest the ongoing gender pay gap and gender-based violence Icelandic women face.

Adds Bernhard-Oettel: ""Even if we are further ahead than other countries when it comes to gender equality and happiness, there is still a lot of work to be done.""",Morgan Smith,"Norway, Civil rights violations, Social issues, Iceland, Labor economy, Personnel, Sweden, Finland, New Zealand",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.cnbc.com/2024/03/12/voters-blame-businesses-more-than-biden-for-sticky-inflation.html,CNBC,Voters blame businesses more than Biden for sticky inflation,"President Joe Biden is starting to win the inflation blame game against corporations.

A recent Financial Times-Michigan Ross online poll found that 63% of survey respondents blame price increases over the last six months on ""large corporations taking advantage of inflation,"" up from 54% in November. Meanwhile, 38% of respondents attributed the price increases to Democratic policies, unchanged from November.

A 59% majority still disapproved of Biden's handling of the economy, down only slightly from 61% in November, the poll showed. The poll, taken between Feb. 29 and March 4, surveyed 1,010 registered voters with a margin of error of +/-3.1%.

Still, voters growing frustration with businesses is a relief for the White House and Biden's reelection campaign.

Both have been slogging through an uphill battle to convince Americans that stubbornly high inflation is the fault of corporations, not Bidenomics.

""Too many corporations raise their prices to pad their profits, charging you more and more for less and less,"" Biden said Thursday in his State of the Union address. ""That's why we're cracking down on corporations that engage in price gouging or deceptive pricing from food to health care to housing.""

The consumer price index released Tuesday found that inflation ticked 0.4% higher in February, mostly matching analysts' expectations. The rise in prices was driven primarily by housing costs, one of the key focuses of Biden's 2025 budget proposal released Monday.

""As I said in my State of the Union, we have more to do to lower costs and give the middle class a fair shot,"" Biden said Tuesday in response to the CPI report.

In another welcome data point for Biden, consumer confidence has seen a record turnaround.

In February, consumer sentiment was at 76.9, roughly the same level as when Biden entered office, according to a widely watched consumer survey from the University of Michigan. That is a remarkable rebound from when consumer optimism hit an all-time low in June 2022.

The Financial Times poll confirmed rosier economic attitudes. Though the majority was still more negative on the economy, the gap narrowed: 30% of respondents rated overall economic conditions as positive, a nine-point increase from November.

Biden's battle against corporate interests has been the foundation of his economic platform since the beginning of his administration.

From an aggressive antitrust crusade to a crackdown on junk fees to new rules on drug pricing negotiation, the president has established various battlefronts to wage war against rising consumer costs. Biden's 2025 budget also restated his demand for tax hikes on billionaires and wealthy corporations.

However, as the November general election looms, Biden's next economic face-off is against former President Donald Trump, the presumptive Republican presidential nominee.

In a CNBC interview on Monday, Trump slammed Biden's economy and ""through the roof"" energy and food prices. Recent polling has found that voters still prefer Trump's handling of the economy to Biden's. Trump has said that if he's elected he is considering universal import tariffs, which would likely raise consumer prices.

In the same interview, Trump suggested he was open to making cuts in Social Security, Medicaid and Medicare. The Biden campaign immediately jumped on it.

""This morning, Donald Trump said cuts to Social Security and Medicare are on the table again,"" Biden said Monday at a speech in New Hampshire following the release of his 2025 budget proposal. ""I'm never going to allow that to happen.""",Rebecca Picciotto,"Defense, Elections, Politics, Breaking News: Politics, Inflation, Medicare, Social Security, Medicaid, Joe Biden, Government and politics, Social issues, Prices, Economic events, Donald Trump, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.cnbc.com/select/what-are-quarterly-tax-payments/,CNBC,What are quarterly tax payments — and do you need to pay?,"If you're a freelancer, a small business owner, or anyone else who earns non-wage income, then tax time likely comes more than once a year. That's because the IRS requires you to make estimated tax payments every three months on any qualifying income that wasn't subject to federal withholding. Even if you earn all your taxable income through wages, you still might have to make quarterly payments under certain circumstances.

Failure to pay these taxes can hit you with a hefty penalty, so read on to understand who makes these payments and how they work.

Who owes quarterly tax payments?

The IRS requires you to pay taxes throughout the year as you receive income. If you earn a wage and get a W-2, then your employer is doing this on your behalf every time they withhold money from your paycheck. But if you receive other types of taxable income separate from your W-2, then you're responsible for making quarterly, estimated payments.

According to the IRS, you may have to make estimated tax payments if you receive any of the following types of income:

Speaking of self-employment income, if you work for yourself and expect to owe $1,000 or more in taxes, you likely need to pay estimated taxes regularly. These cover not only income tax but also the self-employment tax and alternative minimum tax.

Even if none of the above applies to you, you can still be subject to estimated taxes. For example, if you owe $1,000 or more in federal income taxes (after accounting for withholding and refundable credits) then you need to pay quarterly taxes.

You also need to pay estimated taxes if your withholding and refundable credits cover less than 90% of your tax liability for the current tax year, or 100% of your liability for the previous year (110% for higher-income taxpayers) — whichever is smaller.

When are quarterly payments due?

Quarterly tax payments are due every 3 months. As the IRS explains, a year has four payment periods with the following quarterly payment due dates: April 15, June 15, Sept. 15 and Jan. 15. If a date falls on a weekend or holiday, the deadline is the next business day.

In 2024, the due dates are:

How to estimate quarterly tax payments

You have a couple of options when it comes to figuring out your quarterly payments.

If your income is consistent, you can estimate how much you'll make and owe in taxes for the year — and send one-fourth of that to the IRS each quarter. Look at your taxes from last year to see how much taxable income you earned, and use that as a starting point when estimating your quarterly payments.

If your income varies, you can estimate your tax bill at the end of each quarter based on how much you have made that quarter. In this scenario, your payment amounts will be unequal throughout the year.

How to make quarterly tax payments

Form 1040-ES offers detailed instructions and can help you figure out the calculations for your payments.

There are a few ways you can pay your estimated taxes, including:

If you use EFTPS, you can also access your payment history, which makes it easy to track the estimated tax payments you've already made. Alternatively, you can check your tax records kept in your IRS online account. Keep records of the estimated tax payments you make since you'll need to report them when filing your personal tax return. The total amount will go into line 26 on Form 1040.

Dealing with your quarterly payments by yourself might seem overwhelming. If that's the case, tax software can walk you through the process. TurboTax's Premium plan, for example, can help self-employed filers search for industry-specific deductions and correctly fill out the right information. And if you need help from a tax expert, you can upgrade to the Live Assisted option and get unlimited tax advice.

Certain software can also help you stay on top of your quarterly payments. For instance, if you opt for the Self-Employed tier with TaxSlayer, you can get tax payment reminders and print vouchers to easily keep track of your payments.

What happens if you miss a quarterly estimated tax payment

If you don't pay your estimated taxes on time (or if you don't pay enough), the IRS can charge you a penalty. The amount you owe increases the longer you go without payment. The failure to pay penalty is 0.5% of the unpaid taxes for each month or part of a month you don't pay, up to 25% of your unpaid taxes. Even worse, the IRS charges interest on penalties, which increases how much you owe. These interest rates are set quarterly.

If you rely on self-employed or other income that requires estimated payments, penalties can balloon quickly. For that reason, it's best to stay on top of your quarterly tax obligations. Consider working with a tax professional if you struggle to figure out how much you owe or have other questions.

Why trust CNBC Select?

At CNBC Select, our mission is to provide our readers with high-quality service journalism and comprehensive consumer advice so they can make informed decisions with their money. Every tax guide is based on rigorous reporting by our team of expert writers and editors with extensive knowledge of tax software products. While CNBC Select earns a commission from affiliate partners on many offers and links, we create all our content without input from our commercial team or any outside third parties, and we pride ourselves on our journalistic standards and ethics.",Ana Staples,"Personal finance, Labor economy, Social issues",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,7,"Free, Irs, Tax"
https://www.cnbc.com/2024/03/12/apple-will-allow-iphone-app-downloads-from-websites-in-europe.html,CNBC,Apple will allow iPhone app downloads from websites in Europe,"IPhone users in the European Union will be able to download apps from websites, instead of through the App Store or a competing app store app, Apple said, in the the latest change forced by the European Commission's Digital Markets Act.

It's a major reversal for Apple. The company has for years fought against web downloads of iPhone software — often called sideloading — citing security issues and Apple's right to dictate its user experience.

Tuesday's announcement is the latest example of the Digital Markets Act forcing Apple to make long-resisted changes to its App Store business processes. The DMA is designed to compel ""gatekeepers"" — big tech companies including Apple — to open their platforms to smaller rivals.

The web download program will start later this spring and requires developers to meet ""specific criteria,"" such as having an app with over 1 million downloads in Europe. Apple will still collect a fee, it said.

Apple said companies can also offer an app store for iPhones in Europe, so long as it only offers access to one company's apps.

""Distributing apps directly from a website requires responsibility and oversight of the user experience, including the ability to manage apps and provide customer support and refunds,"" Apple said on a support page posted Tuesday. ""Apple will authorize developers after meeting specific criteria and committing to ongoing requirements that help protect users.""

Under the DMA, Apple has been forced to allow third-party app stores in Europe, has reinstated antitrust adversary Epic Games' developer account amid a legal dispute, and has backtracked on banning web app shortcuts on the main iPhone screen. Apple's moves suggest the European Commission will be able to successfully regulate Apple in the region by threatening fines and other action for non-compliance.

European Commission Executive Vice President Margrethe Vestager said the European Commission was checking with Apple's rivals such as Spotify — which supported Apple being hit with a recent $1.95 billion EU fine over a related app store practice called steering — to make sure that Apple's new policies comply with the spirit of the law.

""We will want to hear from third parties,"" Vestager told CNBC on Monday. ""Do they get what the DMA is supposed to give them, which is an open market?""

Apple still plans to charge a fee of fifty Euro cents for app downloads outside of its App Store, including web app downloads. Apple's App Store fees are a profit center for the company, reported in the company's services business, which delivered $78 billion in sales in the company's fiscal 2023, including subscriptions and other items.

The company has said Europe represents about 7% of Apple's App Store revenue.",Kif Leswing,"Apple Inc, Business, Breaking News: Technology, Technology, Mobile, iPhone, Entertainment, AppStore, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.cnbc.com/2024/03/12/biden-makes-it-easier-to-forgive-student-debt-in-bankruptcy.html,CNBC,"Student loans are now easier to discharge in bankruptcy, attorneys say: It's 'life changing'","The Biden administration's new student loan bankruptcy policy is making it easier for borrowers to walk away from their debt in court, attorneys say.

""We have gotten forgiveness for a number of clients under the new bankruptcy changes,"" said Malissa Giles, a consumer bankruptcy lawyer in Virginia. ""The discharge is life changing for them and their families.""

In the fall of 2022, the U.S. Department of Education and the U.S. Department of Justice jointly released updated bankruptcy guidelines aimed at making the process for student loan borrowers less arduous.

Previously, it was difficult, if not impossible, for most people to part with their education debt in a normal bankruptcy proceeding.

Amid concerns that students would rack up debts for their education and then try to ditch their obligations, policymakers over the years had added extra stipulations for the discharge of student loans in bankruptcy. Borrowers needed to prove ""undue hardship,"" or a ""certainty of hopelessness,"" and government lawyers battled most of the requests.

The Biden administration's updated policy now treats student loans more like other types of debt in bankruptcy court, experts say. Student loan borrowers can fill out a 15-page form, detailing their financial struggles and making their case for a mulligan.

""While the government used to fight discharge aggressively in almost every case, there is now a policy to agree when the borrower can show financial need and a history of good faith efforts to pay the loans,"" said Latife Neu, a bankruptcy lawyer in Seattle.

""I've helped several people take advantage of the expanded ability to discharge their student loans in bankruptcy,"" Neu added.

Student loan borrowers have other options for relief

While borrowers in extreme financial distress may benefit from the more lenient rules, most people should try to avoid bankruptcy, experts say.

Depending on the type of bankruptcy you pursue, that information can stay on your credit report for up to 10 years, making it a challenge to buy a house, apply for other types of loans and even to rent an apartment.

Most borrowers should look for other relief options instead, said higher education expert Mark Kantrowitz.

Federal student loan borrowers have several ways to reduce their debt burden, including income-based plans with $0 monthly payments and economic hardship and unemployment deferments. There are also loan relief opportunities for borrowers with disabilities and cancer.

Lastly, after President Joe Biden's plan to cancel up to $20,000 in student debt was struck down at the Supreme Court, the president started a new effort to forgive education debt. One of the groups that may qualify are those in financial hardship.

As a result, Kantrowitz said, borrowers might want to wait and see what relief the government is able to deliver before they pursue bankruptcy. The Biden administration may announce its revised forgiveness package as soon as November.

Struggling borrowers who are still considering bankruptcy should talk with a nonprofit credit counselor before they file, he said.",Annie Nova,"Personal finance, Personal loans, Roanoke, Jerome Powell, Joe Biden, Seattle, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,12,"Attorneys, Loans, Student"
https://www.cnbc.com/2024/03/12/frontiers-newest-upsell-empty-middle-seats-more-legroom.html,CNBC,"Frontier's newest upsell: Empty middle seats, more legroom at the front of the plane","First class on Frontier? Not quite. But the budget airline on Tuesday launched a new add-on to get more room at the front of its tightly-packed planes — with no middle seat neighbor.

On flights starting April 10, Frontier will offer UpFront Plus in the first two rows of its Airbus planes, where it will block the sale of the middle seat. Those seats will also include four to five inches more legroom compared with most of the seats on the planes, an airline spokeswoman said.

Prices start at $49, for bookings made by March 20 for flights between April 10 and April 30, but the spokeswoman said the seat option ""is not intended as a limited time offer.""

Airlines from budget carriers like Spirit and Frontier to behemoths like Delta, United and American have looked for ways to segment their cabins, sell higher-priced products to customers, or add fees for advance seat selection.

Fellow budget airline Spirit offers the ""Big Front Seat"" in its Airbus cabins. The new Frontier option isn't a new seat, but is instead spaced differently than most of the plane.

Fees are especially key for budget airlines, which charge more for everything from seat selection to carry-on bags on top of the base fare. Frontier brought in $42 per passenger on average last year from airfare, down 22% from 2022, while non-fare revenue rose 1% to almost $74.",Leslie Josephs,"Spirit Airlines Inc, United Airlines Holdings Inc, American Airlines Group Inc, Delta Air Lines Inc, Frontier Group Holdings Inc, Markets, Airlines, Travel, Transportation, Aerospace and defense industry, Business, Life, Breaking News: Business, Breaking News: Markets, business news",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
