url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.euronews.com/2024/03/12/moldova-protests-russian-voting-stations-in-transnistria,Euronews (EN),Moldova protests Russian voting stations in Transnistria,"The eastern European country summoned Russia's ambassador on Tuesday, after Moscow decided to open polling stations for Russian elections in the Transnistrian region without its consent.

Moldova has slammed Moscow's decision to open polling stations in the breakaway Transnistria region ahead of presidential elections in Russia on 15 -17 March, summoning the Russian ambassador on Tuesday.

Transnistria is not recognised internationally as a sovereign state, with the EU defining the territory as militarily occupation by Russia.

Although officially unrecognised, Transnistria is a de facto presidential republic within Moldova - with its own government, parliament and military.

""The State of the Republic of Moldova acts where it can control the environment and accordingly we will not admit violations on the territory controlled by the constitutional authorities,"" Dorin Recean, Prime Minister of Moldova, told journalists after the meeting.

The Russian ambassador said Russian diplomacy would respect the right to vote of all Russian citizens.

Some 200,000 Russian citizens live in Transnistria, according to local pro-Russian authorities.

""There have been many requests to the Central Election Commission of the Russian Federation, the Ministry of Foreign Affairs of the Russian Federation, as well as to the Embassy. People [with Russian citizenship] asked for their legal right to vote,"" Oleg Vasnetsov, Russian Ambassador to Moldova, said.

On Monday, local media announced that the Russian Federation will open six polling stations in the Transnistria region and people with expired or Soviet-era passports able to vote.

Voting in Russia's upcoming presidential election - which Vladimir Putin is all but certain to win - extends to territories annexed by Russia, including Crimea and the occupied parts of southeastern Ukraine.

Russian personnel fighting in Ukraine have already begun to cast their ballots for the vote between 15 to 17 March, despite resistance by Kyiv.

The past two years have been the hardest and most tumultuous for European Union candidate Moldova in more than three decades as it faces threats from Russia in multiple spheres of public life, the country's foreign minister has said.

Since Russia invaded Ukraine in 2022, fears have grown in Moldova that the country is also in the Kremlin's crosshairs.

These included errant missiles landing on its territory; a severe energy crisis after Moscow dramatically reduced gas supplies; rampant inflation; and protests by pro-Russia parties against the pro-Western government.

Moldova has also taken in the highest number of Ukrainian refugees per capita of any country.

Moldova gained independence from the Soviet Union in 1991, but Russia continues to see the country - sandwiched between Ukraine and EU member Romania - as within its sphere of influence.",Euronews,"Diplomatic tension, Russian presidential elections, Transnistria, Moldova",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.euronews.com/green/2024/03/12/can-you-fit-a-heat-pump-in-an-apartment-new-york-is-testing-new-window-mounted-tech-for-re,Euronews (EN),These window-mounted heat pumps can be fitted in 15 minutes,"Heat pump tech has been downsized into something that looks a bit like a window air conditioner.

For 27 years, the heat in Regina Fred's Queens apartment building came from a noisy steam radiator that she couldn't control.

Sometimes it didn't come on at all, leaving her shivering. Sometimes, the radiators ran so hot that residents had to keep their windows open in the middle of winter for relief.

That all changed a few months ago when she got a window-mounted heat pump as part of a pilot project by the New York City Housing Authority (NYCHA) aimed at cutting energy costs and lowering emissions.

Suddenly, all Fred has to do is touch a dial to bump her temperature up or down, and she finds herself enjoying ""a very good silence.""

""They did a demonstration for me and I was thrilled,"" Fred said. Now, her grown children call the heat pump ""the best thing"" she has in her apartment, and her neighbours have knocked on her door to check out the unit.

Heat pumps aren't just for homeowners

Heat pumps, a highly efficient technology that has grown in popularity in recent years to rival gas furnaces, have mainly been an option for owners of houses.

But new designs are making them practical for apartments, too, which often rely on inefficient centralised steam boilers powered by oil or gas. That represents a promising climate solution for buildings, whose operations account for 26 per cent of global energy-related carbon emissions, according to the International Energy Agency.

The IEA said last year that installing heat pumps in apartment buildings and commercial areas should ""be a priority area"" to maintain the growth necessary to meet national climate pledges worldwide.

The US alone has 23 million apartment units, according to the National Multifamily Housing Council, representing a huge sector of people who could use less energy with heat pumps.

New York law requires buildings to make big cuts in greenhouse gas emissions over the next decades. To comply, NYCHA is targeting heating and cooling, the largest source of emissions for the agency.

It houses about 528,000 people across more than 2,400 buildings - or about one in 17 New Yorkers, said Shaan Mavani, the agency's chief asset and capital management officer.

A 19th-century technology incompatible with 21st-century needs

Centralised steam boilers powered by natural gas or oil typically provide heat to these buildings and they are wasteful. The NYCHA's climate mitigation roadmap calls steam heat ""19th-century technology incompatible with 21st-century needs.""

Mavani said between 30 per cent and 80 per cent of heat is lost through old and leaky ductwork before it reaches apartments. And that doesn't account for the waste when residents have to open their windows to dissipate excess heat from a system they can't control.

Eric Wilson, a senior research engineer for the Department of Energy's National Renewable Energy Laboratory, led a team that analysed heat pump performance in various electric grid scenarios and found even the lowest-efficiency pump would cut greenhouse gas emissions and save on operating costs in every US state.

That analysis didn't include the kind of pump being tested in Queens because it wasn't yet on the scene, but Wilson said he would expect similar results.

Most heat pumps require ductwork, which isn't an option for renters in a unit they don't own. And ductless systems typically require extensive installation that includes wiring, making a hole in a wall and a sizeable external compressor.

Gradient and Midea, the two companies making the units in the pilot project at Woodside House, downsized it all into something that looks a bit like a window air conditioner but with a much lower profile. Exterior and interior halves drape over a windowsill to leave the window mostly unobscured.

Gradient, one of the companies, says its unit installs in 15 minutes and plugs into an ordinary wall outlet.

Wilson said the interior portion of the units ""take up more space on the inside than you might be used to"" but Fred called it ""very beautiful.""

""Look, I even have it for decoration,"" she said. Her three window units are usually topped with flowers and decorative candles. In one room on a particularly sunny day, morning light shone on a rose, a jar of rose petals, decorative boxes and a ""LOVE"" sign atop one of them.

Green heating solutions for the people who need them most

Gradient was founded seven years ago in San Francisco with the ambition to decarbonise buildings with a window unit heat pump that can be easily installed without technicians.

Part of their goal was a solution for people just like those at Woodside, CEO Vince Romanin said - people in older multi-family buildings with complaints about their window ACs or aged radiators that don't have a temperature setting.

""We think that if you're not building solutions for people who need it most, if you're not building solutions for people who have insufficient heating (and) cooling today, they're not really solving climate change,"" Romanin said.

Z Smith, an architect at the firm Eskew Dumez Ripple who isn't involved in the Queens project, said such retrofitting ""is the carbon-smart way to get to better comfort for occupants.""

That's because one of the most effective ways to cut emissions from buildings is to avoid putting up new ones, which result in significant emissions due to all the new concrete, steel and wood.

He called the low-profile heat pumps a ""lightweight intervention"" because they're so easy to install.

The NYCHA will evaluate the results of the pilot project, with plans to eventually install more than 4,000 heat pumps over two years if all goes well.

The authority expects to save money on operating and maintenance costs with the heat pumps but is waiting to see initial results before it projects those savings.",Euronews,"Gas, apartment, carbon emissions, Oil, building, heat pump",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/green/2024/03/12/european-commission-slammed-for-tepid-response-to-rapidly-changing-climate,Euronews (EN),European Commission slammed for ‘tepid’ response to changing climate,"In the wake of a stark warning from the EU’s environmental watchdog over the looming human and economic cost of climate change in Europe, the European Commission has outlined its strategy for managing the risks faced by the fastest warming continent on the planet.

Governments, regional authorities, the business community and European citizens as a whole must face the fact that, even if world leaders succeed in limiting temperature rise to 1.5 degrees in line with the Paris Agreement of 2015, Europe must prepare for double that amount of heating.

That was the message of climate commissioner Wopke Hoekstra as he presented on Tuesday (12 March) an EU strategy for managing the associated risks, a day after the European Environment Agency (EEA) published a first EU climate risk assessment report warning of potentially catastrophic damage to health, property and ecosystems.

“Climate impacts will unfortunately continue to get worse before it gets better,” Hoekstra told reporters in Strasbourg, shortly before delivering the same message to the European Parliament. “It is inevitable, and might at times feel overwhelming.”

The response from the commission, which was kept abreast of the content of the EEA report as it drafted its plan, is in the form of a communication setting out a broad “direction of travel” and an “overview of possible solutions”, as Hoekstra put it.

“It will be essential to have clarity on who owns the risk so we can act effectively,” the commissioner said.

The non-legislative communication sets out four categories for action, first of which is improved governance. The EU executive calls for better use of data and evidence, and closer cooperation between national, regional and local authorities.

The second objective is ensuring the right information is available to those who need it, helping businesses and investors to “better understand the interlinkages between climate risks, investment and long-term financing strategies”.

The Galileo emergency warning satellite, due to go live in 2025, will help by communicating alert information to people, businesses and public authorities “even when terrestrial alert systems are down”, the EU executive said in a statement accompanying its paper.

Better spatial planning and maintaining critical infrastructure is the third broad area for action, followed by mobilizing “sufficient public and private finance” for building up Europe’s climate resilience.

The publication was not well received by Sergiy Moroz of the European Environmental Bureau, an influential Brussels-based NGO umbrella group, who accused the EU executive of merely echoing the EEA report rather than offering concrete solutions.

“Europe's temperatures are soaring above the world average spelling disaster for our ecosystems and economies,” Moroz said, adding: “And yet, the European Commission's tepid response today merely acknowledges the severity of the issue without offering concrete solutions.”

“Urgent action is essential, starting with transforming agricultural and water management practices to align with planetary boundaries,” Moroz said. “A Climate Resilience Law must be a top priority for the new EU mandate post elections.”

The commission was previously expected to present a separate water resilience strategy alongside the climate adaptation paper, but that was shelved last month, sparking outrage among both green groups and the water industry.

The EU’s sudden pivot towards urgent climate adaptation and the acceptance of seemingly inevitable further temperature rise comes nine years after the signing of the Paris Agreement and almost three decades since the first COP climate conference.

Asked if the dilemma Europe is now facing, by no means alone, was indicative of a worldwide failure of political will, commission vice-president Maroš Šefčovič, speaking alongside Hoekstra, said the EU would use its climate diplomacy to help secure financing for “countries in need of help” while at the same time calling for action from other rich countries and “the biggest polluters who could do more”.

“I am sure we will fulfil our 2030 target and reduce greenhouse gas emissions by 55%,” the vice-president said, noting that Europe’s share of global emission would have more than halved by then to 3-4%. “We will also need to tackle the remaining 90-plus percent coming from other countries,” he said.",Robert Hodgson,"global warming, EU Policy, Climate crisis, Adaptation to climate change",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/health/2024/03/12/blood-donations-in-romania-surge-with-meal-voucher-scheme,Euronews (EN),Blood donations in Romania surge with meal voucher scheme,"The number of blood donors in Romania has surged following a significant increase in the value of meal ticket vouchers.

Blood stocks in Romanian hospitals have increased significantly thanks to a huge rise in the value of meal vouchers given to donors, according to authorities

The move has helped some hospital stocks increase tenfold, with blood donors in the southeastern European country typically compensated with food.

In January, the value of meal vouchers jumped from nearly €14 (67 RON) to €56 (280 RON), causing the number of people coming forward to surge.

""Compared to the same period last year, when we had a maximum of 5 donors per day, this year it's full here,"" Adina Beudean, director of the Bistrița Blood Transfusion Centre, told local media.

""Usually, at the beginning of the year, people don't come to the centre much. On average, on a normal day, we have around 15 donors in a day. In 2024, on the other hand, we had as many as 40-50 donors per day,"" she said.

In the central Romanian town of Sibiu, the Blood Transfusion Centre has limited the number of donors to a maximum of 60 people per day.

Meanwhile, in the central Alba region, the capacity for blood collection and storage has reached its limit due to the increase in donations.

Some centres are now requesting only certain blood groups.",Euronews,"Blood donation, Romania, Health",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.euronews.com/my-europe/2024/03/12/reform-of-eu-migration-policy-wont-lead-to-rwanda-style-plans-says-ylva-johansson,Euronews (EN),"EU migration reform won't lead to Rwanda-style plans, says Johansson","The reform of the European Union's migration policy will not encourage the outsourcing of asylum requests, Ylva Johansson has said.

""Do we need to work with third countries to manage migration? My answer is definitely yes. We are already doing that and it's necessary to do it even more. Nobody can manage migration alone,"" the European Commissioner for Home Affairs said on Tuesday afternoon. ""So we need to work with partner countries and we need to work along the routes and we need to fight the smugglers together.""

""Should we send away people that are on the EU territory applying for asylum to a third country? My answer is no. (We're) not open for that in the Pact.""

Johansson was referring to the New Pact on Migration and Asylum, the bloc's comprehensive reform that foresees common rules to manage the arrival of asylum seekers, fast-track the applications of those with low chances of success, and ensure a fair distribution of those granted international protection.

The New Pact was provisionally agreed upon in December and is set to receive the final greenlight from the European Parliament and member states next month, capping off almost four years of intense negotiations.

In parallel to the reform, the EU has stepped up efforts to reinforce the so-called ""external dimension"" of migration by designing bespoke agreements with neighbouring countries, including Tunisia, Mauritania and, soon, Egypt. In exchange for receiving a wide range of EU funds, the countries are expected to improve their border management and reduce departures of migrant vessels.

But in a move that took Brussels by surprise, Italy took the ""external dimension"" a step further and signed last year a protocol with Albania to process up to 36,000 asylum applications per year in the Balkan country.

The special procedure will apply to migrants who are rescued at sea by Italian authorities and then disembarked in the Albanian coastal town of Shëngjin, where two centres will be built at Rome's expense and exclusively governed under Italian jurisdiction. Those granted international protection will be sent to Italian territory.

The Italy-Albania deal was harshly criticised by humanitarian organisations, who saw it as an unlawful case of extraterritoriality that could lead to human rights violations.

The Commission did not object to the deal but stressed its implementation had to be in line with EU law, including the provisions of the New Pact once adopted. President Ursula von der Leyen later described it as an ""example of out-of-the-box thinking, based on fair sharing of responsibilities with third countries.""

The question of outsourcing resurfaced last week after von der Leyen's party, the centre-right European People's Party (EPP), adopted a manifesto for the EU elections calling for agreements to ensure ""anyone applying for asylum in the EU could also be transferred to a safe third country and undergo the asylum process there.""

""In case of a positive outcome, the safe third country will grant protection to the applicant on-site. A comprehensive contractual agreement will be established with the safe third country,"" the manifesto reads.

The project immediately evoked comparisons with the Rwanda plan, which Britain tried to pursue to fly asylum seekers to the African country. The plan was subject to a lengthy legal battle and eventually deemed unlawful by the country's Supreme Court.

Speaking on Tuesday, Johansson stressed the New Pact would not pave the way for a Rwanda-style type of deal to send applicants away.

However, the Commissioner stressed the Italy-Albania protocol was ""totally different"" because it would apply to migrants who are rescued in international waters, not to those who have already entered Italian territory (and therefore EU territory).

""If they (receive) asylum, they will be transferred to Italy,"" Johansson said. ""So it's not about externalising the asylum process.""

Last year, the EU received 1.14 million applications for international protection, marking a seven-year high. About a third of these were filed by migrants who arrived in the bloc through irregular means, Johansson said.",Jorge Liboreiro,"European Union, Italy, Migration Policy, Ylva Johansson, Tunisia",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/next/2024/03/12/google-begins-global-restrictions-on-election-related-queries-put-to-its-gemini-ai-model,Euronews (EN),Google restricts election-related queries put to Gemini AI model,"Google said it would roll out the restrictions ""out of an abundance of caution"" ahead of elections in 2024.

Google has started rolling out restrictions on election-related queries asked of its Gemini artificial intelligence (AI) model.

The tech giant said in a blog post on Tuesday that it had begun making the changes as part of its support for the 2024 Indian general election expected to be held in the coming months.

""Out of an abundance of caution on such an important topic, we have begun to roll out restrictions on the types of election-related queries for which Gemini will return responses,"" Google’s India Team said.

""We take our responsibility for providing high-quality information for these types of queries seriously, and are continuously working to improve our protections"".

The company had previously stated in December that it planned to restrict some election-related queries put to its AI models and generative AI in Search feature in a blog post on the US elections.

Fears over AI in 2024 elections

In February, the tech giant announced it would restrict election-related queries for Gemini in the European Union as well.

""As we shared last December, in preparation for the many elections happening around the world in 2024 and out of an abundance of caution, we’re restricting the types of election-related queries for which Gemini will return responses,"" a Google spokesperson said in a statement provided to Euronews Next.

Google has also said that it would ""elevate authoritative information” on Google search and YouTube related to elections to help people ""discover critical voting information"".

In December, the tech giant also outlined efforts to help identify AI-generated content such as advert disclosures and content labels.

Dozens of countries are holding elections in the year 2024 and many are concerned that AI-generated content will play a role in misinformation as voters take to the polls.

Last month, Google paused Gemini’s ability to generate images of people after some of the model’s responses were criticised for bias. Some of the model’s text responses to queries also were criticised as biased.

Other tech giants such as Meta have announced moves to set up centres to combat misinformation ahead of the European Parliament elections this June.",Euronews,"Google, Election, European elections 2024",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/2024/03/12/americas-disastrous-war-on-terror-in-africa-is-now-a-global-security-crisis,Euronews (EN),America's failed 'War on Terror' in Africa is a global security crisis,"Without a drastic shift in policy that supports the emergence of strong and cohesive African societies, the world will be thrown into a global security crisis of earth-shattering proportions, Christine Odera writes.

New shocking figures from the US Department of Defence are a glaring indictment of US policy in Africa: America's ""War on Terror"" has disastrously spiked terrorism in Africa by an astonishing 100,000%, with Islamist violence alone jumping 20% in just the last year.

Decades of misguided US intervention have catapulted Africa into the epicentre of global terrorism, responsible for nearly half the world's terrorist acts.

This alarming trend dominated discussions at the African Union summit in Ethiopia, amidst a backdrop of escalating violence and political chaos.

Countries like Niger, Mali, and Burkina Faso are already withdrawing from the Economic Community of West African States (ECOWAS) after military coups — a move that threatens to plunge the region into deeper turmoil.

The so-called Islamic State, having been territorially defeated in the Middle East, is also worryingly expanding its influence in West Africa and the Sahel, reportedly even readying itself to carry out attacks abroad once more.

The harsh truth is America and the wider Western approach, no matter how well-intentioned, sought security without fostering development and tragically achieved neither.

Because of these failures, Africa is now caught in the crosshairs of Washington's authoritarian rivals, Russia and China.

They're aggressively establishing military bases and deploying foreign mercenaries who commit horrific human rights violations, especially against African women, in a ruthless scramble for Africa's riches.

More boots on the ground won't solve anything

For two decades, American counter-terrorism efforts in Africa have been centred on two main fronts: Somalia and West Africa. Each saw huge spikes in terrorism last year with France even recalling 1,500 troops from Niger after the recent coup.

But in a UNDP report last year, the most powerful factor pushing people into violent extremism was “disaffection with government”, with 40% of recruits into militant groups citing economic hardship specifically.

Those who live by the gun are taught that it is the only way to survive and prosper.

This is a political message, not a religious one. Without addressing it appropriately, conflicts will fester and grow, plunging the world into endless displacement and refugee crises it cannot absorb or solve.

Global North nations must acknowledge their disastrous policies' impact on Africa and urgently rebalance security and development strategies to prevent local terror groups from becoming emboldened enough to harbour global ambitions.

Because the solution isn't increasing its armed presence — such as through the largest US-led joint military exercise — or forcing Western societal models onto Africa, but by embracing the continent's unique strengths and diversity.

This means investing in Africa's burgeoning youth, backing African-led peace and conflict resolution initiatives, empowering respected community and religious leaders over capricious and divisive politicians, and forging new economic partnerships that can counterbalance Russian and Chinese influence.

Faith-based organisations are taking the initiative

In the absence of unifying political leaders to create this counterbalance and bring Africans together, community and faith-based organisations are filling the trust deficit — and their potential and capacity to do more should not be underestimated.

For example, Islamic Relief Worldwide (IRW) goes beyond providing humanitarian aid: they are peacebuilders in conflict zones, offering lifelines by pairing economic empowerment with education to uproot the seeds of extremism and strengthen communities from the inside out.

Locally in Kenya, the Inter-Religious Council of Kenya (IRCK) unites diverse religious groups to dismantle extremist ideologies, hosting transformative peace workshops and fostering a culture of interfaith understanding in regions plagued by violence.

Other NGOs like the Muslim World League (MWL) work regionally to promote a tolerant vision of Islam through groundbreaking documents like the Charter of Makkah which was signed by 1200 prominent Islamic figures from 139 countries in 2019.

The Charter is actively being implemented through counter-extremism and capacity — which supports human rights, religious tolerance, and women’s rights — to strike at the core of why individuals turn to terrorism.

The MWL’s Secretary General, Dr Mohammed Al-Issa, has already forged ties with the African Islamic Union, an organisation with an estimated 100 million followers, which is now implementing the Charter to train a new generation of Imams across the region.

We're failing to learn from our failures

The reality is that changing behaviours and attitudes for a day only requires the kind of transactional relationships that Russia and China offer, but changing the dynamic between communities for the long term requires the kind of tireless and sensitive approach adopted by influential civil society and grassroots leaders.

The opportunity for the West to finally get things right remains: reorientate towards strengthening civil society over a cold, security-above-all-else approach that has not even contained the problem of extremism, let alone put into motion solutions to solve it.

Failure to learn from failed policies risks a future where a continent, soon home to a quarter of the world's population, spirals further into extremism.

To reverse this trend, we must not only rally around leaders who have consistently demonstrated moral leadership in times of crisis but also support their mission to create new generations of African leaders who do the same.

The stakes couldn't be higher with Russia and China looking on. Washington's war on terror failed dramatically in Africa, and without a drastic shift in policy that supports the emergence of strong and cohesive African societies, the world will be thrown into a global security crisis of earth-shattering proportions.",Euronews,"Terrorism, Africa, counterterrorism, Euroviews, Security, United States",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/2024/03/12/china-iran-and-russia-begin-joint-naval-drill-in-gulf-of-oman,Euronews (EN),"China, Iran and Russia begin joint naval drill in Gulf of Oman","Footage aired on Chinese state television showed the Chinese, Iranian and Russian navies conducting a joint exercise in the Gulf of Oman, near the mouth of the Persian Gulf.

China, Iran and Russia have begun a joint naval drill in the Gulf of Oman, a crucial waterway near the mouth of the Persian Gulf, officials said Tuesday.

Footage aired by Chinese state television and a video released by the Russian navy showed the ongoing drill, known as “Marine Security Belt 2024.”

China sent the guided-missile destroyer Urumqi and the guided-missile frigate Linyi to the exercise. Russia's forces are being led by the Varyag, a Slava-class cruiser.

More than 20 ships, support vessels and combat boats from the three countries, as well as naval helicopters, are involved in the exercise.

A report by Iranian state television quoted the drill’s spokesperson, Admiral Mostafa Tajaddini, as saying the drill will take place in 17,000 square kilometres of water.

Tajaddini added that the three nations’ drill – their fourth since 2019 – was also meant to improve trade while confronting “piracy and terrorism, support to humanitarian activities and the exchange of information in the field of rescue,” among other goals.

Azerbaijan, Kazakhstan, Oman, Pakistan and South Africa are observers of the drill.

Iran has stepped up its military cooperation with Beijing and Moscow in response to regional tensions with the United States, including supplying military drones to Russia now being used in Moscow's war on Ukraine.

The Gulf of Oman has seen a series of attacks since 2019 that the US has blamed on Iran, as well as ship seizures by Tehran, since the collapse of its nuclear deal with world powers.

A fifth of all oil traded passes through the Strait of Hormuz, the Persian Gulf's narrow mouth.",Euronews,"Russia, China, Iran, Mideast, Military exercises",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/2024/03/12/human-rights-groups-sue-denmark-over-arms-exports-to-israel,Euronews (EN),NGOs sue Denmark over arms export to Israel,"The groups mentioned serious concerns that weapons and military equipment sent to Israel may be used in violation of international law in Gaza.

A group of the world’s most prominent human rights organisations is suing Danish authorities over the continued exports of arms to Israel even as more than 30,000 people, most of them civilians, have been killed in Gaza by the Israeli military.

The local branches of Oxfam, Amnesty, Action Aid and the Palestinian human rights group Al-Haq have announced a lawsuit against the Danish National Police and the country’s Ministry of Foreign Affairs.

Their action asks Danish authorities to stop Denmark’s arms exports to Israel on the grounds that there is “a clear risk that weapons and military equipment that Denmark, directly and indirectly, exports to Israel will be used to commit serious crimes against civilians in Gaza”.

According to the group, this would represents a violation of international rules on arms trade on behalf of Denmark, making the country complicit in “plausible genocide.”

The UN top court, the International Court of Justice (ICJ), concluded in January that it is plausible that Israel's actions in Gaza could amount to genocide.

“Denmark must not supply weapons to bomb civilians,” Lars Koch, secretary general of Oxfam Denmark, said in a statement published on social media.

“With the trial, we will test whether Denmark respects international law and the value we profess,” he added. “We cannot ignore clear violations of humanitarian law, war crimes and the warning of a potential genocide.”

What the NGOs are seeking for is the court’s word on whether Denmark’s actions represent a violation of international law.

The country is bound by the UN Arms Trade Treaty and the EU Common Rules for Arms Exports to ensure that exports of arms and military equipment from Danish companies are not used in violation of international law.

”For five months we have been talking about a potential genocide in Gaza, but we have not seen politicians take action,"" said Tim Whyte, Secretary General of Mellemfolkeligt Samvirke, one of the organisations behind the lawsuit.

""Denmark should not be sending weapons to Israel when there is a reasonable suspicion that it is committing war crimes in Gaza. ""We need to get the court’s word on Denmark’s responsibility.""

In February, a Dutch court ordered the Netherlands to stop selling F-35 fighter jet parts to Israel over fears these might be used in violation of international law in Gaza.",,"lawsuit, Denmark politics, Israele Hamas war, Arms industry, Denmark",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.euronews.com/2024/03/12/russian-military-plane-crashes-with-15-people-on-board,Euronews (EN),Russian military plane crashes with 15 people on board,"The transport aircraft carrying 15 people came down during takeoff from an air base in western Russia on Tuesday, according to the Defence Ministry.

A Russian military transport plane has crashed, the latest in a series of disastrous incidents involving high-value aircraft in the midst of the Ukrainian war.

The aircraft, an Il-76, had eight crew members and seven passengers aboard when it went down in the Ivanovo region.

No information about deaths or suvivors has been provided so far.

Ivanovo Governor Stanislav Voskresensky expressed condolences to the families of the victims, confirming that there was no damage on the ground.

The Defence Ministry said the crash was likely due to an engine fire during takeoff and dispatched a team of investigators to Ivanovo for further investigation.

The incident came amid reports of numerous Ukrainian drone attacks on Russia on Monday night. Past instances have seen Ukrainian drones targeting military air bases deep within Russian territory.

Military experts have observed that as the number of flights from Russia has increased since the beginning of the Ukraine war, so has the number of plane crashes.",Euronews,"Plane crash, Russia, Ukraine war",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
