url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.independent.co.uk/arts-entertainment/films/news/batman-sequel-robert-pattinson-delay-b2511664.html,The Independent,The Batman sequel with Robert Pattinson delayed by a full year,"The Batman Part II has been delayed by a full year by studio Warner Bros, and will now be released on 2 October 2026.

The sequel to Matt Reeves’s acclaimed DC superhero noir The Batman will see Robert Pattinson reprise his role as the titular superhero, along with fellow returning cast members Zoë Kravitz (Catwoman), Paul Dano as (The Riddler) and Andy Serkis (Alfred).

The film is also expected to see an expanded role for Saltburn star Barry Keoghan, who was set up as a mysterious Arkham Asylum inmate who befriends The Riddler at the end of the first film and is expected to become some version of The Joker.

According to The Hollywood Reporter, DC insiders have said the delay is related to last year’s Hollywood strikes.

Now that The Batman Part II has vacated its previous release date, Warner Bros will instead release Maggie Gyllenhaal’s The Bride!, starring former Batman star Christian Bale, on 3 October 2025.

Other films being rearranged on the studio’s upcoming slate include Barry Levinson’s gangster film Alto Nights, which stars Robert De Niro, Debra Messing and Cosmo Jarvis. It has been delayed from November this year to a new release date of 21 March 2025.

Paul Thomas Anderson’s as-yet-untitled new film, which has a star-studded cast including Leonardo DiCaprio, Sean Penn, Regina Hall, Teyana Taylor, Wood Harris, Alana Haim and Chase Infiniti, is now set to be released on 8 August 2025.

In a four-star review of The Batman, The Independent’s chief film critic Clarisse Loughrey wrote: “The Batman is a very good Batman film. To think of it as anything more only leads to delusion or disappointment. It also undermines the more subtle work at play in Reeves’s film, which remains faithful to the character’s core iconography – bat ears, elaborate gadgets, encroaching darkness – while simultaneously interrogating its usefulness.

“Comparatively, it’s pitched somewhere between Christopher Nolan and Tim Burton – with one foot in our reality, and the other planted in a Gothic noir aesthetic derived partially from Frank Miller’s The Dark Knight Returns and Batman: Year One comics.

“Perhaps that’s where you’d place our new Batman, Pattinson, too – though his performance hasn’t been this tapered down since his Twilight days, stripped of the exhilarating chaos that infects his acting in Good Time or The Lighthouse. I can’t blame him. Anything outside the register of growly and monotone would be considered mutiny by fans, so it’s to be expected that he sounds almost exactly like Christian Bale did in Nolan’s widely admired Dark Knight trilogy of the early Noughties.”",Kevin E G Perry,"The Batman, Robert Pattinson, Barry Keoghan, Matt Reeves, Warner Bros, Internal",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/news/ap-nebraska-lincoln-american-civil-liberties-union-arkansas-b2511663.html,The Independent,Nebraska governor approves regulations to allow gender-affirming care for minors,"Regulations tied to a Nebraska law passed last year restricting gender-affirming care for minors were approved Tuesday by Gov. Jim Pillen, and they largely mirror temporary regulations adopted last October — including a seven-day waiting period to start puberty-blocking medications or hormone treatments.

Other regulations require transgender patients under the age of 19 — the age of majority in Nebraska — to meet several therapy benchmarks. They include undergoing at least 40 hours of therapy that could push back on a person's gender identity before they can receive any medical treatments meant to affirm their gender identities. Minor patients must also receive at least one hour of therapy every 90 days while on gender-affirming medication to evaluate the patient’s mental health.

Health care providers also are required to obtain three hours of continuing education before they can prescribe puberty blockers or hormones.

The regulations approved by Pillen were those recommended by Nebraska Chief Medical Officer Timothy Tesmer, who was appointed to that post by Pillen last year, following a public hearing in November. The recommendation and approval came despite dozens of families, medical providers and advocates testifying for hours at the hearing opposing the restrictions and regulations.

“State officials have decided to flatly ignore the serious concerns raised by impacted young people as well as their family members and their medical and mental health providers,” said Grant Friedman, a legal fellow for the American Civil Liberties Union of Nebraska. “To be clear, we are talking about gender-affirming care that is endorsed by major medical organizations and recognized as often life-saving care.""

The new law was authored by state Sen. Kathleen Kauth of Omaha and passed last session. It took effect Oct. 1 and bans gender-affirming surgeries for trans youth under 19. It also required the state’s chief medical officer to spell out when and how those youth can receive other care. The state Department of Health and Human Services issued temporary regulations on Oct. 1.

“As a state, we must protect children from making potentially irreversible and regrettable decisions — decisions for which they may not completely understand the consequences,"" Pillen said in a news release announcing his approval of the regulations.

At least 23 states have enacted laws restricting or banning gender-affirming medical care for transgender minors, and most of those states face lawsuits — including Nebraska. A federal judge struck down Arkansas’ ban as unconstitutional. Judges’ orders are in place temporarily blocking the enforcement of the bans in Idaho and Montana.",Margery A. Beck,"AP, Nebraska, Lincoln, American Civil Liberties Union, Arkansas, Montana, Idaho, Department of Health and Human Services, Omaha",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/news/donald-trump-ap-hawaii-washington-georgia-b2511671.html,The Independent,How Trump could secure the Republican presidential nomination in Tuesday's contests,"Donald Trump stands on the brink of unofficially securing the Republican presidential nomination for a third time as voters on Tuesday finish casting ballots in Georgia, Mississippi, Washington and Hawaii, but he’ll need about eight out of every 10 delegates available in those states to do it. Otherwise, he’ll have to wait up to a week before he can once again claim the title of presumptive nominee.

The former president’s near-clean sweep of last week's Super Tuesday contests, as well as his more recent win in American Samoa’s caucuses, put him just 126 delegates shy of the 1,215 needed to clinch the nomination. This includes 11 delegates in Texas that the state party announced Tuesday would be awarded to Trump. The party had previously planned to award the delegates at the state party convention in May but instead awarded them based on the March 5 primary after saying there was a conflict with Republican National Committee rules.

Trump now needs about 78% of the 161 delegates in Tuesday’s contests, a reasonable goal considering he won 93% of last week’s massive Super Tuesday delegate haul.

With former United Nations Ambassador Nikki Haley out of the race, there’s little doubt Trump will win most or possibly all the delegates up for grabs on Tuesday. But the exact timing of when he reaches that milestone and which state puts him over the top would depend on how dominant Trump is in Tuesday’s contests and possibly how quickly elections officials and caucuses organizers provide vote result updates.

One possible source of delay in awarding delegates to candidates may be in determining vote results at the congressional district level.

All four states holding Republican contests Tuesday allocate a portion of their delegates according to vote results within a congressional district. However, most states compile vote results at the county level and not at the congressional district level, at least not for non-congressional races. Doing so can be a complex and time-consuming operation, as many congressional district boundaries don’t neatly conform with county boundaries. Counties sometimes fall within two or more congressional districts, which means that as county results are reported on election nights, they must be further analyzed and parsed in order to subdivide them into the appropriate congressional district.

The winners of a state’s congressional districts are easier to determine when a candidate has an overwhelming lead statewide as well is in the counties that make up the district. When the race is closer, determining the outcome in a district could take longer.

In Georgia and Washington, a candidate can win all of a district’s delegates by winning a vote majority in that district. In Mississippi, a candidate can win all 12 district delegates by winning a statewide vote majority. In all three states, if a candidate doesn’t meet the required vote-majority threshold, the district delegates are allocated in proportion to the vote in that district. Hawaii allocates its six district delegates proportionally according to caucus results, regardless of whether a candidate receives a vote majority.

The first polls of the night close at 7 p.m. EDT in Georgia, which has 59 Republican delegates, 42 of which are awarded in 14 congressional districts. At 8 p.m. EDT, voting ends in Mississippi, where 12 of the state’s 40 delegates are awarded by four congressional districts if no one wins a statewide majority. At 11 p.m. EDT, polls close in Washington, which has 43 delegates, 30 of which are awarded in 10 congressional districts.

These three states account for 142 delegates. For Trump to win the nomination before the caucuses end in Hawaii, he’d need to win all but five of the delegates from Georgia, Mississippi and Washington.",Robert Yoon,"Donald Trump, AP, Hawaii, Washington, Georgia, Republican, Mississippi, Nikki Haley, American Samoa, Texas, United Nations, Republican National Committee",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/news/muslims-ap-saudi-arabia-pakistan-turkey-b2511660.html,The Independent,"AP PHOTOS: Muslims around the world observe holy month of Ramadan with prayer, fasting","Muslims around the world are observing the holy month of Ramadan, with worship, charity, dawn-to-dusk fasting and nightly feasts.

Muslims gather for prayers inside mosques in Indonesia, Kashmir, Pakistan and Turkey. They gather outside at New York's Times Square and in the Gaza Strip.

Messages recognizing Ramadan light the sky in Turkey and Germany.

Volunteers distribute food to people breaking their fast in Pakistan. In Kuala Lumpur, Malaysia, Muslims eat a sunset meal at a mosque.

In Rafah in southern Gaza, Palestinians buy food for a pre-dawn meal. Ramadan this year comes as the Middle East remains inflamed by the ongoing Israel-Hamas war in Gaza, and many in the enclave are going hungry. Even where food is available, there is little beyond canned goods, and prices are high.

Ramadan is the ninth month of the Islamic lunar calendar and begins with the sighting of the crescent moon.

For many of the world's 1.8 billion Muslims, fasting began Monday, after an announcement from officials in Saudi Arabia, which is home to the holiest places in Islam.

Muslim communities may start Ramadan on different days, due to declarations by multiple Islamic authorities around the globe on whether the crescent has been sighted or different methodologies used to determine the start of the month.",The Associated Press,"Muslims, AP, Saudi Arabia, Pakistan, Turkey, Gaza Strip, Kashmir, Indonesia, New York, Islamic, Middle East, Malaysia, Palestinians, Times Square, Germany, Kuala Lumpur, Israel, Hamas",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/news/utah-ap-department-of-justice-salt-lake-city-civil-rights-division-b2511667.html,The Independent,"Utah prison discriminated against transgender woman, Department of Justice finds","The Utah Department of Corrections came under fire Tuesday for discriminating against a transgender inmate who the U.S. Department of Justice said was driven to harm herself after she was repeatedly denied hormone therapy in violation of the Americans with Disabilities Act.

A federal investigation found that the state corrections department imposed “unnecessary barriers” to block the incarcerated trans woman from receiving treatment for intense gender dysphoria. The woman's psychological distress, which doctors attributed to a mismatch between her birth sex and her gender identity, worsened significantly while she was incarcerated in a men's prison, according to the Justice Department report.

After nearly two years of fighting for access to hormones and other gender-affirming accommodations, she performed a dangerous self-surgery to cut off her own testicles.

Now, the DOJ is demanding immediate policy changes and anti-discrimination training for all Utah correctional officers to protect other inmates from future harm. The state agency also will be required to pay damages to the trans inmate, who was not identified in the report. The dollar amount had not been set as of Tuesday.

Brian Redd, executive director of the Utah Department of Corrections, pushed back against the discrimination allegations and said he was disappointed by the investigators' approach. He did not indicate whether the agency would comply with the DOJ's demands.

“We have been working to address this complex issue and were blindsided by today’s public announcement from the Department of Justice,” Redd said in a statement. “We have also taken steps on our own and as a state to address the needs of inmates while maintaining the highest safety standards.”

Gender dysphoria falls within the ADA’s definition of disability, meaning correctional facilities cannot deny medically appropriate care for people with the condition, according to a 2022 federal court ruling.

“All people with disabilities including those who are incarcerated are protected by the ADA and are entitled to reasonable modifications and equal access to medical care, and that basic right extends to those with gender dysphoria,” said Kristen Clarke, assistant attorney general of the DOJ’s Civil Rights Division.

The department's investigation revealed that Utah corrections officers had unnecessarily delayed the woman's hormone treatment even as her mental health worsened. She was made to jump through procedural hoops not required for other medical conditions and had to gain approval from a committee that DOJ Disability Rights Chief Rebecca Bond said included some members with a clear bias against transgender people.

Bond described the committee as the “gatekeeper” of care and criticized the state corrections department in a letter Tuesday for involving both medical and non-medical staff, even though the committee's only role is to handle requests for medical care.

When they finally approved the inmate for hormone therapy more than 15 months after her initial request, federal investigators found that they failed to take basic steps to ensure it was administered safely.

Although taking estrogen can help trans women develop some desired physical features, such as breasts, it also increases their risk of developing a potentially life-threatening blood clot in the legs or lungs. Experts at the Endocrine Society, which represents specialists who treat hormone conditions, say such treatments require close medical supervision.

Utah prisons assign incarcerated people to either male or female housing based solely on their sex at commitment, which the DOJ found is determined by a visual search of the inmate’s genitals. The woman made repeated requests to be housed individually or with other women, but all those requests had been denied, according to the investigation.

Federal investigators say the prison did not make reasonable accommodations to assure her safety while surrounded by male inmates and staff. The state agency also prevented her from buying bras, makeup and women's underwear at the commissary and required pat searches by male corrections officers, even as she began to develop breasts.

“By not allowing me this opportunity to live my life as a woman, who I believe I am and have lived life for many years,"" she wrote in her ADA complaint, “the prison is causing me such mental stress.”",Hannah Schoenbaum,"Utah, AP, Department of Justice, Salt Lake City, Civil Rights Division, Experts",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/sport/football/barcelona-champions-league-napoli-score-result-b2511661.html,The Independent,Robert Lewandowski puts seal on Barcelona’s Champions League win over Napoli,"Barcelona reached the Champions League quarter-finals for the first time in four years after a thrilling 3-1 home win over Napoli in their last-16 second leg gave them a deserved 4-2 aggregate victory on Tuesday.

Early goals by Fermin Lopez and Joao Cancelo set the hosts on their way and, after Amir Rrahmani cut the deficit before the break, Robert Lewandowski wrapped up the win with a late third.

Napoli had never beaten Barca in their previous five meetings and it turned out to be a repeat of the 2020 Champions League meeting with a 3-1 home win for the Spanish side after a 1-1 draw in Naples.

That was the last time the Catalans had won a knockout stage game in the competition and their most recent qualification for the last eight.

“Very happy, Barcelona are in the top eight in Europe. It was a well-deserved qualification, a game dominated in attack and defence but also an excellent game by Napoli,” Barca coach Xavi Hernandez told Mediaset.

“Happy with the qualification and we’ll see how the draw goes. Proud to be back in the quarter-finals after years.”

In a highly entertaining affair at Montjuic Stadium, Barca pressed high early on, giving Napoli little time to settle, and the few attacks the visitors managed to create ended with striker Victor Osimhen offside.

EARLY OPENER

The opening goal came in the 15th minute when Cancelo played in Raphinha down the left wing and he cut into the area and pulled a ball back which Lewandowski let run to the unmarked Fermin who calmly slotted his shot into the bottom left corner.

Napoli had little time to recover before Barca doubled their lead. The visitors pushed forward in search of an equaliser and Barcelona countered with pace.

The excellent Lamine Yamal’s cross-field pass found Raphinha who cut into the area and wrong-footed Giovanni Di Lorenzo before curling a shot which came back off the far post and Cancelo was there to drive his first time effort into the net.

“There is disappointment, because we came here to try to win and we didn’t succeed,” Napoli manager Francesco Calzona said.

“We got off to a very bad start, if you concede so much to this team in the long run you lose it.”

Napoli finally found a way through on the half hour when Matteo Politano went past Cancelo in the area before playing the ball back to Rrahmani whose run from the back was rewarded with a sidefooted shot past goalkeeper Marc-Andre ter Stegen.

Visiting keeper Alex Meret kept Napoli in the tie with a couple of great saves after the break from Lewandowski and Ilkay Gundogan, but could do nothing about the final goal.

Lewandowski fashioned a neat one-two with Gundogan who played the ball in to Roberto and his quick pass found the Polish striker for a simple tap-in to kill off Napoli’s hopes.

Minutes earlier Napoli had their best chance to level but Jesper Lindstrom headed just wide and the Italian champions go out after reaching the quarter-finals last season for the first time.",Trevor Stynes,"FC Barcelona, Champions League, Robert Lewandowski, Napoli, Joao Cancelo, Reuters",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,1,"De, En, La"
https://www.independent.co.uk/sport/football/david-raya-arsenal-porto-champions-league-penalties-b2511659.html,The Independent,David Raya pulls out the stops to end Arsenal’s long wait for a Champions League quarter-final,"David Raya pulls out the stops, so Arsenal keep going. They used every drop of energy that Mikel Arteta demanded to squeeze past Porto by single kick and make their first Champions League quarter-final since 2010. That came from the first Champions League shootout since the 2015-16 final, that Raya was so decisive in. He made one brilliant save from Galeno and a relatively lucky one from Wendell, the second more forceful enough and fittingly sending Arsenal through.

In such situations, there might be questions about the physical and mental cost of such a game, but Arteta’s side now don’t have another game for 19 days. They also have something uniquely positive to think about, after smashing a real block in this most illustrious of competitions. Not even Arsene Wenger got this far very often. Arteta has done it in his first go.

Such momentum can similarly propel their title challenge, in a run that looks full of life and optimism.

You wouldn’t have always said that about this 1-0 win on the night. It was a poor tie, not that supporters will care.

For Arsenal’s part, too, it was a gloriously old-fashioned defensive performance from Porto that reduced Arteta’s side to this.

The Premier League leaders didn’t show much of their recent quality, but they did display a different attribute. There was a perseverance and resolve, and that was much more necessary than the financial gap between the teams would indicate. Porto displayed all of their own European pedigree, drawing on a rich history of defiance and proud defending. It just wasn’t enough.

But it was close.

They’d really made Arsenal work for it. For the first time in almost two months, Arteta’s side didn’t score inside the first 25 minutes of a game. Porto were evidently wise to the approach, as they started time-wasting off. It reminded of Jose Mourinho’s Chelsea against Liverpool in 2013-14, which should be no surprise given he was one of the club’s greatest managers. That was complemented - if also contrasted - by some proper physicality. The abrupt switches were almost comical. Porto players would go from long stretches out flat on the ground from innocuous touches to the most robust challenges. Wendell was giving Bukayo Saka a tough game, as Arsenal initially struggled to get in behind. There were already more chances in that opening 25 minutes than there had been in the entirety of the 90 at the Dragao, though.

Arsenal were just going to have to show the patience they did against Brentford on Saturday, albeit with Porto showing a bit more spike going forward.

They didn’t even have to wait that long, although that was from Martin Odegaard’s presence of mind to not rush a pass in the way the situation might have encouraged.

When the ball was played into the Norwegian by Leandro Trossard on 41 minutes, the opportunity was there to quickly return it. He instead delayed, deftly evaded a challenge and slid an angled ball back into Trossard. The Belgian finished with the same incisiveness.

The natural inclination here would have been to think Porto would fade away in the manner that Lazio did in a similar situation against Bayern Munich last week. There was none of that, though. They arguably sharpened up, as they played higher up the pitch. They were still defending abrasively but weren’t under the same pressure as they made Arsenal turn much more. It became a proper 50-50 game.

Arsenal were also forced into the fight. Kai Havertz illustrated some of the cynicism you might expect from Pepe on Pepe himself, subtly pulling the defender’s shirt as Diogo Costa came out for a loose ball. It just wasn’t subtle enough as the referee spotted it, ensuring Odegaard’s bounced ball into the net was ruled out. The fact it was “that type of game’ was illustrated by both managers getting booked.

There was also the growing feeling it was becoming that type of night. As Arsenal finally started to crank up the pressure again in the final 15 minutes, there were a series of opportunities that either flashed tantalisingly across goal or were diverted narrowly wide. Both Gabriel Jesus and Odegaard went close. Porto were digging in.

That was typified by how they won virtually every single defensive set-piece. That was all the more impressive given what a high proportion of Arsenal goals they have been this season. Porto were again well drilled, to the point it was the main focus of their pre-game warm-up.

They were still winning headers as the game ticked well past 90 minutes and into extra-time. The one consolation of that for Arsenal now have this break. An FA Cup elimination might never be more valuable, especially with the way this game descended into a deadlock where Porto couldn’t keep the ball but Arsenal were too fatigued to do much with it.

Penalties looked inevitable. An Arsenal victory didn't, given they'd lost to Sporting on spot kicks in the Europa League last season.

Raya was the difference.",Miguel Delaney,"Arsenal, Champions League, David Raya, Mikel Arteta, FC Porto, Internal",2024-03-12,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/business/small-firms-see-wage-bills-jump-14-report-b2511689.html,The Independent,Small firms see wage bills jump 14% – report,"Small businesses saw their wage bills surge by 14% at the end of last year in a sign of ongoing cost pressures across the sector, a report has shown.

The latest Sage small business tracker, compiled with the Centre for Economics and Business Research, found that while earnings growth is easing back more widely across the UK, total wage bills are continuing to rise for small firms at a rapid pace.

It showed that SMEs saw nominal wages increase by 13.8% in the final three months of 2023, up from growth 11.1% in the previous quarter.

This comes despite an easing in wage growth seen nationwide, with official figures on Tuesday revealing that regular pay, excluding bonuses, fell back to 6.1% in the three months to January – the slowest growth for more than a year.

It signals the ongoing wage cost pressures faced by small firms as they battle to attract and retain workers, even though other overheads are reducing, according to the report.

The report said: “Following the pandemic, wage growth within small businesses – as all businesses – has picked up markedly.

“This reflects the ongoing tightness of the UK labour market, where workers have gained increased bargaining power, as well as the increased cost of living.”

Sage said its data is “proving more volatile compared to the Office for National Statistics data, indicating small businesses experience more wage growth variability than the wider UK economy”.

The figures from the report, which analyses anonymised Sage Accounting and Payroll data of more than 136,000 UK businesses, highlights that there are still underlying inflation pressures in the economy, which may hamper the Bank of England’s battle to bring inflation back down to its 2% target.

The Bank has been keeping a close eye on wage data in particular in its bid to rein in inflation.

But with small firms still seeing their wage bills rocket higher and with the national living wage set to rise from £10.42 an hour to £11.44 from April for nearly three million people, there are fears that it may hamper the Bank’s efforts on inflation.

However, the report also flagged the resilience of the small business sector despite the woes in the economy.

It revealed small business revenues rose 0.9% on an annual basis in the fourth quarter, while average real underlying earnings surged 23.2% in the year to the fourth quarter, up from growth of 10.5% in the previous three months.

This comes despite the UK slipping into a technical recession in the final six months of 2023.

The report also found that, in spite of the steep increases in wage bills, overall cost pressures have started to abate, with real overheads falling by 1.8% in the year to the fourth quarter, which is the largest annual decline seen over 2023.

Derk Bleeker, chief commercial officer at Sage, said: “Small businesses are continuing to show signs of weathering tough economic conditions.”",Holly Williams,"PA Ready, Sage, Centre for Economics and Business Research, Holly Williams, Statistics",2024-03-13,CONTROL_International_Womens_Strike_2017_2024,single,True,5,"Driving, The, Wage"
https://www.independent.co.uk/climate-change/news/climate-change-committee-government-westminster-london-defra-b2511677.html,The Independent,"Efforts to adapt to climate risks ‘falling far short’, Government warned","Efforts to make the UK resilient to the impacts of climate change fall “far short” of what is needed, independent advisers have warned.

The Climate Change Committee says adapting the country to cope with climate change impacts, from flooding to drought, must be reflected in every decision and given priority in Government, and receive more public funding.

The independent committee, set up to advise Parliament on climate change, has set out its response to the Government’s plans for ensuring the country is resilient to rising global temperatures.

It comes after the world experienced the hottest February on record, and the UK recorded its fourth wettest.

Globally, the last 12 months have breached, at least temporarily, the 1.5C threshold beyond which the worst impacts of climate change are expected.

The UK has already experienced extreme heatwaves, with temperatures soaring above 40C for the first time in 2022 amid drought conditions and fires, and been hit by flooding caused by very heavy rainfall linked to climate change.

Under the Climate Change Act 2008, the Government has to produce a national adaptation plan every five years, covering policy for England and for the UK in some areas where Westminster has control.

The latest, third, national adaption programme covers 2023 to 2028 and was published by the Government in July 2023, when ministers said it would help protect people, homes and businesses from heatwaves, droughts, floods and other damaging impacts of global warming.

The Environment Department (Defra) highlighted the Government’s “resilience framework” and £2.2 billion to improve water quality, as well as a UK Health Security Agency “adverse weather and health plan”.

The programme also said Defra would prioritise nature-based solutions by 2025 such as rain gardens for drainage and natural shading for outdoor spaces, and pointed to its environmental land management scheme to pay farmers for public goods such as clean water and tree planting.

The Department for Education would carry out annual assessments to identify the highest risk settings and provide guidance, and the Ministry of Justice would research the impact of climate on staff and prisoner behaviour, the document said.

But in its assessment of the programme, the Climate Change Committee warned that “compilations of existing policy and initiatives are insufficient” and additional high-ambition commitments were needed.

It also warned increased public funding for adaptation should be a “cornerstone” of an effective response to the risks the UK was facing, as well as helping remove barriers to private investment.

Defra has failed to make adaptation a top priority, and effective cross-Government collaboration is needed to make sure all departments are engaged and recognise the challenges, the committee said.

Measures to adapt to climate change are “insufficiently funded” to manage the scale of impacts the country will face, and the latest programme does not tackle barriers such as low perceived urgency of the issue and a lack of clear targets.

Better monitoring is also vital to driving delivery of action to make the country resilient to climate change.

There is currently a window to build more effective climate resilience, as long-term decisions were being made on the new environmental land management scheme, and there are new price control periods for energy, water and rail which could include standards to manage future climate risks.

These opportunities must be “grabbed before another window for meaningful change closes”, the committee urged .

Baroness Brown, chairwoman of the adaptation sub-committee, said: “The evidence of the damage from climate change has never been clearer, but the UK’s current approach to adaptations not working.

“Defra needs to deliver an immediate strengthening of the Government’s programme, with an overhaul of its integration with other Government priorities such as net zero and nature restoration.

“We cannot wait another five years for only incremental improvement,” she said.

Darren Rodwell, environment spokesperson for the Local Government Association, said polling showed just 5% of the public felt prepared for the impacts of climate change and that they trusted their council most to lead the effort to prepare communities.

“We must be given the tools and funding needed to make that happen,” he said.",Emily Beament,"PA Ready, Climate Change Committee, Government, Westminster, London, Defra, Parliament, Baroness Brown, Department for Education, England, Ministry of Justice, Local Government Association",2024-03-13,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
https://www.independent.co.uk/climate-change/news/government-greenpeace-marine-conservation-society-british-defra-b2511681.html,The Independent,Government ‘risks breaking manifesto pledge to deliver bottle deposit scheme’,"The Government is at risk of breaking its manifesto commitment to deliver a flagship recycling scheme, a coalition of retailers, drinks producers and environmental groups have warned.

The Deposit Return Scheme (DRS), which would see consumers recoup a small deposit when they return single-use bottles and cans, has been in development in the Environment Department (Defra) since 2017 and was part of the 2019 Tory manifesto.

However, the policy has been beset by delays, with the Government currently intending to introduce it by October 2025 – although recent reports said the scheme may not be operational before 2028.

In a letter to recycling minister Robbie Moore on Wednesday, several campaign groups and companies warned the Government that it is at risk of breaking its manifesto commitment unless it urgently introduces legislation to Parliament.

Greenpeace, Coca-Cola, the Rivers Trust, Surfers against Sewage, the RSPCA, Keep Britain Tidy, The Federation of Independent Retailers, Reloop, and the British Soft Drinks Association were among the signatories.

The letter said: “The Government’s intention to introduce deposits in England & Northern Ireland by October 2025, alongside parallel systems planned for Scotland and Wales, is a reform that is essential to boosting economic, social and environmental wellbeing up and down the country.

“We urge the Government to deliver its 2019 manifesto pledge by laying legislation this spring, ahead of the next General Election.”

The signatories warned that the the UK is falling behind other European countries which have a DRS – including Germany, Norway, Sweden, Ireland, Latvia, Slovakia and Hungary – while more are set to introduce a scheme in the next 18 months.

The letter cited a 2022 survey from Keep Britain Tidy, which found that drinks containers make up 75% of street litter by volume, as well as research from the Marine Conservation Society, which found them on 93% of UK beaches surveyed.

It also referenced recent YouGov polling, which suggests that 66% of Britons supported the introduction of a DRS, with only 13% opposing it.

Cassie Rist, senior policy officer and advocacy adviser at Wildlife and Countryside Link, said: “A Deposit Return Scheme is an essential part of investing in green infrastructure, boosting recycling rates and stopping the waves of pollution going into our oceans, beaches and other natural spaces.

“As well as further environmental impacts closer to home, any more delay to this would send a bad signal on the world stage as we get towards crucial talks on the Global Plastic Treaty in April.”

Jenni Hume, UK and Ireland director of circular economy experts Reloop, said: “In the UK, continued delays mean that bottles and cans are still littering our countryside and entering landfill or incineration rather than recycling plants, or being reused.

“Ministers must keep pace with international counterparts and deliver the necessary legislation before Parliament ahead of a General Election.”

Gavin Partington, director general of the British Soft Drinks Association, said: “We strongly support the introduction of a well-designed deposit return scheme and continue to urge the UK Government and Devolved Governments to press ahead with the introduction of an interoperable DRS to help kick-start the UK’s circular economy, reduce littering and increase recycling.”

The PA news agency has contacted Defra for comment.",Rebecca Speare-Cole,"PA Ready, Government, Greenpeace, Marine Conservation Society, British, Defra, Ireland, Northern Ireland, RSPCA, England, Scotland, Wales, Britons, Parliament, Hungary",2024-03-13,CONTROL_International_Womens_Strike_2017_2024,single,True,0,"In, The, To"
