url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.foxnews.com/entertainment/heidi-klums-lingerie-shoot-20-year-old-daughter-sparks-online-debate-gives-me-yucky-feeling,Fox News,Heidi Klum's lingerie shoot with 20-year-old daughter sparks online debate: 'Gives me a yucky feeling',"Heidi Klum and daughter Leni sparked an online debate after posing together in lingerie.

Klum, 51, and Leni, 20, stood side-by-side for an ad for Intimissimi shared Monday on Instagram.

The ""America's Got Talent"" judge was dressed in maroon underwear and bra set while Leni posed in a black set.

The comments were mixed, with some sharing discomfort with the mother and daughter duo posing in lingerie.

""This makes me feel uncomfortable,"" one user wrote.

""Heidi looks amazing. But why would you pose in lace revealing lingerie with your mother?"" another added. ""Gives me a yucky feeling. And before someone tells me to unfollow Don't! I didn't follow it in the first place. It showed up on my feed. There is no place on this ad where I can block it anyway so I am commenting.""

""dude that's your mom,"" someone shared.

However, not everyone had a problem with the image.

""Two beautiful ladies! I can't imagine why anyone would be critical of this. People have been modeling underwear forever,"" a user wrote.

""I am not bothered by this photo,"" another added. ""There is nothing unsettling happening here. The underwear isn't suggestive. I don't get what the issue is.""

A representative for Klum did not respond to Fox News Digital's immediate request for comment.

Leni launched her modeling career at the age of 16. Klum and her daughter appeared together on the cover of Vogue Germany for the January/February issue in 2021.

""So excited for my first cover!! I had so much fun on set with @voguegermany couldn't dream of a better start!! Thank you for being by my side @heidiklum,"" Leni wrote on Instagram at the time.

Klum gave Leni words of advice in a 2023 interview with Fox News Digital.

""I think the best advice I've given my daughter for being a model is to always be happy with yourself when you look in the mirror. I think that's most important,"" Klum said on the ""America’s Got Talent"" red carpet.

""Don't try to ever please anyone,"" Klum suggested. ""I think it is important to say no… because I feel like… just in general, we want to please and… say ‘yes’ more than ‘no.’ But I wanted her to know that if there's something you don't want to do, you just have to say no.""

This isn't the first time Heidi and Leni have posed together for the Italian lingerie brand. Intimissimi posted photos of the two posing together in bras and underwear in October 2022. That ad campaign also received mixed reviews online.

""Sexualizing your daughter the moment they turn legal is weird,"" one person wrote on the post.

""Very disturbing,"" a user added.

""I like to think I'm progressive in these things but mom and daughter in lingerie in the same video shoot is just a bit ick,"" another user said.

Others praised the original campaign.

""Amazing mother and daughter,"" one wrote.

""Wow, finally a mommy model with her daughter instead of influencers I'm sick of seeing all the time,"" one user added. ""Good advertisement this time.""",Lauryn Overhultz,"heidi-klum, entertainment, trending-news",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,4,"Kate, Middleton, Photo"
https://www.foxnews.com/entertainment/sydney-sweeney-unrecognizable-channels-famous-athlete-upcoming-role,Fox News,Sydney Sweeney is unrecognizable as she channels famous athlete for upcoming role,"It's hard to miss actress Sydney Sweeney with her enviable figure, bright blonde locks and killer smile.

But if you were in Charlotte, North Carolina, over the weekend, you could have walked right past her without even knowing.

New photos of the starlet looking unrecognizable were taken on the set of her upcoming movie, reportedly titled ""Black Bear,"" on Sunday.

The ""Euphoria"" actress was accompanied by a woman who held an umbrella over the actress' shaggy brown locks (presumably a wig) wrapped with a blue bandanna. The actress wore a baggy sweatshirt and sweatpants, disguising her tiny frame.

Not much is known about the film where Sweeney plays real-life boxer Christy Martin. However, in May, Sweeney told Deadline that she was excited to ""transform"" her body to be well-equipped to portray the athlete.

""I grappled and did kickboxing from 12-19 years old. I’ve been itching to get back into the ring, train, and transform my body,"" she shared. ""Christy’s story isn’t a light one, it’s physically and emotionally demanding, there’s a lot of weight to carry. But I love challenging myself.""

""Christy Martin not only legitimized female boxing, she overcame gender stereotypes, and fought through emotional, physical, and financial abuse,"" she told the outlet. ""I’m passionate about the fighting world, Christy’s story shines a light on her incredible rise to the top while showing the struggles of fame behind the curtains. I feel compelled to tell a story about a woman who faced so much adversity and didn’t allow it to defeat her. It’s powerful, and emotional.""

This isn't the first movie where Sweeney has portrayed a real person. In the upcoming film ""Eden,"" directed and produced by Ron Howard, Sweeney plays Margret Wittmer, who famously settled on Floreana Island.

In 2023, Sweeney played the titular role in ""Reality"" as Reality Winter, who is known for leaking American intelligence. In 2019, she played Dianne ""Snake"" Lane, a young member of the Manson family cult in the movie ""Once Upon a Time… in Hollywood.""

In an interview with Variety given earlier this year after the success of her film, ""Anyone But You,"" (also starring Glen Powell), Sweeney said she loved pushing the boundaries as an actress.

Speaking about her movie ""Immaculate,"" which she not only starred in but also produced, Sweeney said, ""I love finding places that I didn’t know I could unlock – pushing the boundaries and the limits of what people expect to see from me.""

""I wish that I had a formulaic answer for how I did it. But whenever a director calls ‘action,’ it’s just like a switch. And I allow all of Sydney’s thoughts and feelings and emotions to disappear. And I am now whatever character I’m playing – I’m Cecilia at the moment. I don’t like to rehearse; I don’t plan what is going to happen. What you saw [in the film’s final moments] was the first take.""",Caroline Thayer,"entertainment, movies, tv",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/entertainment/ted-lasso-star-hannah-waddingham-confesses-her-love-life-dry-cant-remember-her-last-first-date,Fox News,'Ted Lasso' star Hannah Waddingham confesses her love life is 'dry' and can't remember her last first date,"When it comes to her love life, Hannah Waddingham isn't holding back.

During an appearance as a guest judge on ""The Voice UK"" last week alongside Sir Tom Jones, the ""Ted Lasso"" star, 50, got candid about her ""dry"" love life and revealed her one ""deal-breaker"" when it comes to choosing a partner.

""It’s so long since I had a first date, I honestly can’t remember,"" Waddingham, who was last romantically connected to her boyfriend of ten years, Italian businessman Gianluca Cugnetto, said per The Sun. ""I’m so busy and just a bit picky.""

""I want a guy that scoops me up and goes, ‘I’ve got you, I don’t care if you’ve got your make-up on or not, I’m happy to lie in bed with you and have Marmite on toast and a glass of milk’. And just be a lovely positive, charismatic soul.""

""I’m 50 and I’m like, ‘Dude, if you are not going to step up, step off and be gone. Sod off until someone fabulous comes along’""

Waddingham, who shares 10-old-daughter with Cugnetto, admitted that she does in fact have a ""deal-breaker"" when it comes to choosing a suitor.

""What’s my deal-breaker? I’m going to be very basic — a bad kiss,"" she said. ""You know that nothing else works, nothing else is going to work.""

""But also eye contact, eye contact is key,"" she added.

While Waddingham has never been married, she said if she were to do it, she'd do it one way only.

""If I was going to do it, I would be in a bikini on the beach — a white bikini on the beach.""

Waddingham is no stranger to speaking her mind.

Earlier this year, the British actress exchanged words with a photographer whom she felt made an inappropriate comment towards her while posing for pictures in London.

The incident occurred at the Olivier Awards, where Waddingham served as host. Video captured by a fan and shared with Fox News Digital showed Waddingham posing for photographs outside before becoming distracted by something out of frame.

""Oh my God, you’d never say that to a man, my friend,"" Waddingham said.

""Don’t be a d---. Otherwise, I’ll veer off. Don’t say, ‘Show me the legs,’"" she said.",Christina Dugan Ramirez,"entertainment, tv, reality",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/sports/angel-reese-needs-sit-her-a-down-amid-off-court-controversy-caitlin-clark-comparisons-rapper-says,Fox News,Rapper Joe Budden speaks out against Angel Reese amid off-court controversy and Caitlin Clark comparisons,"Hip-hop artist and media mogul Joe Budden sent a stern message to WNBA rookie Angel Reese about her image.

After a rookie season where Reese at one point even held the WNBA single-season rebound record but failed to hold it after season-ending surgery, Reese has leaned into brand-building off the court.

The 22-year-old women's basketball star launched her own podcast ""Unapolagetically Angel"" before she was even done with her rookie season, and has kept releasing episodes every week even after her WNBA season ended early due to a wrist injury in early September.

The podcast has stirred controversy multiple times, including the very first episode when she spoke out against fans of rival player Caitlin Clark, alleging they had sent her death threats and made explicit AI images of her and sent them to her family. In her most recent episode, Reese interviewed the ex-girlfriend of Kansas City Chiefs tight end Travis Kelce about their past relationship. This interview brought about a flurry of criticism, particularly from fans of Kelce's new girlfriend, Taylor Swift.

Now Budden has advised Reese to pull back on some of the non-basketball publicity she has been chasing in recent months, during an episode of his podcast, ""The Joe Budden Podcast,"" via Sports Illustrated.

""I've seen Angel Reese wildin' out, I don't know if I've seen her on 'Wild N' Out,'"" Budden said. ""Angel Reese won't sit her f----in' a-- down... She won't go sit down somewhere for a second. There's value in it.

""This is going to sound like I'm telling women what to do. But I ain't.""

Budden also made it a point to compare Reese's off-the-court habits to Clark's. However, he also clarified that the comparison was not rooted in race.

""Whoever [Reese] got is telling her to go pop up everywhere. That's not what Caitlin Clark's people are saying, not to make it racial... We just on some star rookie s--- now,"" he said.

Clark ended up winning WNBA Rookie of the Year over Reese, earning all but one vote for the award. The lone vote that went against Clark was for Reese. However, it is a vote that has garnered heavy backlash from the women's basketball community, as Clark outperformed the Sky rookie in every statistical category except rebounds.

Unlike Reese, Clark does not have a podcast and has refrained from making controversial comments at all during and after her rookie season.

The extent of Clark's off-the-court publicity so far has been attending other sporting events, oftentimes with her boyfriend Connor McCaffery. Clark and McCaffery were seen sitting courtside at the Indiana Pacers' preseason game vs. the Memphis Grizzlies on Monday night. Back in August, the two attended a New York Yankees game, and she took pictures with stars Aaron Judge and Juan Soto.",Jackson Thompson,"chicago-sky, angel-reese, wnba, sports",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/sports/oregons-dan-lanning-admits-exploiting-loophole-against-ohio-state-reportedly-sparking-ncaa-probe,Fox News,"Oregon's Dan Lanning admits to exploiting loophole against Ohio State, reportedly sparking NCAA probe","Turns out, Dan Lanning was playing chess on Saturday night.

The Ohio State Buckeyes had just been knocked out of field goal range after an offensive pass interference penalty. Two plays later, they had 10 seconds on a 3rd and 25.

That's when the Oregon head coach sneakily took a gamble.

Will Howard's next pass fell incomplete, but the Ducks were called for an illegal substitution. They had a 12th man on the field, to which Buckeyes head coach Ryan Day desperately wanted to be called at the time.

The speculation, though, was that the illegal substitution was a strategic gamble with odds very much in Lanning's favor: Get penalized a measly five yards in order to not give up the big play and waste nearly half the time remaining in the game.

On the next play, Howard was unable to slide in time for them to call a timeout, giving the Ducks the win.

Lanning all but admitted that the speculation was accurate.

""There was a timeout before that — we spend an inordinate amount of time on situations. There’s some situations that don’t show up very often in college football, but this is one that obviously was something we had worked on. So you can see the result,"" Lanning said sneakily on Monday.

Well, the NCAA was apparently quick to realize the loophole, and Yahoo Sports reported that the NCAA is considering a change to the rule.

""We’ve had good dialogue on this play,"" NCAA secretary rules editor Steve Shaw told Yahoo Sports. ""We’ve recognized the way it played out.""

In the National Football League, the clock reverts back to the original time on a 12-man penalty — that is not the case in college football.

The win put the Ducks at No. 2 in the country, their highest ranking since making the national championship game in 2015.",Ryan Morik,"oregon-ducks, ncaafb, sports, ohio-state-buckeyes, ncaa",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/us/former-owner-distressed-dog-found-chained-pole-hurricane-milton-arrestedwill-face-music,Fox News,"Former owner of dog found chained to pole ahead of Hurricane Milton arrested, to 'face the music,' DA says","The former owner of a distressed dog found tied to a fence near a freeway as Hurricane Milton headed toward Florida said he left the bull terrier as he was evacuating the state, authorities said.

Giovanny Aldama Garcia has been charged with aggravated animal cruelty, State Attorney Suzy Lopez said. He allegedly told investigators that he was driving to Georgia to escape the storm but left his dog, Jumbo, on the side of the road because he couldn’t find anyone to pick the dog up.

""Criminals face harsher penalties, as a matter of fact, during a state of emergency, which we were in last week, and we are in now,"" Lopez said in a news release. ""They will face the music.""

The bull terrier, renamed Trooper in honor of his rescuer, was found abandoned by Florida Highway Patrol Trooper Morales – his first name wasn't disclosed – during a rainy Oct. 9 morning off Interstate 75 near Bruce B. Downs Boulevard.

""He’s an animal lover and father to a rescue dog himself,"" Lopez said.

The discovery was made as the storm was bearing down on the area before making landfall as a Category 3 storm with 120 mph winds later that night.

Trooper is now in foster care in the state capital of Tallahassee and will be put up for adoption. The Leon County Humane Society said it's received hundreds of inquiries about the dog.

At the time he was found, Trooper was standing in a large puddle of water and repeatedly growled as the trooper moved toward him.

""It's OK, buddy. It's OK,"" the trooper is heard saying as his body camera recorded the encounter. ""I don't blame you. I don't blame you. It's OK, buddy.""

Florida Gov. Ron DeSantis initially promised that the owner would be held accountable.

""I’m warning you, don’t do that. If you loot, you will be held accountable. If you’re doing things that violate the law, if you’re going to try to take advantage of vulnerable people, we’re going to throw the book at you,"" DeSantis said on Oct. 10. ""We even had some jackass chain a dog to a pole. As the storm was coming, Florida Highway Patrol rescued the dog.""

""We had somebody decide as Hurricane Milton approached that it would somehow be a good thing to take his dog and chain it to a post on the interstate,"" he said Tuesday. ""We said at the time, ‘You don’t just tie up a dog and have them out there for a storm.'""

The humane society said Trooper's caretakers are still getting to know the dog and tending to him after he arrived at the shelter in an anxious state.

""He's incredibly stressed and still decompressing,"" the animal shelter said. ""Abandoning a dog like this doesn't typically allow for an immediate bounce back to their happy selves. Most dogs when rescued take a few days to feel safe, a few weeks to come out of their shell, and a few months to become comfortable and fall into a routine.""

CLICK HERE TO GET THE FOX NEWS APP

""We have absolutely no idea what his life looked like before he was abandoned,"" the humane society explained. ""We want to be sure that we know exactly what he needs before even considering adoption, so he'll be in foster care until we feel confident he's ready for the next phase of life, and that his future will be kind to him.""",Louis Casiano,"crime, florida, hurricanes, us, pets",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/us/hot-air-balloon-strike-collapse-new-mexico-radio-tower-caught-camera-popular-festival,Fox News,"Hot air balloon strike, collapse of New Mexico radio tower caught on camera during popular festival","A hot air balloon in Albuquereque, New Mexico, plummeted to the ground after it struck a radio tower during a popular festival, briefly catching fire.

Kevin Carhart, a spokesperson for the Bernalillo County Sheriff’s Office, said that the balloon was carrying three people during its descension around 8:45 a.m. local time Friday.

The incident occurred at the 52nd annual Albuquerque International Balloon Fiesta, a week-long event that fills the sky with more than 500 colorful balloons.

Curt Fargo captured the balloon on video hitting the radio tower, causing the structure to immediately crumble.

The tower transmits signals to the local radio station, KKOB-AM.

Photos posted by the station showed the mangled radio tower after the crash.

Police said that no one was injured during the incident.

The Federal Aviation Administration (FAA) confirmed to Fox News Digital that they are investigating the incident.

It wasn't the first time the radio tower has been involved in a hot air balloon crash. In 2004, the KKOB tower was struck by a Smokey Bear Balloon.

That incident resulted in the balloon getting hung up on the tower, putting the lives of the pilot and the two young boys onboard in jeopardy.

The fiesta concluded Sunday, but not before a balloon briefly caught fire after it hit power lines on Saturday before landing in northwest Albuquerque, the AP reported. There were no injuries.",Sarah Rumpf-Whitten,"newmexico, policelaw, disasters",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/us/pumpkin-weighing-2471-pounds-wins-california-contest,Fox News,"Pumpkin weighing 2,471 pounds wins California contest","A Minnesota horticulture teacher remained the reigning champion Monday of an annual pumpkin-weighing contest in Northern California where his massive gourds have won the top prize four years in a row.

Travis Gienger, of Anoka, Minnesota, beat his closest competitor by 6 pounds (2.7 kilograms) to clinch the victory at the 51st World Championship Pumpkin Weigh-Off in Half Moon Bay, south of San Francisco.

His winning gourd came in at 2,471 pounds (1,121 kilograms), falling short of the world record he set last year with a pumpkin weighing 2,749 pounds (1,247 kilograms).

Gienger, 44, said that as he has done in the past, he focused on having healthy soil and well-fed plants but that a cold fall with record-breaking rain likely impacted his pumpkin's growth.

""We had really, really tough weather and somehow, some way, I kept on working,"" Gienger said. ""I had to work for this one, and we got it done at the end, but it wasn’t by much.""

Gienger and his family drove his gargantuan gourd for 35 hours to California.

He said the giant pumpkin's next stop will be in Southern California, where a team of professional carvers will do a 3D carve on it at a Halloween event.",,"california, associated-press, wildnature, holiday",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,14,"471, Dentists, Halloween"
https://www.foxnews.com/politics/more-than-230-doctors-health-care-professionals-call-trump-release-medical-records,Fox News,More than 230 doctors and health care professionals call on Trump to release medical records,"More than 230 doctors, nurses and other health care professionals are calling on former President Trump to release his medical records after Vice President Kamala Harris did so.

In an open letter dated Oct. 13, first reported by CBS News, the health care providers raise concerns about Trump's advanced age and argue that the 78-year-old Republican nominee should be transparent about his health and medical history.

""On August 20, Donald Trump said he would ‘very gladly’ release his medical records. In the 55 days since, he has yet to do so,"" the letter states. ""With no recent disclosure of health information from Donald Trump, we are left to extrapolate from public appearances. And on that front, Trump is falling concerningly short of any standard of fitness for office and displaying alarming characteristics of declining acuity.""

Most of the signatories support Harris for president. The letter asserts that Trump appears to ""ramble, meander, and crudely lash out at his many perceived grievances"" during his campaign events and questions whether this behavior is the result of cognitive changes associated with old age.

""The American people deserve to have confidence in their elected officials' mental and physical capacity to do the jobs that they've elected them to do. Trump ought to be going above and beyond to provide transparency on his physical health and mental acuity, given his advancing age.""

The letter comes while Harris is goading Trump into releasing his health information after the White House put out a ""Healthcare Statement"" on Saturday that declared her to be in ""excellent health.""

The statement from Harris' doctor also indicated she had her most recent annual physical exam in April of this year. Trump released his own health records while campaigning in 2016, and once he took over the White House he continued the trend. In August, with the 2024 election quickly approaching, Trump told CBS News that he would release updated medical records to the public. However, he has yet to do so, with roughly three weeks until Election Day.

""He won't put out his medical records,"" Harris said Monday morning during an interview with podcast host Roland Martin. She also slammed Trump for refusing to debate a second time and questioned why Trump's ""staff"" would not allow him to do an interview with CBS' ""60 Minutes,"" particularly when it is tradition for both presidential candidates to do a sit down with the show.

""It may be because they think he's just not ready and unfit and unstable and should not have that level of transparency for the American people,"" Harris suggested.

The Trump campaign responded by pointing out several times the former president has voluntarily released updates about his health. They also noted that he shared records from a July screening conducted by Dr. Ronny Jackson, a former White House physician turned GOP congressman, following the second assassination attempt on his life.

""All have concluded [Trump] is in perfect and excellent health to be Commander in Chief,"" said Trump campaign spokesman Steven Cheung. ""He has maintained an extremely busy and active campaign schedule unlike any other in political history."" Meanwhile, Cheung slammed Harris as being ""unable to keep up with demands of campaigning,"" arguing that compared to Trump her schedule ""is much lighter because, it is said, she does not have the stamina of President Trump.""

Trump himself reacted to Harris' medical statement on social media, calling it ""really bad.""

""With all of the problems that she has, there is a real question as to whether or not she should be running for President!"" he wrote. ""MY REPORT IS PERFECT - NO PROBLEMS!!!""Fox News Digital's Alec Schemmel contributed to this report.",Chris Pandolfo,"donald-trump, kamala-harris, politics, elections, healthc",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
https://www.foxnews.com/us/dna-forensics-identify-remains-colorado-freezer-teenager-missing-nearly-20-years,Fox News,DNA forensics helps identify remains found in Colorado freezer as teenager missing for nearly 20 years,"A human head and set of hands found inside a freezer at a western Colorado home recently sold before the discovery in January have been discovered as those of a 16-year-old girl who went missing almost 20 years ago.

On Jan. 12, people were cleaning out a Grand Junction, Colorado, home, located nearly 200 miles west of Denver, when they discovered a human head and hands inside a freezer.

On Friday, the Mesa County Coroner’s Office announced that, through DNA testing, the victim was identified as Amanda Leariel Overstreet.

The Mesa County Sheriff’s Office said Overstreet is believed to have been about 16 years old when she disappeared, adding that she had not been seen or heard from since April 2005.

Overstreet was the biological daughter of the previous owner of the home, which has since changed ownership multiple times.

While the remains have been identified as Overstreet, investigators continue to look into the circumstances surrounding her disappearance and forensic testing for evidence remains ongoing.

The sheriff’s office also said there is no record of Overstreet ever being reported missing.

Since the discovery of the remains, investigators have been in contact with the home’s previous owners, the sheriff’s office said at the time.

Police told Houston Public Media no arrests have been made, and no suspects have been publicly identified.

In a post on social media, the sheriff’s office added that the home where the homicide investigation is centered is under new ownership by people completely unrelated to the case, urging the public to respect the current owner’s and neighbor’s privacy.",Greg Wehner,"colorado, cold-case, policelaw, homicide",2024-10-15,CONTROL_MeToo_Protests_2017_2024,single,True,0,"In, The, To"
