url,publisher,title,body,authors,topics,publishing_date,event_label,event_type,is_control,topic_id,topic_label
https://www.foxnews.com/politics/puerto-rico-shadow-senator-endorses-trump-pa-rally-after-kill-tony-controversy-msg,Fox News,Puerto Rico Shadow Senator endorses Trump at PA rally after 'Kill Tony' controversy at MSG,"One of Puerto Rico's two ""shadow senators"" endorsed former President Trump only days after comic ""Kill Tony"" Hinchcliffe delivered a widely-criticized set demeaning the island protectorate at the Republican's New York City rally.

Shadow Sen. Zoraida Buxo, a Republican, said she was proud to be back in Allentown, Pennsylvania's third-largest city, and the anchor of a key swing congressional district. Shadow Senators are elected officials who are not seated in the upper chamber, but are tasked with advocating for their territory and its statehood.

In a recent Fox News Digital interview, Allentown Democratic Mayor Matt Tuerk said that for the first time, the city – settled by English loyalist William Allen and historically Pennsylvania Dutch – is Latino-majority. Only Hazleton and Reading reportedly have a higher proportion as of 2022.

Allentown's population is estimated at 126,000, and about one-quarter is Puerto Rican.

Buxo nodded to that development in her speech, about two hours prior to Trump's estimated speaking time. The president had been delayed leaving another event in Delaware County earlier in the day.

Buxo said she is reminded of her home island's ""steadfast conservative values of community, family, faith and deep love of country.""

""That is home. That is Puerto Rico,"" she said.

Without mentioning Hinchcliffe by name in her address, she appeared to reference the controversy, saying ""we won't get rattled, we won't yield to ignorance [or] foolishness… we will remain focused on what is very important.""

""We all share a desire of change for the good,"" she later added.

Buxo slammed the ""failed policies"" of the Biden-Harris administration, touching on border security, law enforcement and the economy.

She said there are nearly six million Puerto Ricans living stateside, and that about 500,000 reside in Pennsylvania.

""We Hispanics are part of the soul of this country. We have made a difference, and we will again make a difference in this coming election to bring about much-needed change,"" she said.

""I urge you to watch out and stay focused on what is truly important when you go to cast your vote … We need change and Kamala Harris and Tim Walz are not the option to bring about the kind of change that you need and want.""

She closed her remarks with the endorsement:

""We need the leadership of Donald J. Trump as our Commander-in-Chief and Dave McCormick for a renewed leadership in the United States Senate,"" she said.

""Pennsylvanians – Americans, all – a better future is in your hands – your vote is the most powerful tool you have to bring about change. And for Latinos: Dale a Trump la fuersa de ta voto (""Give Trump the force of your vote"").

""And for those reasons, I strongly and fully support and endorse Donald J. Trump to be our 47th president to Make America Great Again and to Make Puerto Rico Shine Again.""

Meanwhile, outside the rally – held at the PPL Center hockey arena and entertainment venue home to the Flyers affiliate Lehigh Valley Phantoms -- a billboard reportedly displayed the Washington Post's headline following Trump's Madison Square Garden Event.

Flipping between Spanish and English, according to the New York Times, the type read ""Trump rally speakers lob racist insults, call Puerto Rico ‘island of garbage.""

Conversely, the prayer to kick off the event was recited by Roberto Albino, who called himself a ""proud Puerto Rican"" and complimented Trump.",Charles Creitz,"politics, pennsylvania, elections, republicans, us-puerto-rico, donald-trump, campaigning",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/politics/walz-mocks-trump-age-georgia-rally-says-he-does-qualify-social-security,Fox News,"Walz mocks Trump's age at Georgia rally, says he 'does qualify for Social Security'","Democratic vice presidential nominee Minnesota Gov. Tim Walz mocked former President Trump’s age during a Tuesday evening rally in Georgia.

Walz criticized Trump’s proposal to stop taxing Social Security checks while quipping that Trump himself would be eligible for the program, which is for Americans aged 62 and older.

""Now, Trump came out with a plan that if we execute his plan, Social Security will go broke in six years,"" he said, referring to a recent analysis of the effect of Trump’s tax proposals on Social Security.

""Social Security might not be very important to a guy like that. If you're a billionaire and your dad gave you $400 million – you pretty much squandered all that, but you can just limp along on $400 million…he doesn't care. He doesn't care that he gets a check.""

The crowd whooped as Walz quipped, ""Now he is nearly 80, so he does qualify for Social Security.""

""He does qualify, but he doesn't give a damn. My mom cars who's nearly 90. She uses her Social Security check,"" Walz said. ""[Democratic 2024 nominee Vice President Kamala Harris] and I will protect Social Security and Medicare and make it stronger.""

The former president's age has been a favorite political cudgel for Harris allies since 81-year-old President Biden dropped out of the race.

The recent analysis from the Committee For a Responsible Federal Budget (CRFB), however, accused both Trump and Harris of a lack of sufficient answers on Social Security.

On her campaign website, Harris promised to ""protect"" Social Security ""by making corporations and the wealthiest Americans pay their fair share in taxes,"" though it does not elaborate much further.

""Unfortunately, neither candidate has presented plans to fix Social Security’s finances despite the looming $16,500 cut facing a typical couple retiring just before insolvency,"" the CRFB analysis said.

It did project, however, that Trump’s stated tax and tariff policies would advance the program’s expected solvency from fiscal year 2034 to FY 2031.

The former president has vowed to protect Social Security and Medicare during numerous public appearances on the campaign trail. He told supporters as recently as Monday evening at his own Georgia event, ""I'm the one that's going to make Social Security strong again.""

The evening rally was Walz’s last public stop in Georgia on Tuesday after multiple public events.

Both the Harris and Trump campaigns have poured enormous amounts of time and resources into the Peach State, which Biden won by less than 1% in 2020.

The Trump campaign’s Georgia spokesperson Morgan Ackley said of Walz’s day-long swing, ""Since Kamala Harris said she wouldn't have done anything different from Joe Biden, Tim Walz is campaigning for another four years of unmanaged illegal immigration, skyhigh prices, and war abroad.""

""Georgia voters know President Trump will fix what Kamala Harris broke and flock to the ballot box for his America First Agenda on November 5th,"" Ackley said.

Fox News Digital reached out to the Trump campaign for comment on Walz’s specific remarks on Tuesday evening.",Elizabeth Elkind,"georgia, battleground-voters, tim-walz, donald-trump",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/us/swat-standoff-shots-fired-atlanta-luxury-hotel-ends-barricaded-suspect-apprehended-police,Fox News,SWAT standoff with shots fired at Atlanta luxury hotel ends as barricaded suspect is apprehended by police,"The Atlanta Police Department and SWAT teams responded to a Georgia luxury hotel in downtown Atlanta on Tuesday afternoon, after an armed suspect barricaded himself inside and allegedly started shooting.

During a press conference at approximately 5:15 p.m., Atlanta Police Department's Chief Darin Schierbaum and Atlanta Mayor Andre Dickens provided additional information about the incident.

Schierbaum identified 70-year-old J. Stevens Berger as the suspect, saying he was suffering from a mental health crisis and had an altercation with a hotel employee at approximately 10 a.m. Tuesday.

Berger lived at the hotel and was spotted during the incident on his balcony wearing a red mask.

Berger had access to multiple weapons, including knives and guns, police said, and added they believe that he fired at least 15 shots.

""While the efforts were underway, he began firing a weapon,"" Schierbaum said. ""We believe he fired at least three different weapons; handguns, shotguns and rifles, that fired through the walls.""

One witness told Fox News affiliate WAGA that the incident felt like something out of the video game ""Grand Theft Auto.""

""We heard 10 shots. We walked outside, got everything on camera – the man throwing couches, shooting – very chaotic, very random,"" Khalil Hagans said. ""This is Atlanta. This is not a real place.""

Another witness told the news station that police prevented them from moving anywhere due to the active shooter.

""So, we looked up, and we was trying to look for him, and we seen him. We look at him for like five seconds and next thing you know 'boom, boom, boom,' he starts shooting again. So, it was like, we ducked behind here, and we just watching him,"" said Jordan Hall. ""It was like we were in the middle of a movie.""

One Atlanta police officer was injured with non-life-threatening injuries, police said, which ordered a shelter-in-place after the shooting started. At least two other officers returned fire, police said.

Police said that multiple charges are expected to be filed against Berger, including aggravated assault and reckless endangerment.

""We saw bravery, we saw an effort to preserve life,"" Schierbaum said.

The update from police came after the Atlanta Police Department confirmed that they were investigating a barricaded suspect at the Four Seasons Hotel in Midtown where there were reports of gunfire.

In an update at approximately 4:30 p.m., police said that the suspect was apprehended and in custody, prompting a shelter-in-place order to be lifted.",Sarah Rumpf-Whitten,"atlanta, georgia, policelaw",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/lifestyle/four-dreaded-letters-airline-passengers-goes-viral-north-carolina-farm-grows-tree-white-house,Fox News,"Four dreaded letters for airline passengers, plus family farm grows White House Christmas tree","TURBULENCE AHEAD – Airline travelers are sharing the details behind the dreaded letters ""SSSS"" that can appear on a boarding pass. Here's what they mean.

CANDY CRUSHIN' IT – Celebrity chef Andrew Gruel of California shares tips to help families save money on Halloween candy and still be the coolest house on the street.

AMERICA'S CHRISTMAS TREE – The owners of Cartner’s Christmas Tree Farm in Newland, North Carolina, speak about how they grew the tree that was selected by the White House.

CALLING ALL CROSSWORD PUZZLE LOVERS! – Play our Fox News daily crossword puzzle for free here! And not just one — check out the multiple offerings. See the puzzles...

HUDDLE UP – Camping in the winter requires warm sleeping quarters and waterproof gear. Continue reading…",Fox News Staff,lifestyle-newsletter,2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/media/trump-denies-knowing-comedian-who-told-crude-joke-about-puerto-rico-i-have-no-idea-who-he-is,Fox News,Trump denies knowing comedian who told crude joke about Puerto Rico: 'I have no idea who he is’,"Former President Trump said he has ""no idea"" who comedian Tony Hinchcliffe is after the comic ignited a firestorm of controversy over the weekend at his rally in New York City's Madison Square Garden, calling Puerto Rico a ""floating island of garbage.""

""I have no idea who he is. Somebody said there was a comedian that joked about Puerto Rico or something. And I have no idea who it was. Never saw him. Never heard of him, and don't want to hear of him. But I have no idea,"" Trump told ""Hannity"" in an interview set to air Tuesday at 9 p.m. ET. ""They put a comedian in, which everybody does, you throw comedians in, you don't vet them and go crazy. It's nobody's fault. But somebody said some bad things.""

Hinchcliffe received a wave of condemnation and criticism from both sides of the political aisle, including from Republican Florida Senators Rick Scott and Marco Rubio and Florida Reps. Carlos Gimenez and María Elvira Salazar.

Danielle Alvarez, a senior adviser to the Trump campaign, said in a statement to Fox News Digital that the Puerto Rico joke ""does not reflect the views of President Trump or the campaign.""

Trump doubled down on his knowledge of Hinchcliffe, telling Fox News host Sean Hannity, ""Now what they've done is taken somebody that has nothing to do with the party, has nothing to do with us, said something, and they try and make a big deal. But I don't know who it is.""

""I don't even know who put him in, and I can't imagine it's a big deal. I've done more for Puerto Rico than any president I think that's ever – that's ever been president,"" Trump claimed.

Puerto Rican singer Bad Bunny shared a campaign video from Vice President Kamala Harris to his millions of followers on Instagram in the wake of the crass joke about her plans for the U.S. territory.

The Harris-Walz campaign took aim at Trump for his administration’s ""failed"" preparation and response to Hurricane Maria in 2017, which devastated the island and left thousands dead.

""Trump did not acknowledge the scale of Puerto Ricans’ suffering—instead, he patted himself on the back and lied about the death toll while most of Puerto Rico lived without clean water and electricity. Rather than deliver meaningful relief for Puerto Ricans, he visited the island to toss paper towels at a crowd,"" read a portion of the campaign’s four-page plan for Puerto Rico.

Popular Puerto Rican rapper and singer Don Omar, who boasts millions of followers across his social media platforms, announced Tuesday he is supporting Harris.

""Puerto Rico is my homeland and my identity, and today, more than ever, I raise my island’s flag with pride. Hearing such racist and disdainful words directed at my home and at Latinos is heartbreaking. Trump has shown us, time and again, what he thinks of us, and the thought of him and his administration back in power is deeply concerning,"" he wrote in a post on X, formerly Twitter.

Norberto Dominguez, a precinct captain with the local Democratic Party in Allentown, Pa., which is home to a large Puerto Rican population, told Politico that Hinchcliffe’s comments were ""spreading like wildfire through the community.""

""It’s not the smartest thing to do, to insult people — a large group of voters here in a swing state — and then go to their home asking for votes,"" Dominguez said.

Trump is slated to hold a campaign rally at the PPL Center in Allentown on Tuesday night.",Ashley Carnahan,"fn-flash, donald-trump, hannity, kamala-harris, fox-news-media",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/media/wapo-staffers-livid-after-chief-editor-downplays-rate-cancellations-no-one-believes-word-hes-saying,Fox News,WaPo staffers livid after chief editor downplays rate of cancellations: 'No one believes a word he's saying',"Tensions at the Washington Post escalated on Tuesday after a company-wide meeting aimed at addressing the fallout over the paper's lack of presidential endorsement backfired internally.

NPR reported Tuesday that The Post has shed more than 250,000 subscribers since it revealed its editorial board would not formally endorse a presidential candidate despite planning to endorse Harris last week. The decision sparked an immediate uproar at the ""Democracy Dies in Darkness"" paper. At least two members of the Post's staff have resigned from the paper, while another two left the editorial board while staying on staff. Washington Post journalists are reportedly worried that the sudden loss in subscribers could lead to job cuts.

The paper's executive editor, Matt Murray, addressed the canceled subscriptions in a staff meeting Tuesday afternoon, telling employees that he could not provide a number of canceled subscriptions because he was unaware of the total amount to date, a Washington Post insider who was present at the meeting told Fox News Digital.

His feigned ignorance infuriated staffers, according to the source, who accused Murray of lying to hundreds of reporters to save face.

""No one believes a word he's saying -- that he doesn't know the subscriptions is beyond belief,"" the insider said. ""He did indicate he was afraid of leaks… be honest [he can say] 'I know the number, it's not great, but I'm hopeful it will stabilize etc.'""

At another point during the meeting, Murray apologized for the backlash the endorsement decision caused the paper and expressed appreciation for the dedication of his staff, before declaring, ""It’s done, it’s happened,"" the insider told Fox News Digital.

Murray said he didn't want to know the number of canceled subscriptions because he was convinced they would bounce back with time. He acknowledged the losses were ""substantial"" and predicted a ""bumpy"" road ahead but said he was not informed of any imminent job cuts or downsizing.

His attempt to reassure a riled newsroom was ""unsatisfactory and only made things worse,"" the source said.

A trio of Post reporters wrote in a column Sunday that positive internal momentum at their place of employment ""came to a halt"" on Friday when the paper revealed it would not endorse a presidential candidate. In the days since, an onslaught of readers posted on social media about canceling subscriptions in protest, prompting Washington Post reporters to fret over how many subscribers would ultimately walk away.

""A cancellation movement swept through social networks. Instead of using an internal analytics tool to check traffic to their own stories, some Post journalists used it to chart the soaring number of subscribers visiting the customer account page that allows them to cancel their subscriptions,"" Post reporters Manuel Roig-Franzia, Herb Scribner and Laura Wagner wrote in a piece headlined ""For The Post, more outrage from readers who say they’ve canceled.""

An endorsement of Harris was reportedly drafted and ready to publish before it was suddenly shelved last Friday. The paper, which has been reliably hostile to former President Trump for years, has endorsed a Democrat for president in every election since 1976, except for when it skipped one in 1988.

Amazon founder Jeff Bezos, who bought the paper in 2013, penned an op-ed defending The Post's decision, insisting that newspaper endorsements ""do nothing to tip the scales of an election"" but instead ""create a perception of bias."" He doubled down on The Post's decision to end its presidential endorsements by saying it's a ""principled decision, and it's the right one.""

The staff meeting comes a day after former WaPo executive editor Marty Baron, who held Murray's position for nearly a decade before retiring in 2021, torched Bezos for ""betraying the principles he professed"" and called non-endorsement decision ""a serious mistake"" that has ""done enormous damage to the brand of the Washington Post.""

The Washington Post did not respond to Fox News Digital's request for comment.","Joseph Wulfsohn, Yael Halon","fox-news-media, politics",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/sports/lions-jameson-williams-almost-arrested-carrying-gun-car-just-2-weeks-before-ped-suspension,Fox News,Lions' Jameson Williams confronted by police for carrying gun in car just 2 weeks before PED suspension,"Roughly two weeks before he was suspended for violating the NFL's performance-enhancing policy, Jameson Williams almost went to jail.

The Detroit Lions wide receiver and his brother, who was driving, were pulled over. During the traffic stop, two weapons were found inside the car, one belonging to each brother.

Williams' brother has a concealed pistol license (CPL), but Williams did not. Williams' brother told officers that both guns belonged to him, but Williams admitted he owned the other gun.

The third-year player told an officer he played for the Lions several times, but an officer said that did not affect whether he'd be arrested.

Williams said he had the gun ""for protection"" since he lives in Detroit. He was eventually placed in handcuffs and placed in the back of a police cruiser after being told he'd be arrested for carrying a concealed weapon.

Eventually, after a sergeant made some calls to higher-ranking officials, Williams was let go. The sergeant's phone background was a Lions logo, according to bodycam footage.

The sergeant told responding officers he was ""so mad"" at both of them, although Detroit Police Commander Michael McGinnis said that was said in a ""jovial way.""

After a lieutenant told the sergeant the brothers could be let go, the sergeant told the lieutenant he is a ""[expletive] hero"" and thanked him. That is when Williams was removed from handcuffs and let go without further issue.

The police department is now investigating why Williams and his brother were let go.

""I feel that there was probable cause to arrest, and he was under arrest by the patrol officer,"" McGinnis said. ""And because of that, he should have been conveyed to the Detroit Detention Center and processed.""

""I want to know if the fact that this individual was a Detroit Lions player, did that play a factor in the decision making?"" he added, saying police Chief James White is ""p---ed off"" about the ordeal.

In a statement, the Lions said Williams ""made us aware immediately that he was a passenger in a routine traffic stop on October 8th.

""We discussed the incident with him and have kept the league informed of what we know,"" the statement added. ""We understand he was released without incident or citation. It is now our understanding that the Detroit Police Department is revisiting the matter. Jameson has hired an attorney, and we will not be commenting further out of respect for the legal process.""

Williams is serving a two-game suspension for a performance-enhancing drug violation. The Lions didn't miss him too much over the weekend, putting up 52 points against the Tennessee Titans.

This is not Williams' first suspension. He missed six games last season for violating the league's gambling policy.",Ryan Morik,"detroit-lions, nfl, sports, policelaw, detroit",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/world/10-injured-after-cars-giant-pendulum-ride-break-apart-mid-air-horrifying-video-shows,Fox News,"10 injured after cars on giant pendulum ride break apart midair, horrifying video shows","Terrifying video has been released showing the moment two gondola cars detached from a high-flying amusement park ride and crashed, leaving ten people injured, including six critically.

It happened Saturday at a traveling fairground in Ecuador during festivities in La Aurora in the western province of Daule Canton. The cars broke off the swing-like pendulum ride, according to Jam Press Vid.

Video shows the thrill ride appearing to become unstable with a loud horn going off. As the gondola arm swings back and forth, it then clips a rail on the ride’s platform, and a thundering bang can be heard.

The videographer runs for cover with other screaming onlookers before another crashing sound is heard.

One car collapsed on the platform of the ride with the passengers still strapped into their seats, the video shows. The other crashed to the ground on the other side, per Jam Press Vid.

Video shows people then surrounding and helping the victims. Two men strapped into the gondola appear dazed, while a female lies on the floor of the platform.

Witnesses said blood was visible on the crashed gondolas.

Pendulum rides consist of a gondola, an arm and an axle. The ride is based on the motion of a fixed pendulum, with one end of the arm is fitted with a passenger-carrying gondola, while the other is attached to the axle. The passengers on the gondolas are swung back and forth.

Lt. Col Ricardo Armas, a police spokesperson, said one of the mechanical arms unexpectedly came loose, causing the cars to detach.

He added that officers closed down the traveling fair and cordoned off the faulty ride. An investigation is underway to determine the cause.

Fire Department Chief Moisés Cano said six of the 10 victims had fractures and head trauma. They were hospitalized in intensive care.

The organizers have vowed to cover the cost of the victims' medical bills.

Risk Management official Stalin Quiñónez said the attraction had all the required permits and was in full working order prior to the detachment.

""Unfortunately, this mishap occurred, a very unfortunate event, but we do not know what caused it yet,"" Quiñónez said. ""The investigations will be able to determine what happened.""",Michael Dorgan,"world, themeparks, policelaw, travel, lifestyle, southamerica, video, investigations",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/world/israels-strike-iran-took-missile-defense-systems-islamic-republic-is-essentially-naked,Fox News,"Israel's strike on Iran took out missile defense systems, Islamic Republic 'is essentially naked'","Israel took out three of Iran's Russian-made S-300 missile defense systems during last week's retaliatory strike against the Islamic Republic, Fox News has learned.

Israel carried out the strategic airstrike on Oct. 26, marking a significant escalation in the conflict between the two countries during the operation’s chosen name, ""Days of Repentance."" The strikes targeted critical military infrastructure, delivering both a symbolic and tactical blow to Iran’s strategic capabilities following Tehran's attack on Israel weeks earlier.

The Biden administration was informed about Israel's strike in advance. The targets were chosen in an effort to send a pinpoint message to Iran and to degrade its ability to fire ballistic missiles at Israel anytime soon.

At the start of the year, Iran only had four S300 surface-to-air missile systems. In April, Israel took out one of the missile systems in response to Iran's first ballistic missile attack. A senior U.S. official confirmed the airstrikes took out the three S-300 missile systems.

""The majority of Iran’s air defense was taken out."" a senior Israeli official told Fox News.

On an internal call, President Biden's adviser for the Middle East, Amos Hochstein, said ""Iran is essentially naked"" with no more missile defense.

Israeli warplanes also took out multiple radar systems that are needed to guide the same ballistic missiles that were fired at Israel in April and on Oct. 1 when Iran fired 181 ballistic missiles at the Jewish state. Many of the missiles were destroyed before reaching their target, and others caused minimal damage, the Department of Defense said.

Removing the radar systems prevents Iran from firing those missiles in the future, a senior official said.

""Our message is very, very clear… ‘Any threat, anywhere, at any time, we will know how to reach it, we will know how to strike,’"" said Israel Defense Forces Chief of the General Staff, LTG Herzi Halevi.

Halevi emphasized that Israel had only deployed a portion of its capabilities, suggesting that further actions could be taken should Iran escalate.

Defense Secretary Lloyd Austin has urged Iran not to respond to Israel's strikes.

""We believe that this should be the end of this tit-for-tat,"" Deputy Pentagon Press Secretary Sabrina Singh said during a meeting today with reporters. ""We don't think that Iran should or needs to respond. On Oct. 1, Iran launched the 200 ballistic missiles that were targeting civilian population centers. Israel's response was targeted at military targets.""

""We see this as a way to off-ramp,"" she added.","Louis Casiano, Jennifer Griffin","israel, wars, iran",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
https://www.foxnews.com/world/ukraines-zelenskyy-says-war-russia-pushed-borders-north-korea-joins,Fox News,Ukraine’s Zelenskyy says war with Russia is being pushed ‘beyond borders’ as North Korea joins in,"Ukrainian President Volodymyr Zelenskyy said Tuesday that the thousands of North Korean soldiers expected to reinforce Russian troops on the front line in Ukraine are pushing the almost three-year war beyond the borders of the warring parties.

Western leaders say North Korea has sent some 10,000 soldiers to help Russia’s military campaign and warn that its involvement in a European war could also unsettle relations in the Indo-Pacific region, including Japan and Australia.

Zelenskyy said he spoke to South Korean President Yoon Suk Yeol and told him that 3,000 North Korean soldiers are already at military bases close to the Ukrainian front line and that he expects that deployment to increase to 12,000.

At the Pentagon on Tuesday, spokesman Maj. Gen. Pat Ryder said a ""relatively small number"" of North Korean troops are now in Russia's Kursk region, where Russian troops have been struggling to push back a Ukrainian incursion, and a couple thousand more are heading in that direction.

South Korea, which has been in close contact with NATO, the U.S. and the European Union about the latest developments, warned last week that it could send arms to Ukraine in retaliation for the North's involvement.

""There is only one conclusion — this war is internationalized and goes beyond the borders"" of Ukraine and Russia, Zelenskyy wrote on Telegram.

The Ukrainian president also said he and Yoon agreed to step up their countries' cooperation and exchange more intelligence, as well as develop concrete responses to Pyongyang's involvement.

In Washington, White House national security adviser Jake Sullivan met Tuesday with Zelenskyy's top adviser to discuss the North Korean troops as well as a coming surge of weaponry that the U.S. is delivering to Kyiv to help the Ukrainians harden protection of their energy infrastructure, according to White House officials familiar with their private talks.

Sullivan and Andriy Yermak, head of the Ukrainian president’s office, shared concerns that North Korean troops could be deployed to Russia's Kursk region and what such a development could mean for the conflict.

The officials, who were not authorized to comment publicly, said during the two-hour meeting at the White House, Sullivan also briefed Yermak on President Joe Biden’s plans to push additional artillery systems, ammunition, hundreds of armored vehicles and more to Ukraine before he leaves office in January.

Sullivan told Yermak that by year’s end, the U.S. administration plans to provide Ukraine with 500 additional Patriot and ARAAM missiles to help bolster air defenses, according to the officials.

Meanwhile, North Korea said its top diplomat is visiting Russia in another sign of their deepening relationship.

Tensions on the Korean Peninsula are at their highest point in years, with North Korea continuing a run of provocative weapons tests and South Korea and the U.S. expanding their military drills.

Russian drones, missiles and bombs smashed into Kyiv and Kharkiv, Ukraine’s biggest cities, in nighttime attacks, killing four people and wounding 15 in a continuing aerial onslaught, authorities said Tuesday.

Russia has bombarded civilian areas of Ukraine almost daily since its full-scale invasion of its neighbor, causing thousands of casualties.

The Russian army is also pushing hard against front-line defenses in the eastern Donetsk region of Ukraine. The Russian Defense Ministry claimed Tuesday that Russian troops captured the Donetsk town of Hirnyk and the villages of Katerynivka, and Bohoiavlenka.

Zelenskyy also spoke about the war at a meeting Tuesday in Reykjavik with the leaders of Denmark, Iceland, Finland, Norway and Sweden. He said a conference will begin in Canada on Wednesday to address the abduction of what he said were tens of thousands of children by Russia from Ukraine’s occupied territories.

A Russian aerial attack struck Kharkiv, in Ukraine’s northeast, at around 3 a.m., hitting a house and killing four people, regional Gov. Oleh Syniehubov said. Nearly 20 houses were damaged in the attack, he said.

Several hours earlier, Russia dropped a glide bomb on the landmark Derzhprom building in the Kharkiv city center, injuring seven people, Mayor Ihor Terekhov said. Derzhprom, also known as the Palace of Industry, is being considered for inclusion on UNESCO’s World Heritage List.

Terekhov said Russia has concentrated attacks on Kharkiv in recent days. He urged people not to ignore air raid warnings.

Authorities in Kyiv said debris from intercepted Russian drones fell on two city districts, injuring six people.

Ukraine has also used long-range drones to disrupt Russia’s war machine and embarrass the Kremlin by striking targets on Russian soil.

A special forces academy in the Russian province of Chechnya was hit by drones, causing a fire that was quickly extinguished, according to Chechen leader Ramzan Kadyrov, who is close ally of Russian President Vladimir Putin.

It was the first drone attack of the war on Chechnya, which lies about 800 kilometers (500 miles) east of Ukraine.",,"ukraine, associated-press, politics, wars",2024-10-29,CONTROL_Polish_Womens_Strike_2020_2024,sustained,True,0,"In, The, To"
