event_type,is_control,topic_label,n_articles,total_articles,topic_share_pct
single,False,-1_trump_dass_er_000,40,184,21.74
single,False,6_students_school_student_schools,19,184,10.33
single,False,12_gun_school_students_bill,17,184,9.24
single,False,3_league_arsenal_premier league_season,17,184,9.24
single,False,9_plants_garden_binoculars_flowers,15,184,8.15
single,False,16_shulkin_mr_kudlow_trump,13,184,7.07
single,False,24_lamb_republican_mr_democrats,11,184,5.98
single,False,0_css_yidnqd_inlinelink_yidnqd inlinelink,9,184,4.89
single,False,2_ich_je_jarrett_art,5,184,2.72
single,False,20_facebook_social_social media_twitter,4,184,2.17
single,False,35_retirement_muscle_racing_month,4,184,2.17
single,False,18_jet_ber_flight_flughafen,3,184,1.63
single,False,28_ich_frauen_ruth_familia,3,184,1.63
single,False,41_scotland_scots_celtic_win,3,184,1.63
single,False,4_biden_trump_president_joe,3,184,1.63
single,False,15_voters_trump_vote_democrats,2,184,1.09
single,False,1_covid_cases_covid 19_19,2,184,1.09
single,False,23_men_mujeres_paz_women,2,184,1.09
single,False,39_measure_oregon_state_criminal,2,184,1.09
single,False,43_meat_dog_beef_brunswick,2,184,1.09
single,False,5_murder_year old_county_old,2,184,1.09
single,False,19_pakistan_macron_khan_islam,1,184,0.54
single,False,21_vs_bundesliga_gegen_stuttgart,1,184,0.54
single,False,26_cup_england_united_world cup,1,184,0.54
single,False,29_land_south_africa_south africa,1,184,0.54
single,False,42_wars_star wars_disney_star,1,184,0.54
single,False,8_halloween_pumpkin_trick_moon,1,184,0.54
sustained,False,-1_trump_dass_er_000,249,849,29.33
sustained,False,1_covid_cases_covid 19_19,48,849,5.65
sustained,False,0_css_yidnqd_inlinelink_yidnqd inlinelink,42,849,4.95
sustained,False,2_ich_je_jarrett_art,38,849,4.48
sustained,False,4_biden_trump_president_joe,34,849,4.0
sustained,False,5_murder_year old_county_old,29,849,3.42
sustained,False,7_company_product_product marketing_marketing,28,849,3.3
sustained,False,8_halloween_pumpkin_trick_moon,27,849,3.18
sustained,False,3_league_arsenal_premier league_season,23,849,2.71
sustained,False,10_nizza_frankreich_nice_notre,21,849,2.47
sustained,False,11_corbyn_labour_party_anti,18,849,2.12
sustained,False,13_hotel_room_rooms_guests,17,849,2.0
sustained,False,14_credit_prozent_wirtschaft_gen,17,849,2.0
sustained,False,17_confinement_pour_lockdown_france,15,849,1.77
sustained,False,15_voters_trump_vote_democrats,14,849,1.65
sustained,False,19_pakistan_macron_khan_islam,13,849,1.53
sustained,False,22_grünen_merz_spd_partei,13,849,1.53
sustained,False,18_jet_ber_flight_flughafen,12,849,1.41
sustained,False,21_vs_bundesliga_gegen_stuttgart,12,849,1.41
sustained,False,25_tanzania_opposition_per cent_cent,11,849,1.3
sustained,False,6_students_school_student_schools,11,849,1.3
sustained,False,23_men_mujeres_paz_women,10,849,1.18
sustained,False,26_cup_england_united_world cup,10,849,1.18
sustained,False,27_show_nathan_sister_series,10,849,1.18
sustained,False,30_christmas_gift_calendar_ll,10,849,1.18
sustained,False,20_facebook_social_social media_twitter,9,849,1.06
sustained,False,29_land_south_africa_south africa,9,849,1.06
sustained,False,31_cannabis_art_terry_talbot,9,849,1.06
sustained,False,32_myers_franklin_team_nfl,9,849,1.06
sustained,False,33_electric_range_charging_cars,8,849,0.94
sustained,False,34_asylum_crossings_usa_asylum seekers,8,849,0.94
sustained,False,36_samos_izmir_turquie_tsunami,8,849,0.94
sustained,False,37_course_class_online_courses,8,849,0.94
sustained,False,9_plants_garden_binoculars_flowers,8,849,0.94
sustained,False,28_ich_frauen_ruth_familia,7,849,0.82
sustained,False,38_georgia_russia_belarus_political,7,849,0.82
sustained,False,40_están_support_está_mortgage,5,849,0.59
sustained,False,35_retirement_muscle_racing_month,4,849,0.47
sustained,False,39_measure_oregon_state_criminal,4,849,0.47
sustained,False,42_wars_star wars_disney_star,4,849,0.47
sustained,False,16_shulkin_mr_kudlow_trump,3,849,0.35
sustained,False,43_meat_dog_beef_brunswick,3,849,0.35
sustained,False,41_scotland_scots_celtic_win,2,849,0.24
sustained,False,12_gun_school_students_bill,1,849,0.12
sustained,False,24_lamb_republican_mr_democrats,1,849,0.12
