is_control,topic_label,n_articles,total_articles,topic_share_pct
False,-1_trump_dass_er_000,289,1033,27.98
False,0_css_yidnqd_inlinelink_yidnqd inlinelink,51,1033,4.94
False,1_covid_cases_covid 19_19,50,1033,4.84
False,2_ich_je_jarrett_art,43,1033,4.16
False,3_league_arsenal_premier league_season,40,1033,3.87
False,4_biden_trump_president_joe,37,1033,3.58
False,5_murder_year old_county_old,31,1033,3.0
False,6_students_school_student_schools,30,1033,2.9
False,7_company_product_product marketing_marketing,28,1033,2.71
False,8_halloween_pumpkin_trick_moon,28,1033,2.71
False,9_plants_garden_binoculars_flowers,23,1033,2.23
False,10_nizza_frankreich_nice_notre,21,1033,2.03
False,11_corbyn_labour_party_anti,18,1033,1.74
False,12_gun_school_students_bill,18,1033,1.74
False,13_hotel_room_rooms_guests,17,1033,1.65
False,14_credit_prozent_wirtschaft_gen,17,1033,1.65
False,15_voters_trump_vote_democrats,16,1033,1.55
False,16_shulkin_mr_kudlow_trump,16,1033,1.55
False,17_confinement_pour_lockdown_france,15,1033,1.45
False,18_jet_ber_flight_flughafen,15,1033,1.45
False,19_pakistan_macron_khan_islam,14,1033,1.36
False,20_facebook_social_social media_twitter,13,1033,1.26
False,21_vs_bundesliga_gegen_stuttgart,13,1033,1.26
False,22_grünen_merz_spd_partei,13,1033,1.26
False,23_men_mujeres_paz_women,12,1033,1.16
False,24_lamb_republican_mr_democrats,12,1033,1.16
False,25_tanzania_opposition_per cent_cent,11,1033,1.06
False,26_cup_england_united_world cup,11,1033,1.06
False,27_show_nathan_sister_series,10,1033,0.97
False,28_ich_frauen_ruth_familia,10,1033,0.97
False,29_land_south_africa_south africa,10,1033,0.97
False,30_christmas_gift_calendar_ll,10,1033,0.97
False,31_cannabis_art_terry_talbot,9,1033,0.87
False,32_myers_franklin_team_nfl,9,1033,0.87
False,33_electric_range_charging_cars,8,1033,0.77
False,34_asylum_crossings_usa_asylum seekers,8,1033,0.77
False,35_retirement_muscle_racing_month,8,1033,0.77
False,36_samos_izmir_turquie_tsunami,8,1033,0.77
False,37_course_class_online_courses,8,1033,0.77
False,38_georgia_russia_belarus_political,7,1033,0.68
False,39_measure_oregon_state_criminal,6,1033,0.58
False,40_están_support_está_mortgage,5,1033,0.48
False,41_scotland_scots_celtic_win,5,1033,0.48
False,42_wars_star wars_disney_star,5,1033,0.48
False,43_meat_dog_beef_brunswick,5,1033,0.48
