publisher,event_label,is_control,topic_label,n_articles,total_articles,topic_share_pct
Business Insider,Polish_Womens_Strike_2020,False,-1_trump_dass_er_000,13,50,26.0
Business Insider,Polish_Womens_Strike_2020,False,37_course_class_online_courses,8,50,16.0
Business Insider,Polish_Womens_Strike_2020,False,30_christmas_gift_calendar_ll,6,50,12.0
Business Insider,Polish_Womens_Strike_2020,False,13_hotel_room_rooms_guests,5,50,10.0
Business Insider,Polish_Womens_Strike_2020,False,7_company_product_product marketing_marketing,5,50,10.0
Business Insider,Polish_Womens_Strike_2020,False,42_wars_star wars_disney_star,3,50,6.0
Business Insider,Polish_Womens_Strike_2020,False,33_electric_range_charging_cars,2,50,4.0
Business Insider,Polish_Womens_Strike_2020,False,8_halloween_pumpkin_trick_moon,2,50,4.0
Business Insider,Polish_Womens_Strike_2020,False,15_voters_trump_vote_democrats,1,50,2.0
Business Insider,Polish_Womens_Strike_2020,False,18_jet_ber_flight_flughafen,1,50,2.0
Business Insider,Polish_Womens_Strike_2020,False,1_covid_cases_covid 19_19,1,50,2.0
Business Insider,Polish_Womens_Strike_2020,False,20_facebook_social_social media_twitter,1,50,2.0
Business Insider,Polish_Womens_Strike_2020,False,35_retirement_muscle_racing_month,1,50,2.0
Business Insider,Polish_Womens_Strike_2020,False,43_meat_dog_beef_brunswick,1,50,2.0
CNBC,Polish_Womens_Strike_2020,False,-1_trump_dass_er_000,15,50,30.0
CNBC,Polish_Womens_Strike_2020,False,7_company_product_product marketing_marketing,11,50,22.0
CNBC,Polish_Womens_Strike_2020,False,1_covid_cases_covid 19_19,6,50,12.0
CNBC,Polish_Womens_Strike_2020,False,20_facebook_social_social media_twitter,3,50,6.0
CNBC,Polish_Womens_Strike_2020,False,15_voters_trump_vote_democrats,2,50,4.0
CNBC,Polish_Womens_Strike_2020,False,18_jet_ber_flight_flughafen,2,50,4.0
CNBC,Polish_Womens_Strike_2020,False,35_retirement_muscle_racing_month,2,50,4.0
CNBC,Polish_Womens_Strike_2020,False,43_meat_dog_beef_brunswick,2,50,4.0
CNBC,Polish_Womens_Strike_2020,False,6_students_school_student_schools,2,50,4.0
CNBC,Polish_Womens_Strike_2020,False,14_credit_prozent_wirtschaft_gen,1,50,2.0
CNBC,Polish_Womens_Strike_2020,False,16_shulkin_mr_kudlow_trump,1,50,2.0
CNBC,Polish_Womens_Strike_2020,False,32_myers_franklin_team_nfl,1,50,2.0
CNBC,Polish_Womens_Strike_2020,False,33_electric_range_charging_cars,1,50,2.0
CNBC,Polish_Womens_Strike_2020,False,4_biden_trump_president_joe,1,50,2.0
Daily Mail,IWD_2018_Global,False,3_league_arsenal_premier league_season,17,23,73.91
